# DYNAMIC COUNTS:
# Total dynamic bytecodes: 699840
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,105193,82387180.7,621104.6696175683,30513.77062962963,230.0387665250253
CALL,105193,49774950.8,520780.61172108696,18435.16696296296,192.88170804484702
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,1,29019.8,6650.302847081081,10.748074074074074,2.4630751285485486
CREATE_FUNC,17,5119.8,63.659951882515614,1.8962222222222223,0.023577759956487265
CREATE_LIST,40,61564.4,4675.891836126867,22.80162962962963,1.7318117911580988
CREATE_OBJECT,1,40913.3,6821.201723882291,15.153074074074075,2.526371008845293
DUPE,9895,215709.1,9500.448974986171,79.89225925925926,3.518684805550434
JUMP,9740,193804.4,6518.965064777498,71.7794074074074,2.4144315054731473
JUMP_IF_FALSE,11010,313162.2,8589.705905142615,115.986,3.181372557460228
JUMP_IF_FALSE_PEEK,27351,883524.9,20903.11110035259,327.23144444444443,7.741893000130589
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,36367,780721.3,19106.636832869328,289.15603703703704,7.076532160321974
LOAD_FIELD,101732,116214930.3,887736.525677767,43042.56677777778,328.7913058065804
LOAD_GLOBAL,57,32395.9,5250.030635499588,11.998481481481482,1.9444557909257734
LOAD_GLOBAL_BY_INDEX,29307,782063.8,22194.594703737144,289.6532592592593,8.220220260643387
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,178058,4059584.5,51043.883262088144,1503.549814814815,18.905141948921536
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,28396,601749.3,8852.844616280116,222.87011111111113,3.278831339363006
RAISE,0,0.0,0.0,0.0,0.0
RETURN,47542,2070514.3,51051.11002360383,766.8571481481482,18.90781852726068
RETURN_INIT,1,569.2,84.418506327264,0.21081481481481484,0.03126611345454222
STORE_FIELD,44,36333.4,3914.3929340454906,13.456814814814816,1.449775160757589
STORE_GLOBAL,19,39813.0,575.7724331164546,14.745555555555555,0.2132490493023906
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,9832,201713.6,13042.334721570127,74.70874074074074,4.830494341322269
SWAP,44,2182.8,296.514062859899,0.8084444444444445,0.10982002328144408
TRY,0,0.0,0.0,0.0,0.0
