# DYNAMIC COUNTS:
# Total dynamic bytecodes: 18938342
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,1989719,485361447.1,3691333.058865868,179763.49892592593,1367.1603921725437
CALL,1989719,427551206.2,3163686.248643079,158352.2985925926,1171.7356476455848
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,10,42772.1,9153.971987469069,15.841518518518518,3.3903599953589145
CREATE_FUNC,27,7279.9,961.6449667654188,2.696259259259259,0.35616480250571064
CREATE_LIST,9,8709.3,822.5240422018072,3.2256666666666662,0.3046385341488175
CREATE_OBJECT,28,248802.6,25793.12121354921,92.14911111111111,9.553007856870078
DUPE,817936,17210811.7,183736.27343018263,6374.374703703704,68.05047164080838
JUMP,254088,4884744.3,66424.93698596544,1809.1645555555556,24.601828513320534
JUMP_IF_FALSE,724848,18892057.0,222454.3105917302,6997.058148148149,82.39048540434452
JUMP_IF_FALSE_PEEK,371505,11732270.6,94978.91044825087,4345.285407407408,35.17737424009292
JUMP_IF_TRUE_PEEK,106604,3262607.9,45616.87316391413,1208.3732962962963,16.895138208857087
LOAD_CONST,382709,7855048.4,117060.00750780056,2909.2771851851853,43.35555833622243
LOAD_FIELD,2893777,1153983711.8,8886235.599068537,427401.37474074075,3291.198370025384
LOAD_GLOBAL,150,85057.5,7545.533328435198,31.502777777777776,2.794641973494518
LOAD_GLOBAL_BY_INDEX,1510723,37918668.4,336773.33841064683,14043.951259259258,124.73086607801734
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,4129453,87139934.9,815785.8382279353,32274.049962962967,302.1429030473834
LOAD_NONLOCAL,65790,1297011.2,31424.282373583916,480.3745185185185,11.638623101327376
NOP,0,0.0,0.0,0.0,0.0
POP,1097096,22428026.9,203946.2389764055,8306.676629629628,75.53564406533538
RAISE,0,0.0,0.0,0.0,0.0
RETURN,1233626,52333871.0,540410.156016411,19382.915185185186,200.1519096357078
RETURN_INIT,33,2109.5,248.14331597517966,0.7812962962962963,0.09190493184265913
STORE_FIELD,552556,166066446.6,1563874.168010774,61506.09133333333,579.2126548188052
STORE_GLOBAL,45,54527.7,7370.631516898313,20.195444444444444,2.7298635247771528
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,265335,5186857.2,65658.89867264971,1921.0582222222222,24.318110619499894
SWAP,552556,13476512.9,143616.28447685493,4991.301074074074,53.19121647290923
TRY,0,0.0,0.0,0.0,0.0
