# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1542140
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,233607,266259030.3,1694902.3882314132,98614.45566666668,627.7416252708938
CALL,233607,176077608.6,6511019.369889465,65213.92911111111,2411.4886555146168
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,2,29836.7,4461.98309817743,11.05062962962963,1.6525863326583075
CREATE_FUNC,17,5001.5,820.4535010397732,1.8524074074074075,0.3038716670517678
CREATE_LIST,5461,3063115.9,62850.37220666069,1134.4873703703704,23.277915632096555
CREATE_OBJECT,2,21380.8,3326.6267662762025,7.918814814814815,1.2320839875097047
DUPE,52480,1132115.8,26761.79226867257,419.30214814814815,9.911774914323173
JUMP,31976,630034.0,15448.159025047542,233.34592592592594,5.721540379647238
JUMP_IF_FALSE,5461,138981.8,4008.6632973572273,51.474740740740735,1.4846901101323065
JUMP_IF_FALSE_PEEK,33341,940146.7,34445.938807446015,348.20248148148147,12.757755113868894
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,104915,2224483.4,39191.476356339015,823.8827407407407,14.515361613458895
LOAD_FIELD,182518,389308461.9,2345815.624517177,144188.31922222223,868.8206016730286
LOAD_GLOBAL,15,13321.6,2028.9475207863961,4.9339259259259265,0.7514620447357022
LOAD_GLOBAL_BY_INDEX,64733,1670389.1,26142.051145515303,618.6626296296297,9.682241165005667
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,338519,7492601.1,71202.85805167044,2775.037444444444,26.37142890802609
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,85801,1801331.7,28404.13592771303,667.1598888888889,10.520050343597418
RAISE,0,0.0,0.0,0.0,0.0
RETURN,107643,4598563.6,54677.780128966326,1703.1717037037035,20.251029677394936
RETURN_INIT,2,664.0,103.43571611595797,0.24592592592592594,0.03830952448739184
STORE_FIELD,9560,1486395.9,25283.67854211591,550.5169999999999,9.364325385968856
STORE_GLOBAL,21,39917.4,5885.5727655808805,14.784222222222223,2.1798417650299555
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,42899,852316.7,12901.767749543384,315.6728518518518,4.778432499830883
SWAP,9560,250873.5,16728.79334214547,92.9161111111111,6.195849385979804
TRY,0,0.0,0.0,0.0,0.0
