instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,233607,38074832.4,2680027.9584850976
CALL,233607,42964947.8,1145903.2553643875
CATCH,0,0.0,0.0
CREATE_CLASS,2,168491.8,27756.320779238737
CREATE_FUNC,17,440624.8,9138.862248660938
CREATE_LIST,5461,1845183.8,68129.50205087366
CREATE_OBJECT,2,169441.4,10494.193980482733
DUPE,52478,828637.2,17800.042758375606
JUMP,31976,459218.0,16925.1534261879
JUMP_IF_FALSE,5461,244384.8,6003.5391811830505
JUMP_IF_FALSE_PEEK,33341,748552.0,57266.04781631084
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,104915,1754818.2,36692.20461078891
LOAD_FIELD,182518,58671911.4,2338468.747691703
LOAD_GLOBAL,15,305333.8,34462.077515727346
LOAD_GLOBAL_BY_INDEX,64733,3117598.0,248713.8046711521
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,338517,5691262.2,110680.2247589875
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,85801,1327315.0,38231.40245269587
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,9558,985678.2,50325.42617007829
STORE_GLOBAL,21,116699.0,14270.694674752172
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,42899,881806.2,20928.357560974546
SWAP,9558,222467.6,9774.268990569064
TRY,0,0.0,0.0
