# DYNAMIC COUNTS:
# Total dynamic bytecodes: 23563707
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,3209311,3032279.25,8237.402067942887
CALL,3209311,3856693.35,11257.24075417102
CATCH,0,0.0,0.0
CREATE_CLASS,28,44.2,3.155613210905625
CREATE_FUNC,29246,20832.65,139.3757794408226
CREATE_LIST,9184,6532.05,63.180172606018715
CREATE_OBJECT,15097,42943.2,578.7708027408289
DUPE,736386,461741.25,2618.621631698632
JUMP,528209,325011.75,1678.0300127483397
JUMP_IF_FALSE,522067,330672.3,1474.595969641918
JUMP_IF_FALSE_PEEK,341360,217396.8,1690.5204617451247
JUMP_IF_TRUE_PEEK,7010,4443.95,48.065169575439874
LOAD_CONST,548600,342617.9,1672.9500543084087
LOAD_FIELD,3768966,3136151.85,12340.556326600517
LOAD_GLOBAL,214,193.6,7.5491372807898065
LOAD_GLOBAL_BY_INDEX,1338562,839263.95,3000.6349937620625
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,5412940,3385271.45,12921.918557547664
LOAD_NONLOCAL,66121,41542.7,731.7711822406621
NOP,0,0.0,0.0
POP,936389,586338.3,2694.2736957050897
RAISE,0,0.0,0.0
RETURN,1816208,1154442.05,4784.445471635407
RETURN_INIT,19107,12340.4,71.57359113086595
STORE_FIELD,313005,211336.6,1194.724341692082
STORE_GLOBAL,61,85.55,3.268268493769815
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,423320,265081.9,1419.0860995354478
SWAP,313005,196391.4,898.3849485546092
TRY,0,0.0,0.0
