# DYNAMIC COUNTS:
# Total dynamic bytecodes: 27000077
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,4000002,3597579.75,14832.417600700846
CALL,4000002,3941314.35,18619.86476369852
CATCH,0,0.0,0.0
CREATE_CLASS,0,0.0,0.0
CREATE_FUNC,17,37.8,5.405650065586834
CREATE_LIST,0,0.0,0.0
CREATE_OBJECT,0,0.0,0.0
DUPE,1000020,621792.3,3751.3316667130694
JUMP,1000000,613322.15,3745.1159110022436
JUMP_IF_FALSE,0,0.0,0.0
JUMP_IF_FALSE_PEEK,1000001,627330.95,3051.9976801225757
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,3,5.45,1.394538218230416
LOAD_FIELD,2000001,3143317.4,17045.8942437299
LOAD_GLOBAL,7,13.85,2.0332758116683998
LOAD_GLOBAL_BY_INDEX,5999997,3725497.15,18890.594123656858
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,4000002,2481874.4,13726.751865570592
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,1000004,620245.5,3470.1427317831412
RAISE,0,0.0,0.0
RETURN,2000001,1271377.35,7321.600093127468
RETURN_INIT,0,0.0,0.0
STORE_FIELD,0,0.0,0.0
STORE_GLOBAL,21,51.25,8.16201084614763
STORE_GLOBAL_BY_INDEX,999999,622372.85,3300.550708035837
STORE_LOCAL,0,0.0,0.0
SWAP,0,0.0,0.0
TRY,0,0.0,0.0
