# DYNAMIC COUNTS:
# Total dynamic bytecodes: 18938342
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,1989719,1388421.25,9997.021603168096
CALL,1989719,1939992.1,41309.92837958348
CATCH,0,0.0,0.0
CREATE_CLASS,10,37.4,5.481067894412355
CREATE_FUNC,27,41.2,2.8395700193404005
CREATE_LIST,9,9.75,4.897636379445003
CREATE_OBJECT,28,96.35,7.7681874875742585
DUPE,817936,514287.8,3856.5962849724315
JUMP,254088,156243.3,1062.5091999601716
JUMP_IF_FALSE,724848,459645.4,4013.729797110237
JUMP_IF_FALSE_PEEK,371505,236032.0,1842.9858782335857
JUMP_IF_TRUE_PEEK,106604,67714.7,680.7897967569885
LOAD_CONST,382709,240282.0,1871.9775639681156
LOAD_FIELD,2893777,2015980.55,14581.511677012179
LOAD_GLOBAL,150,130.8,5.297467120684834
LOAD_GLOBAL_BY_INDEX,1510723,949164.55,7345.660054001103
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,4129453,2588025.85,18859.175547853032
LOAD_NONLOCAL,65790,41225.95,277.66497703830834
NOP,0,0.0,0.0
POP,1097096,688617.65,5603.333709545259
RAISE,0,0.0,0.0
RETURN,1233626,785254.55,5972.130074684183
RETURN_INIT,33,21.4,2.2337129816094383
STORE_FIELD,552556,357585.7,2905.9928297082524
STORE_GLOBAL,45,85.5,12.133034505670434
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,265335,166557.45,1464.5078740511774
SWAP,552556,347332.5,2517.7979413932753
TRY,0,0.0,0.0
