# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1314892
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,171940,143445.85,823.4057818469263
CALL,171940,187807.75,1015.6046099167779
CATCH,0,0.0,0.0
CREATE_CLASS,2,22.35,0.489360484929593
CREATE_FUNC,17,38.95,0.6048053188292998
CREATE_LIST,1,2.4,0.5982430416161189
CREATE_OBJECT,15,65.4,9.472397573448534
DUPE,45174,28462.5,222.77756194299118
JUMP,12429,7651.95,70.43808404698788
JUMP_IF_FALSE,32792,21114.1,158.3450263457025
JUMP_IF_FALSE_PEEK,8220,5287.35,54.504731808107096
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,45134,28418.05,208.2150899531795
LOAD_FIELD,196385,174485.6,998.2295590852692
LOAD_GLOBAL,15,26.0,3.0607876523260447
LOAD_GLOBAL_BY_INDEX,49092,30949.9,203.64129970948497
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,360304,226455.25,1219.4236289502112
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,61536,38723.85,190.86624553390902
RAISE,0,0.0,0.0
RETURN,90074,57676.1,370.74972406562443
RETURN_INIT,15,21.85,3.281126250799291
STORE_FIELD,24633,15871.1,114.50851496722844
STORE_GLOBAL,21,52.5,1.432700798822758
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,20520,12888.25,77.36711867861928
SWAP,24633,15516.4,104.87757273677673
TRY,0,0.0,0.0
