# DYNAMIC COUNTS:
# Total dynamic bytecodes: 990036
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,136990,120844.85,479.01667644852415
CALL,136990,153878.0,657.5030118001789
CATCH,0,0.0,0.0
CREATE_CLASS,1,22.3,1.3416407864998738
CREATE_FUNC,17,34.75,4.115119746291206
CREATE_LIST,1,2.45,0.5104177855340403
CREATE_OBJECT,1,12.55,0.6048053188292997
DUPE,31041,19163.9,120.50416022519292
JUMP,13699,8347.5,96.50006817559627
JUMP_IF_FALSE,17320,10889.05,94.02377918713715
JUMP_IF_FALSE_PEEK,8659,5427.75,48.033842236489875
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39690,24474.45,161.10554729251493
LOAD_FIELD,156363,146716.85,585.4472222156305
LOAD_GLOBAL,11,21.55,1.8771478925557037
LOAD_GLOBAL_BY_INDEX,38253,23725.25,122.40049664502014
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,249418,153497.85,708.361658669979
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,59837,36790.6,153.4221558143956
RAISE,0,0.0,0.0
RETURN,62039,38987.0,187.89890899097847
RETURN_INIT,1,2.0,0.0
STORE_FIELD,8664,5830.0,54.98133654633224
STORE_GLOBAL,20,59.7,4.280924641882135
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22357,13811.15,107.09871245970386
SWAP,8664,5362.4,38.10981362768459
TRY,0,0.0,0.0
