# DYNAMIC COUNTS:
# Total dynamic bytecodes: 699840
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,105193,94777.85,492.0111546660234
CALL,105193,118620.15,611.6320940083625
CATCH,0,0.0,0.0
CREATE_CLASS,1,18.1,2.4687520819444915
CREATE_FUNC,17,33.95,0.6863327411532608
CREATE_LIST,40,49.45,5.13476284493103
CREATE_OBJECT,1,9.15,1.496487114615601
DUPE,9895,6148.75,64.69188104920293
JUMP,9740,5928.1,54.433832358774474
JUMP_IF_FALSE,11010,6893.9,62.402682128592026
JUMP_IF_FALSE_PEEK,27351,17187.4,127.70706611946869
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36367,22490.35,156.67944983309076
LOAD_FIELD,101732,105596.45,560.0106648420551
LOAD_GLOBAL,57,102.15,16.151503107499902
LOAD_GLOBAL_BY_INDEX,29307,18268.25,144.73928466838504
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,178058,110145.65,558.364272250934
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,28396,17539.75,101.8584544200531
RAISE,0,0.0,0.0
RETURN,47542,30080.9,218.2851587403864
RETURN_INIT,1,1.75,0.4442616583193193
STORE_FIELD,44,49.7,3.4958622157600745
STORE_GLOBAL,19,57.05,1.7910596686995393
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,9832,6092.5,54.84379732716506
SWAP,44,35.55,3.235900590497017
TRY,0,0.0,0.0
