# DYNAMIC COUNTS:
# Total dynamic bytecodes: 18938342
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,1989719,1403128.1,6300.354157965225
CALL,1989719,1859506.0,7455.992482207617
CATCH,0,0.0,0.0
CREATE_CLASS,10,37.25,2.6729640555206244
CREATE_FUNC,27,46.05,2.305028827311459
CREATE_LIST,9,8.45,2.0124611797498106
CREATE_OBJECT,28,112.05,6.065215750924544
DUPE,817936,504981.65,2589.2956830401863
JUMP,254088,154359.05,1230.2437274570284
JUMP_IF_FALSE,724848,452481.3,2107.79525870793
JUMP_IF_FALSE_PEEK,371505,232138.75,1281.8508770729245
JUMP_IF_TRUE_PEEK,106604,66435.5,429.4094475954267
LOAD_CONST,382709,236598.0,1617.7032451824089
LOAD_FIELD,2893777,2263979.45,8262.912679239496
LOAD_GLOBAL,150,129.05,6.5892655928131765
LOAD_GLOBAL_BY_INDEX,1510723,934095.65,3456.324976725546
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,4129453,2546326.8,10467.766481718485
LOAD_NONLOCAL,65790,40504.7,229.35495359124562
NOP,0,0.0,0.0
POP,1097096,677355.1,2646.3922591849023
RAISE,0,0.0,0.0
RETURN,1233626,772593.3,2966.401543248904
RETURN_INIT,33,22.9,2.221900561515558
STORE_FIELD,552556,410536.85,1881.596418358344
STORE_GLOBAL,45,96.85,4.648429276308514
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,265335,163953.45,1031.18156423641
SWAP,552556,342012.4,1557.6115453847208
TRY,0,0.0,0.0
