# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,17745,11029.46,120.66536794129524
ASSERT_FUNC,LOAD_CONST,7394,4637.38,60.87487669182512
ASSERT_FUNC,LOAD_GLOBAL,5,3.32,1.2525891552447412
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,996,623.12,13.529468970075833
ASSERT_FUNC,LOAD_LOCAL_SAFE,83399,51266.8,445.49165685400936
CALL,CALL,5763,3561.76,49.496056326102725
CALL,DUPE,11582,7237.02,85.12643417833473
CALL,JUMP_IF_FALSE,26426,16331.44,161.84247317206007
CALL,JUMP_IF_FALSE_PEEK,5303,3319.1,37.852695156517534
CALL,LOAD_CONST,1400,888.16,26.763026582147543
CALL,POP,300,207.46,14.884877958409154
CALL,SWAP,12226,7580.28,89.55993090936266
CREATE_CLASS,DUPE,3,3.5,1.1111677990074318
CREATE_FUNC,DUPE,18,31.42,5.760846026303386
CREATE_LIST,DUPE,1,1.0,0.45175395145262565
CREATE_OBJECT,DUPE,102,64.72,5.806540998507367
DUPE,STORE_FIELD,13652,8456.14,76.73809420386209
DUPE,STORE_GLOBAL,23,36.1,5.88755172428425
DUPE,STORE_LOCAL,28164,17301.12,163.30922715348777
JUMP,LOAD_GLOBAL_BY_INDEX,5250,3260.18,45.96391219739454
JUMP,POP,2757,1693.78,32.135738894348094
JUMP_IF_FALSE,LOAD_CONST,22243,13682.02,137.85418057513084
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,4183,2589.08,39.34869756421427
JUMP_IF_FALSE_PEEK,LOAD_CONST,50,30.88,3.3297667994584117
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.68,0.47121207149916117
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,99,63.6,6.712765785411844
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5100,3153.26,46.470007883075134
JUMP_IF_FALSE_PEEK,POP,53,32.32,3.6277839415448403
LOAD_CONST,CALL,19959,12388.4,136.08910646322565
LOAD_CONST,CREATE_CLASS,3,3.56,1.0528871870107588
LOAD_CONST,DUPE,10055,6220.26,94.69560470803498
LOAD_CONST,LOAD_GLOBAL,2,1.2,0.7284313590846837
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,711,440.96,17.223571887719135
LOAD_CONST,POP,22243,13721.44,112.98241871537131
LOAD_CONST,SWAP,713,439.48,16.512506083052834
LOAD_FIELD,ASSERT_FUNC,68870,42831.7,383.6879179324613
LOAD_FIELD,CALL,11426,7055.12,81.49061295633999
LOAD_FIELD,LOAD_CONST,10400,6446.88,69.83322406758458
LOAD_FIELD,LOAD_LOCAL_SAFE,20000,12376.12,121.48967202261788
LOAD_GLOBAL,ASSERT_FUNC,27,18.28,2.6111222077247684
LOAD_GLOBAL,CALL,1,0.72,0.4535573676110726
LOAD_GLOBAL,CREATE_OBJECT,3,2.66,1.002242383816593
LOAD_GLOBAL,DUPE,5,3.04,1.0872170051680257
LOAD_GLOBAL,LOAD_FIELD,2,1.86,0.7001457574195913
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40642,24972.1,222.76712925732807
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,99,63.5,5.485602677436079
LOAD_GLOBAL_BY_INDEX,DUPE,6421,3979.94,52.91826967415056
LOAD_LOCAL_SAFE,CALL,54645,33877.7,318.6991576098446
LOAD_LOCAL_SAFE,JUMP,713,440.3,11.803233731931785
LOAD_LOCAL_SAFE,LOAD_CONST,2191,1354.78,29.4225305866516
LOAD_LOCAL_SAFE,LOAD_FIELD,111094,68304.14,635.2202577991079
LOAD_LOCAL_SAFE,LOAD_GLOBAL,11,7.52,2.111581281931643
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,12215,7574.44,92.25500594791056
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,6065,3766.66,44.03273828433029
LOAD_LOCAL_SAFE,SWAP,713,439.76,16.74729341519679
POP,CREATE_LIST,1,0.98,0.5146823867043377
POP,JUMP,5250,3266.72,49.244512799055315
POP,LOAD_CONST,5005,3105.62,51.09210969875281
POP,LOAD_GLOBAL,14,8.98,1.7082034959785883
POP,LOAD_GLOBAL_BY_INDEX,26466,16341.72,150.85701298695673
POP,LOAD_LOCAL_SAFE,27577,17067.06,168.71850847503583
STORE_FIELD,POP,13552,8306.32,95.8769279134579
STORE_GLOBAL,CREATE_FUNC,17,30.16,5.265831329603782
STORE_GLOBAL,LOAD_CONST,3,3.68,0.8437041748704803
STORE_GLOBAL,LOAD_GLOBAL,2,1.76,0.7159979477795239
STORE_GLOBAL,POP,1,0.62,0.4903143514780146
STORE_LOCAL,JUMP,2757,1704.06,35.22603976536422
STORE_LOCAL,POP,25407,15592.78,171.74759482022023
SWAP,DUPE,13652,8379.56,81.80119254656879
