# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,42,55.68,10.220906944861115
ASSERT_FUNC,LOAD_CONST,43,57.0,11.32993146222763
ASSERT_FUNC,LOAD_GLOBAL,1,1.74,0.5646020812962714
ASSERT_FUNC,LOAD_LOCAL_SAFE,105860,65351.82,433.2976396079215
CALL,CALL,21603,13544.18,122.07938033116335
CALL,DUPE,1,0.88,0.3282607226593159
CALL,JUMP,702,434.64,15.990762639596596
CALL,JUMP_IF_FALSE,21605,13518.2,110.31198798805855
CALL,JUMP_IF_FALSE_PEEK,20859,13021.24,118.86118811797371
CALL,LOAD_LOCAL_SAFE,1406,887.46,19.914316458266885
CALL,POP,31,47.34,10.237207048959462
CALL,SWAP,31,43.94,11.33247095558527
CREATE_CLASS,DUPE,2,3.62,0.8780776777502463
CREATE_FUNC,DUPE,17,29.66,5.180851714708298
CREATE_OBJECT,DUPE,32,48.58,10.28192390477937
DUPE,STORE_FIELD,62,91.08,20.644552574962916
DUPE,STORE_GLOBAL,20,35.16,6.244540472627727
DUPE,STORE_LOCAL,41750,25754.46,179.88002918044893
JUMP,LOAD_GLOBAL_BY_INDEX,18050,11135.96,119.89399399435483
JUMP_IF_FALSE,LOAD_CONST,4,4.76,1.3785529236359793
JUMP_IF_FALSE,LOAD_GLOBAL,5,5.6,1.2289036095775179
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,21596,13392.34,103.48432001900548
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20859,12982.46,106.39073344641136
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,1.32,0.551065757771026
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,18751,11559.22,102.21811213762257
JUMP_IF_FALSE_PEEK,POP,2107,1313.24,24.75146666443859
LOAD_CONST,CALL,39690,24522.7,180.05081482283646
LOAD_CONST,CREATE_CLASS,2,3.64,0.7494215456345142
LOAD_CONST,JUMP,4,4.8,1.4568627181693672
LOAD_CONST,LOAD_LOCAL_SAFE,9,5.36,1.6383167070664517
LOAD_FIELD,ASSERT_FUNC,45422,28250.02,210.82147297983602
LOAD_FIELD,DUPE,36100,22428.38,190.88888636789667
LOAD_FIELD,LOAD_CONST,10,6.36,1.3962047683280703
LOAD_FIELD,LOAD_FIELD,9,5.24,1.6482520116406805
LOAD_FIELD,LOAD_LOCAL_SAFE,2106,1312.24,22.82994810796217
LOAD_GLOBAL,ASSERT_FUNC,7,7.2,1.8294640678379566
LOAD_GLOBAL,CREATE_OBJECT,2,3.56,0.8369039151929606
LOAD_GLOBAL,JUMP,1,0.78,0.5066899385990913
LOAD_GLOBAL,LOAD_FIELD,2,3.48,0.7351245903010633
LOAD_GLOBAL,RETURN,1,1.04,0.5329930887479323
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,60517,37349.94,252.34640994522636
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,30,46.04,9.471676359611557
LOAD_GLOBAL_BY_INDEX,JUMP,2106,1332.0,27.90289283517797
LOAD_GLOBAL_BY_INDEX,RETURN,701,446.82,13.133055351179438
LOAD_LOCAL_SAFE,CALL,44611,27824.08,209.38411533615005
LOAD_LOCAL_SAFE,DUPE,5618,3487.78,43.86867693840935
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,20859,12989.62,118.41433483272846
LOAD_LOCAL_SAFE,LOAD_CONST,39646,24679.5,167.49233914859963
LOAD_LOCAL_SAFE,LOAD_FIELD,83636,51938.32,403.57011074373975
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,4977,3156.06,40.33047665151972
LOAD_LOCAL_SAFE,SWAP,31,47.5,9.59006714028124
POP,JUMP,18050,11235.7,96.57718706415339
POP,LOAD_GLOBAL,2,2.1,0.7354021529276429
POP,LOAD_GLOBAL_BY_INDEX,4914,3059.62,41.38958263887672
POP,LOAD_LOCAL_SAFE,20953,13118.82,102.10532577206908
STORE_FIELD,POP,31,43.92,11.18461041807365
STORE_GLOBAL,CREATE_FUNC,16,29.02,5.060813841141944
STORE_GLOBAL,LOAD_CONST,2,3.74,0.5646020812962715
STORE_GLOBAL,LOAD_GLOBAL,2,3.5,0.8144110179279558
STORE_LOCAL,POP,41750,25753.0,211.7481175975897
SWAP,DUPE,62,90.42,20.332029622529785
