# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,13700,8584.2,78.29640177308437
ASSERT_FUNC,LOAD_CONST,13700,8595.26,74.32905603751838
ASSERT_FUNC,LOAD_GLOBAL,1,0.62,0.4903143514780147
ASSERT_FUNC,LOAD_LOCAL_SAFE,109589,67676.52,463.46204916951825
CALL,CALL,18738,11685.06,93.57598898374376
CALL,DUPE,18738,11734.02,105.49310645821414
CALL,JUMP_IF_FALSE,8660,5436.32,65.47236213916239
CALL,JUMP_IF_FALSE_PEEK,8659,5459.38,61.61065704262924
CALL,POP,28816,18128.46,134.62089021259936
CALL,SWAP,8660,5429.94,65.4165335151814
CREATE_CLASS,DUPE,1,1.9,0.3642156795423418
CREATE_FUNC,DUPE,17,30.9,3.5814146104919065
CREATE_LIST,SWAP,1,1.86,0.35050983275386566
CREATE_OBJECT,DUPE,1,1.76,0.43141911058689997
DUPE,STORE_FIELD,8662,5397.98,56.10758252078364
DUPE,STORE_GLOBAL,20,35.3,4.413569058792973
DUPE,STORE_LOCAL,22357,13803.76,109.13473417790323
JUMP,LOAD_GLOBAL_BY_INDEX,5039,3129.14,37.76079923920668
JUMP_IF_FALSE,LOAD_CONST,5040,3161.24,42.207243792640924
JUMP_IF_FALSE,LOAD_GLOBAL,3,5.4,0.8081220356417688
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,12277,7582.56,67.90875030028857
JUMP_IF_FALSE_PEEK,JUMP,3620,2262.08,26.387876003953014
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5039,3120.86,44.549907808145754
LOAD_CONST,CALL,34640,21428.44,177.1434516119058
LOAD_CONST,CREATE_CLASS,1,1.9,0.36421567954234174
LOAD_CONST,CREATE_LIST,1,1.76,0.4314191105868999
LOAD_CONST,LOAD_CONST,5,9.04,1.211509431263668
LOAD_CONST,SWAP,1,1.82,0.38808793449160356
LOAD_FIELD,ASSERT_FUNC,107390,66693.72,450.50239710341094
LOAD_FIELD,LOAD_FIELD,48972,30492.76,213.98622500010546
LOAD_GLOBAL,ASSERT_FUNC,5,7.5,1.4321384039831018
LOAD_GLOBAL,CALL,1,0.6,0.4948716593053935
LOAD_GLOBAL,CREATE_OBJECT,1,1.9,0.36421567954234174
LOAD_GLOBAL,JUMP,1,1.66,0.5194188275056526
LOAD_GLOBAL,LOAD_FIELD,2,2.46,0.7342912729083655
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,29595,18305.66,151.29220409660326
LOAD_GLOBAL_BY_INDEX,JUMP,5039,3144.54,46.10600474416962
LOAD_LOCAL_SAFE,CALL,69911,43584.62,310.91720073724696
LOAD_LOCAL_SAFE,DUPE,3620,2259.08,33.67360742086748
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,8660,5400.68,59.46579877954884
LOAD_LOCAL_SAFE,LOAD_CONST,20942,13117.82,125.06221961691777
LOAD_LOCAL_SAFE,LOAD_FIELD,107389,66773.36,444.9447918057948
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,38894,24233.14,207.49133348019097
POP,JUMP,5039,3154.66,38.109728791627795
POP,LOAD_GLOBAL,3,4.08,0.7782764841072135
POP,LOAD_GLOBAL_BY_INDEX,12278,7709.02,81.16636731844945
POP,LOAD_LOCAL_SAFE,42516,26265.44,187.72223944880236
STORE_FIELD,POP,8662,5346.44,55.591865503903264
STORE_GLOBAL,CREATE_FUNC,16,29.64,2.848271942990081
STORE_GLOBAL,LOAD_CONST,1,2.0,0.2857142857142857
STORE_GLOBAL,LOAD_GLOBAL,2,3.72,0.6401530429259449
STORE_GLOBAL,POP,1,0.72,0.4535573676110727
STORE_LOCAL,POP,22357,13799.4,129.2783739036953
SWAP,DUPE,8662,5346.44,57.85596471463619
