# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,9821,6123.94,54.03680151866255
ASSERT_FUNC,LOAD_CONST,9820,6139.48,52.95637018203891
ASSERT_FUNC,LOAD_GLOBAL,6,9.14,1.9588626437662386
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,14694,9171.06,59.77557005592006
ASSERT_FUNC,LOAD_LOCAL_SAFE,70852,43782.16,251.02511135464565
CALL,CALL,6880,4303.98,51.93932488382714
CALL,DUPE,8700,5426.76,68.40770931611114
CALL,JUMP,1050,656.9,16.943182362573708
CALL,JUMP_IF_FALSE,11010,6882.42,62.851652357608266
CALL,JUMP_IF_FALSE_PEEK,21941,13711.26,85.39077281318298
CALL,LOAD_CONST,4580,2872.72,34.151547011304025
CALL,LOAD_LOCAL_SAFE,4360,2732.22,37.55501542635109
CALL,POP,6620,4173.28,51.46904756397632
CREATE_CLASS,DUPE,1,1.7,0.4629100498862758
CREATE_FUNC,DUPE,17,30.9,3.7375644148431797
CREATE_LIST,SWAP,40,28.28,2.6957260201122453
CREATE_OBJECT,DUPE,1,1.58,0.5379477252503638
DUPE,STORE_FIELD,40,28.42,3.03106366458633
DUPE,STORE_GLOBAL,19,33.96,3.2448389161615916
DUPE,STORE_LOCAL,9832,6071.1,56.90925465428362
JUMP,LOAD_GLOBAL_BY_INDEX,8690,5362.06,63.92738546385955
JUMP,POP,1050,654.94,18.07965369001909
JUMP_IF_FALSE,LOAD_CONST,9800,6068.74,61.83645645522358
JUMP_IF_FALSE,LOAD_GLOBAL,2,1.32,0.8191583535332259
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,78,48.52,3.3760259211694694
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,1130,707.22,18.02978261722779
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,5400,3365.98,43.61168631999312
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,14540,8984.74,64.45527162937339
JUMP_IF_FALSE_PEEK,POP,1051,651.02,16.961529099339934
LOAD_CONST,CALL,25351,15643.58,132.14325714225185
LOAD_CONST,CREATE_CLASS,1,1.78,0.46467017049401693
LOAD_CONST,CREATE_LIST,10,6.94,1.4201178450669336
LOAD_CONST,DUPE,1131,713.66,18.034671822772438
LOAD_CONST,LOAD_CONST,70,50.12,3.0615455613937543
LOAD_CONST,POP,9800,6119.76,51.67265885813674
LOAD_FIELD,ASSERT_FUNC,79542,49397.72,290.2604066583483
LOAD_FIELD,LOAD_FIELD,22190,13843.44,129.17164028168574
LOAD_GLOBAL,ASSERT_FUNC,9,13.8,3.4641016151377544
LOAD_GLOBAL,CALL,2,2.74,0.5646020812962715
LOAD_GLOBAL,CREATE_LIST,3,4.7,1.0926470386270253
LOAD_GLOBAL,CREATE_OBJECT,1,1.78,0.41845195759648024
LOAD_GLOBAL,DUPE,1,1.54,0.542481072744215
LOAD_GLOBAL,LOAD_FIELD,1,1.62,0.5303060340934452
LOAD_GLOBAL,LOAD_GLOBAL,37,58.76,12.260039617740695
LOAD_GLOBAL,RETURN,2,1.36,0.7216760537322908
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,25642,15815.26,107.05726295315218
LOAD_GLOBAL_BY_INDEX,CALL,2178,1352.14,25.548681023505225
LOAD_GLOBAL_BY_INDEX,CREATE_LIST,27,17.14,2.222427428167091
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,333,204.7,4.962101266559546
LOAD_GLOBAL_BY_INDEX,RETURN,78,47.6,3.522522287410845
LOAD_LOCAL_SAFE,CALL,60961,37990.52,207.54229861473013
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,10,7.62,1.9886412138822378
LOAD_LOCAL_SAFE,LOAD_CONST,10961,6842.68,71.95050452943887
LOAD_LOCAL_SAFE,LOAD_FIELD,79541,49356.36,256.20541503621274
LOAD_LOCAL_SAFE,LOAD_GLOBAL,5,7.24,1.4365491531401753
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,2205,1377.4,23.926758993193534
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,24370,15183.56,109.37095835098208
POP,JUMP,8690,5417.9,55.93336049556223
POP,LOAD_CONST,1,1.48,0.5046720495044484
POP,LOAD_GLOBAL,4,5.76,1.2047524938461724
POP,LOAD_GLOBAL_BY_INDEX,3307,2062.14,28.927079326598975
POP,LOAD_LOCAL_SAFE,16391,10138.24,96.54914366713523
STORE_FIELD,POP,40,28.5,2.4928469095164494
STORE_GLOBAL,CREATE_FUNC,16,29.52,3.2403073676326892
STORE_GLOBAL,LOAD_CONST,1,1.8,0.4040610178208843
STORE_GLOBAL,LOAD_GLOBAL,2,3.28,0.8091315576289312
STORE_LOCAL,POP,9832,6064.74,65.24797596360331
SWAP,DUPE,40,28.7,2.851780682525304
