# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,488802,302712.98,2289.0663856601636
ASSERT_FUNC,LOAD_CONST,99804,62064.1,466.92337570045646
ASSERT_FUNC,LOAD_GLOBAL,32,21.38,2.91995247375357
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,426795,265686.22,2265.111893348279
ASSERT_FUNC,LOAD_LOCAL_SAFE,974286,603155.68,4656.7148420318845
CALL,CALL,158478,98793.48,899.265624194067
CALL,DUPE,75844,47423.64,415.9351283799057
CALL,JUMP,34877,21706.36,321.12555621928175
CALL,JUMP_IF_FALSE,519905,322543.78,2430.971832961663
CALL,JUMP_IF_FALSE_PEEK,219331,136131.34,1102.4331459206385
CALL,LOAD_CONST,4992,3152.38,226.20885148418913
CALL,POP,51911,32465.46,274.1446221933801
CALL,RETURN,39875,25031.52,248.45639702871375
CALL,SWAP,166372,103986.58,816.7765435177589
CREATE_CLASS,DUPE,10,9.74,1.7474179201768258
CREATE_FUNC,DUPE,27,38.32,4.181787529128607
CREATE_LIST,DUPE,9,6.34,1.1712543424439785
CREATE_OBJECT,DUPE,28,19.14,2.6496823067172817
DUPE,STORE_FIELD,552409,340804.8,2610.2436198757246
DUPE,STORE_GLOBAL,45,68.36,7.894094925567945
DUPE,STORE_LOCAL,265335,165137.42,1506.7743231208578
JUMP,JUMP,17087,10635.92,92.84611802683524
JUMP,LOAD_GLOBAL_BY_INDEX,115950,72180.44,782.1225740357634
JUMP,LOAD_LOCAL_SAFE,10467,6507.8,62.432984479523356
JUMP,POP,97794,60799.16,529.8140744349738
JUMP,SWAP,1164,735.5,13.475980143066664
JUMP_IF_FALSE,LOAD_CONST,234156,145653.62,1302.8523322279498
JUMP_IF_FALSE,LOAD_GLOBAL,7,4.38,1.2103296902842933
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,196471,122224.32,976.6981118199452
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,270965,167819.76,1337.4695046685574
JUMP_IF_FALSE,LOAD_NONLOCAL,23249,14479.66,239.6095131156318
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,24627,15479.6,282.759795658464
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.64,0.4848732213850612
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,250710,154508.0,1227.8258701244893
JUMP_IF_FALSE_PEEK,POP,12463,7794.18,80.90172672913174
JUMP_IF_TRUE_PEEK,LOAD_LOCAL_SAFE,101043,62372.4,643.5076074269248
LOAD_CONST,CALL,114113,70902.58,692.9016212527574
LOAD_CONST,CREATE_CLASS,2,3.74,0.6642473107178669
LOAD_CONST,DUPE,2348,1478.22,25.177160041496002
LOAD_CONST,JUMP,11619,7235.16,75.36885081696121
LOAD_CONST,LOAD_GLOBAL,5,3.22,1.1656652650757342
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,19305,12017.0,112.39471263618874
LOAD_CONST,LOAD_LOCAL_SAFE,10003,6212.0,67.48151674377819
LOAD_CONST,POP,222537,137550.52,1101.05265476789
LOAD_CONST,SWAP,2684,1667.86,30.336217998441754
LOAD_FIELD,ASSERT_FUNC,1350441,838079.58,6303.5332077837675
LOAD_FIELD,CALL,334209,207802.24,1678.2455070819794
LOAD_FIELD,DUPE,113852,70888.94,563.918846745068
LOAD_FIELD,JUMP_IF_FALSE_PEEK,106953,66540.24,556.6108654259322
LOAD_FIELD,JUMP_IF_TRUE_PEEK,106604,66301.82,479.9726901244539
LOAD_FIELD,LOAD_CONST,38616,24031.26,314.5572729395776
LOAD_FIELD,LOAD_FIELD,558842,346984.26,2682.569251326635
LOAD_FIELD,LOAD_LOCAL_SAFE,24764,15379.22,125.67016920722048
LOAD_FIELD,SWAP,167053,103967.02,858.2260177546577
LOAD_GLOBAL,ASSERT_FUNC,41,26.84,3.5071937732702057
LOAD_GLOBAL,CALL,17,12.1,2.7048708898230704
LOAD_GLOBAL,CREATE_CLASS,8,6.0,1.3401187885209798
LOAD_GLOBAL,CREATE_OBJECT,11,7.86,1.7380495753949632
LOAD_GLOBAL,DUPE,4,3.8,0.9476070829586855
LOAD_GLOBAL,JUMP,2,1.22,0.7365113574085852
LOAD_GLOBAL,JUMP_IF_FALSE,2,1.26,0.750781905341195
LOAD_GLOBAL,LOAD_CONST,7,4.86,1.324956680077365
LOAD_GLOBAL,LOAD_FIELD,1,0.7,0.4629100498862757
LOAD_GLOBAL,LOAD_GLOBAL,15,10.68,2.0044847676331865
LOAD_GLOBAL,LOAD_LOCAL_SAFE,15,9.38,2.834841535361764
LOAD_GLOBAL,SWAP,17,11.28,1.8630674727886978
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,639237,396999.94,3129.3906912316634
LOAD_GLOBAL_BY_INDEX,CALL,94947,58977.74,493.2270582808774
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,17,11.76,1.6970562748477138
LOAD_GLOBAL_BY_INDEX,DUPE,62791,39796.56,389.1208909260756
LOAD_GLOBAL_BY_INDEX,JUMP,12788,8151.9,314.77748862798126
LOAD_GLOBAL_BY_INDEX,JUMP_IF_FALSE,75084,46717.62,470.22907530830736
LOAD_GLOBAL_BY_INDEX,LOAD_CONST,7,4.76,1.0012237410248703
LOAD_GLOBAL_BY_INDEX,LOAD_LOCAL_SAFE,369259,228780.8,1881.750075578262
LOAD_GLOBAL_BY_INDEX,SWAP,138327,85817.14,737.4859392640916
LOAD_LOCAL_SAFE,CALL,799153,497366.58,3804.4961161172328
LOAD_LOCAL_SAFE,CREATE_FUNC,6,4.24,1.0796824930109248
LOAD_LOCAL_SAFE,DUPE,10467,6511.68,78.2383694166717
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,129857,80845.96,596.9089753873342
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,20594,12823.18,127.55018060131697
LOAD_LOCAL_SAFE,LOAD_CONST,2684,1663.0,31.431168723847
LOAD_LOCAL_SAFE,LOAD_FIELD,2269144,1400050.04,10653.487115149372
LOAD_LOCAL_SAFE,LOAD_GLOBAL,31,20.78,2.8663423325462944
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,201204,125444.1,1156.9850906558809
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,509497,317034.76,2574.6669890472654
LOAD_LOCAL_SAFE,RETURN,23126,14490.84,345.6113400444883
LOAD_LOCAL_SAFE,SWAP,76792,47756.82,390.6845739551702
LOAD_NONLOCAL,LOAD_FIELD,65790,40508.84,367.78539438989515
POP,CREATE_FUNC,2,1.48,0.6141195788629906
POP,JUMP,126417,78687.42,794.0757967728342
POP,LOAD_CONST,2348,1475.48,26.968795270967284
POP,LOAD_GLOBAL,24,16.46,2.4843181629360345
POP,LOAD_GLOBAL_BY_INDEX,342050,212732.24,1714.8285278709466
POP,LOAD_LOCAL_SAFE,583600,360403.64,2997.0879455680433
POP,LOAD_NONLOCAL,42541,26496.14,301.30247938182157
STORE_FIELD,JUMP,41171,25633.1,195.82449972839777
STORE_FIELD,POP,457053,281931.88,2134.7429768341817
STORE_GLOBAL,CREATE_FUNC,18,31.06,3.253945799380519
STORE_GLOBAL,LOAD_CONST,2,3.74,0.5272183453498838
STORE_GLOBAL,LOAD_GLOBAL,9,7.02,1.4637106884872557
STORE_GLOBAL,POP,16,26.18,3.293097295240207
STORE_LOCAL,JUMP,10127,6292.66,64.8255461108615
STORE_LOCAL,POP,255208,157257.3,1189.4973428181431
SWAP,DUPE,552409,340534.54,2877.233401965817
