# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,37438,23224.7,181.15156017849262
ASSERT_FUNC,LOAD_CONST,55762,34659.68,340.6507841392614
ASSERT_FUNC,LOAD_GLOBAL,5,7.58,1.444058905463686
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,17744,11010.3,81.19345756291212
ASSERT_FUNC,LOAD_LOCAL_SAFE,122658,75553.08,879.7788646087433
CALL,CALL,5460,3424.44,41.34185999389832
CALL,DUPE,31977,19845.6,137.14181547223413
CALL,JUMP_IF_FALSE,5461,3395.5,54.95016294937882
CALL,JUMP_IF_FALSE_PEEK,33341,20720.0,174.3504563591767
CALL,LOAD_CONST,16384,10134.64,96.08112218753656
CALL,LOAD_LOCAL_SAFE,5460,3389.14,49.88149630343292
CALL,POP,27881,17288.7,136.15780910249555
CALL,SWAP,9557,5952.22,52.618492132383594
CREATE_CLASS,DUPE,2,3.62,0.635353027369631
CREATE_FUNC,DUPE,17,31.1,4.883332752896346
CREATE_LIST,DUPE,5461,3357.48,44.533518676546116
CREATE_OBJECT,DUPE,2,3.56,0.7045044574821687
DUPE,STORE_FIELD,9558,5922.04,60.58825911723451
DUPE,STORE_GLOBAL,21,36.36,5.224588647024016
DUPE,STORE_LOCAL,42899,26449.18,402.0296308503051
JUMP,LOAD_GLOBAL_BY_INDEX,27880,17136.88,298.87815004016016
JUMP_IF_FALSE,LOAD_CONST,1365,855.12,19.784182509040406
JUMP_IF_FALSE,LOAD_GLOBAL,1,1.66,0.5194188275056526
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,4095,2518.96,34.193304034800825
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,27880,17090.06,144.41428642087
JUMP_IF_FALSE_PEEK,POP,5461,3370.84,51.05273783859517
LOAD_CONST,CALL,93988,57759.3,461.36674729569086
LOAD_CONST,CREATE_CLASS,2,3.72,0.6712765785411846
LOAD_CONST,CREATE_LIST,1365,887.98,240.01891847204425
LOAD_CONST,DUPE,5461,3385.42,50.383464245600955
LOAD_CONST,LOAD_CONST,4095,2544.1,32.5803559194299
LOAD_CONST,LOAD_LOCAL_SAFE,1,1.76,0.4763809143009447
LOAD_CONST,SWAP,1,1.84,0.3703280399090206
LOAD_FIELD,ASSERT_FUNC,168864,104775.62,826.9927791309266
LOAD_FIELD,LOAD_CONST,4096,2536.04,37.46288503441821
LOAD_FIELD,LOAD_FIELD,5461,3390.22,40.35419205394318
LOAD_GLOBAL,ASSERT_FUNC,10,15.96,2.8425340807103785
LOAD_GLOBAL,CALL,1,0.7,0.46291004988627577
LOAD_GLOBAL,CREATE_OBJECT,2,3.6,0.7824607964359516
LOAD_GLOBAL,LOAD_FIELD,2,2.8,1.702339326830426
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,64733,39776.62,401.7288094306043
LOAD_LOCAL_SAFE,CALL,96720,59984.4,505.6168186946911
LOAD_LOCAL_SAFE,JUMP,4096,2550.7,35.072665093127625
LOAD_LOCAL_SAFE,LOAD_CONST,17748,11009.44,103.82110988206055
LOAD_LOCAL_SAFE,LOAD_FIELD,177055,108927.74,798.4692449318516
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,1.68,0.5126959555693246
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,4095,2536.52,34.00134451123115
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,37437,23258.78,402.61736988189364
POP,CREATE_LIST,4096,2544.02,39.688321420070814
POP,JUMP,27880,17263.16,156.74265402830403
POP,LOAD_CONST,5462,3389.06,48.57790292984277
POP,LOAD_GLOBAL,4,5.8,1.1605769149479945
POP,LOAD_GLOBAL_BY_INDEX,10919,6780.64,73.34730355490588
POP,LOAD_LOCAL_SAFE,37440,23235.2,460.2711268416494
STORE_FIELD,POP,9558,5858.44,61.571978784415975
STORE_GLOBAL,CREATE_FUNC,16,29.12,4.058953318383487
STORE_GLOBAL,LOAD_CONST,1,1.92,0.34046786536608525
STORE_GLOBAL,LOAD_GLOBAL,2,3.64,0.7216760537322907
STORE_GLOBAL,POP,2,2.44,0.7045044574821687
STORE_LOCAL,POP,42899,26339.9,234.14841360093996
SWAP,DUPE,9558,5877.58,56.53212559677727
