# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,31737,20101.95,196.50779414032093
ASSERT_FUNC,LOAD_CONST,31737,20125.5,209.33742592937583
ASSERT_FUNC,LOAD_GLOBAL,2,2.5,0.606976978666884
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,4999,3226.4,49.9941049156376
ASSERT_FUNC,LOAD_LOCAL_SAFE,93022,58169.55,645.5978441071424
CALL,LOAD_CONST,1,1.85,0.36634754853252327
CALL,LOAD_GLOBAL,2,1.3,0.6569466853317862
CALL,LOAD_GLOBAL_BY_INDEX,4998,3265.35,38.3203601235688
CALL,LOAD_LOCAL_SAFE,70214,44301.75,483.43386583024875
CALL,POP,16069,10428.25,64.2674305661813
CALL,RETURN,70213,44507.5,442.9253828093871
CREATE_CLASS,DUPE,1,1.9,0.3077935056255462
CREATE_FUNC,DUPE,17,31.85,1.2680278927697561
CREATE_LIST,DUPE,1,1.9,0.30779350562554625
CREATE_OBJECT,DUPE,1,1.85,0.36634754853252327
DUPE,STORE_GLOBAL,20,35.5,1.63835604381825
DUPE,STORE_LOCAL,22410,14010.85,181.27770931567076
JUMP,LOAD_GLOBAL_BY_INDEX,21068,13254.25,174.34414695924664
JUMP,POP,669,423.3,16.607227342335026
JUMP_IF_FALSE,LOAD_CONST,4330,2704.65,46.50215048790754
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,669,419.65,15.166705224550956
JUMP_IF_FALSE_PEEK,JUMP,669,421.4,14.269584879441268
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.55,0.5104177855340404
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,4998,3090.75,38.157395641019065
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,16069,10084.95,103.94354489969916
JUMP_IF_FALSE_PEEK,POP,2,1.35,0.6708203932499369
LOAD_CONST,CALL,31738,19822.15,188.33823856366288
LOAD_CONST,CREATE_CLASS,1,2.05,0.22360679774997894
LOAD_CONST,DUPE,3,4.4,0.8207826816681233
LOAD_CONST,POP,4330,2728.25,41.193861320909406
LOAD_FIELD,ASSERT_FUNC,123020,77322.75,687.0086090780594
LOAD_GLOBAL,ASSERT_FUNC,7,5.45,1.234376040972246
LOAD_GLOBAL,CALL,4,3.65,0.8127277008872489
LOAD_GLOBAL,CREATE_OBJECT,1,1.95,0.22360679774997894
LOAD_GLOBAL,LOAD_FIELD,2,2.45,0.5104177855340404
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,38470,24036.8,265.68849984026116
LOAD_GLOBAL_BY_INDEX,CALL,21065,13320.05,149.08227152887918
LOAD_LOCAL_SAFE,CALL,66954,42331.05,406.70880246190876
LOAD_LOCAL_SAFE,LOAD_CONST,1,0.7,0.4701623459816272
LOAD_LOCAL_SAFE,LOAD_FIELD,123018,76895.65,798.3850986769943
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,33477,21046.7,254.00250724000827
LOAD_LOCAL_SAFE,RETURN,1,0.8,0.41039134083406165
POP,CREATE_LIST,1,1.85,0.36634754853252327
POP,JUMP,21068,13322.75,134.5835193632955
POP,LOAD_CONST,2,2.7,0.47016234598162737
POP,LOAD_GLOBAL,6,4.95,1.3168942730211068
POP,LOAD_GLOBAL_BY_INDEX,12404,7797.6,81.03436567933785
POP,LOAD_LOCAL_SAFE,10000,6370.5,86.46295221228087
RETURN,CALL,9999,6245.5,81.47359921116195
RETURN,DUPE,22407,14159.55,170.42963511759237
RETURN,JUMP_IF_FALSE,4999,3136.3,39.64991537788804
RETURN,JUMP_IF_FALSE_PEEK,21739,13840.15,122.3426056527107
RETURN,LOAD_GLOBAL,1,0.7,0.47016234598162726
RETURN,LOAD_GLOBAL_BY_INDEX,11068,6893.6,85.59968027485792
RETURN,RETURN,2,0.95,0.6863327411532597
STORE_GLOBAL,CREATE_FUNC,16,30.0,1.1239029738980324
STORE_GLOBAL,LOAD_CONST,1,1.95,0.22360679774997894
STORE_GLOBAL,LOAD_GLOBAL,2,3.65,0.5871429486123998
STORE_GLOBAL,POP,1,0.55,0.5104177855340405
STORE_LOCAL,POP,22410,14014.05,135.7433627339318
