# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,16396,10352.15,112.62152500626533
ASSERT_FUNC,LOAD_CONST,20492,12954.2,128.10012531322207
ASSERT_FUNC,LOAD_GLOBAL,2,1.7,0.6569466853317862
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,4094,2576.75,36.54971380116906
ASSERT_FUNC,LOAD_LOCAL_SAFE,130956,81586.7,780.9062953423149
CALL,CALL,8205,5160.95,83.71912628105454
CALL,DUPE,16396,10413.65,90.94027826285905
CALL,LOAD_GLOBAL,3,3.3,1.0809352675491624
CALL,LOAD_GLOBAL_BY_INDEX,16394,10325.75,116.67538187999236
CALL,LOAD_LOCAL_SAFE,73677,46333.85,429.42621141778375
CALL,POP,8191,5184.75,55.256221369181524
CALL,RETURN,49074,31032.3,316.6495821799501
CREATE_CLASS,DUPE,2,3.55,0.8870412083230168
CREATE_FUNC,DUPE,17,28.45,8.804753500838414
CREATE_LIST,SWAP,1,1.5,0.6069769786668839
CREATE_OBJECT,LOAD_LOCAL_SAFE,15,19.65,5.97604868577364
DUPE,STORE_FIELD,24633,15443.3,167.932661943317
DUPE,STORE_GLOBAL,21,34.55,9.383496150156402
DUPE,STORE_LOCAL,20520,12936.05,116.36352973604616
JUMP,LOAD_GLOBAL_BY_INDEX,14,17.35,4.923359999452663
JUMP,RETURN,12415,7759.35,85.91750939740191
JUMP_IF_FALSE,LOAD_GLOBAL,3,4.25,1.2085223687584248
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,12297,7714.6,83.75930427499732
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20492,12742.15,127.3599437152745
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE,128,80.85,3.9373381336821165
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,2,3.1,1.0208355710680808
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,8089,5028.25,62.69800215066052
JUMP_IF_FALSE_PEEK,RETURN,1,0.9,0.5525062514530825
LOAD_CONST,CALL,32809,20466.3,215.34527966427373
LOAD_CONST,CREATE_CLASS,2,3.5,0.9999999999999999
LOAD_CONST,CREATE_LIST,1,1.6,0.5026246899500346
LOAD_CONST,LOAD_CONST,5,6.75,2.197486602557807
LOAD_CONST,LOAD_LOCAL_SAFE,4095,2578.15,36.30031897786479
LOAD_CONST,SWAP,8222,5174.25,72.45243448744743
LOAD_FIELD,ASSERT_FUNC,131056,82107.3,748.3651726122406
LOAD_FIELD,CALL,16268,10242.25,125.91219789578511
LOAD_FIELD,LOAD_FIELD,40983,25799.55,237.3526080040319
LOAD_FIELD,LOAD_LOCAL_SAFE,8077,5092.6,43.583434805826045
LOAD_FIELD,RETURN,1,0.65,0.489360484929593
LOAD_GLOBAL,ASSERT_FUNC,8,9.95,2.4809802816416617
LOAD_GLOBAL,CALL,1,0.6,0.5026246899500345
LOAD_GLOBAL,CREATE_OBJECT,2,3.15,1.1821033884786185
LOAD_GLOBAL,JUMP,1,1.55,0.6863327411532596
LOAD_GLOBAL,LOAD_FIELD,2,2.25,0.5501196042201808
LOAD_GLOBAL,RETURN,1,1.45,0.6863327411532597
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40876,25435.55,252.6960885290774
