# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,17745,11523.05,101.14787247027584
ASSERT_FUNC,LOAD_CONST,7394,4810.2,55.6517366258564
ASSERT_FUNC,LOAD_GLOBAL,5,3.45,1.6050905860647506
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,996,649.3,15.566833839592219
ASSERT_FUNC,LOAD_LOCAL_SAFE,83399,53522.6,342.7272047009167
CALL,CALL,5050,3277.6,47.443484384331626
CALL,DUPE,5000,3264.65,35.8847203959392
CALL,LOAD_CONST,5000,3244.3,31.4828273992765
CALL,LOAD_GLOBAL,3,2.45,0.6863327411532597
CALL,LOAD_GLOBAL_BY_INDEX,1425,920.2,22.19198527681368
CALL,LOAD_LOCAL_SAFE,46324,30032.4,150.54476515571457
CALL,POP,200,146.2,12.915107432770348
CALL,RETURN,46537,30308.95,195.54794135562037
CREATE_CLASS,DUPE,3,3.25,1.019545822516343
CREATE_FUNC,DUPE,18,30.85,7.278483069257885
CREATE_LIST,DUPE,1,1.0,0.6488856845230502
CREATE_OBJECT,DUPE,1,0.85,0.4893604849295929
CREATE_OBJECT,LOAD_LOCAL_SAFE,101,65.75,7.906526284958323
DUPE,STORE_FIELD,14053,9078.2,81.67109905623066
DUPE,STORE_GLOBAL,23,36.7,6.944138004934734
DUPE,STORE_LOCAL,28164,18026.05,148.1725434470869
JUMP,LOAD_GLOBAL_BY_INDEX,5250,3423.8,41.524374579402455
JUMP,POP,2757,1762.25,29.72483455754938
JUMP,RETURN,713,463.8,6.985699678629195
JUMP_IF_FALSE,LOAD_CONST,22243,14305.35,122.90872736774185
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,4183,2711.25,25.29588067151199
JUMP_IF_FALSE_PEEK,LOAD_CONST,50,32.9,4.423620807961683
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.95,0.3940344628262062
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,99,63.3,4.473312678070857
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5100,3278.2,43.57280658488978
JUMP_IF_FALSE_PEEK,POP,53,36.75,9.118373585355299
LOAD_CONST,CALL,19959,12901.7,106.50233503741104
LOAD_CONST,CREATE_CLASS,3,3.65,1.0399898784932577
LOAD_CONST,DUPE,10055,6513.6,85.14470654498488
LOAD_CONST,LOAD_GLOBAL,2,1.35,0.7451598203705946
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,711,460.45,17.57832097843968
LOAD_CONST,POP,22243,14292.25,104.2486274048223
LOAD_CONST,SWAP,1114,726.0,13.576295130619553
LOAD_FIELD,ASSERT_FUNC,68870,44690.4,226.6816455319058
LOAD_FIELD,CALL,11426,7393.35,85.12793777294088
LOAD_FIELD,LOAD_CONST,10400,6739.65,86.18906695839034
LOAD_FIELD,LOAD_LOCAL_SAFE,20000,12934.05,94.11050335698602
LOAD_FIELD,RETURN,400,263.95,11.591625833923565
LOAD_GLOBAL,ASSERT_FUNC,27,18.85,2.796143961356707
LOAD_GLOBAL,CALL,1,0.8,0.41039134083406165
LOAD_GLOBAL,CREATE_OBJECT,3,2.65,1.1821033884786183
LOAD_GLOBAL,DUPE,5,3.2,1.1964860832322377
LOAD_GLOBAL,LOAD_FIELD,2,1.75,0.638666373658505
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40642,26116.25,157.63411165701075
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,99,63.95,5.986607861235821
LOAD_GLOBAL_BY_INDEX,DUPE,6421,4153.15,45.701865676532314
LOAD_LOCAL_SAFE,CALL,54645,35337.05,226.04644958154304
LOAD_LOCAL_SAFE,JUMP,713,461.9,17.941131807283387
LOAD_LOCAL_SAFE,LOAD_CONST,2592,1683.8,28.117422955957586
LOAD_LOCAL_SAFE,LOAD_FIELD,111094,71121.85,408.7131634777595
LOAD_LOCAL_SAFE,LOAD_GLOBAL,11,7.6,1.5694450913417908
