# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,LOAD_GLOBAL,2,3.6,0.6805570473787206
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,1999999,1297752.3,9801.97031804268
ASSERT_FUNC,LOAD_LOCAL_SAFE,2000001,1297498.45,11154.333137135998
CALL,LOAD_LOCAL_SAFE,2000001,1300483.1,9867.502376354843
CALL,RETURN,2000001,1302842.45,10306.064415392064
CREATE_FUNC,DUPE,17,29.8,5.754632001586566
DUPE,STORE_GLOBAL,21,38.7,5.722531644390674
DUPE,STORE_GLOBAL_BY_INDEX,999999,642810.7,6078.085173716114
JUMP,LOAD_GLOBAL_BY_INDEX,1000000,642776.9,5196.90356087669
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,1.9,0.3077935056255462
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,999999,643364.8,4719.634927897665
JUMP_IF_FALSE_PEEK,POP,1,0.8,0.41039134083406165
LOAD_CONST,DUPE,3,5.6,0.8207826816681232
LOAD_FIELD,ASSERT_FUNC,2000001,1309783.45,11235.416486670525
LOAD_GLOBAL,ASSERT_FUNC,2,3.75,0.5501196042201808
LOAD_GLOBAL,CALL,2,3.75,0.7163503994113789
LOAD_GLOBAL,LOAD_GLOBAL,2,3.65,0.7451598203705945
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,1999999,1298791.05,10853.427018688613
LOAD_GLOBAL_BY_INDEX,CALL,1999999,1298936.05,10481.374600866253
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,1999999,1297864.05,10679.295469936695
LOAD_LOCAL_SAFE,CALL,2000001,1298789.0,10770.556360550234
LOAD_LOCAL_SAFE,LOAD_FIELD,2000001,1297622.45,10627.464219380405
POP,JUMP,1000000,642892.85,5422.008506031118
POP,LOAD_CONST,2,3.5,1.0513149660756935
POP,LOAD_GLOBAL,2,2.5,0.7608859102526822
RETURN,DUPE,1000000,644089.7,5931.575969690555
RETURN,JUMP_IF_FALSE_PEEK,1000001,650011.4,5914.480841211064
STORE_GLOBAL,CREATE_FUNC,16,29.15,3.9239480655396846
STORE_GLOBAL,LOAD_CONST,1,1.9,0.4472135954999579
STORE_GLOBAL,POP,4,7.2,1.361114094757441
STORE_GLOBAL_BY_INDEX,POP,999999,642220.05,5541.224360953191
