# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,17745,10879.78,87.15369721804966
ASSERT_FUNC,LOAD_CONST,7394,4561.88,44.36934039792486
ASSERT_FUNC,LOAD_GLOBAL,5,3.38,0.9874725519305975
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,996,625.02,13.629934043890882
ASSERT_FUNC,LOAD_LOCAL_SAFE,83399,50612.14,190.32475039322884
CALL,CALL,5763,3527.44,36.84449395355946
CALL,DUPE,11582,7117.76,60.50891652964725
CALL,JUMP_IF_FALSE,26426,16098.36,77.4258723831106
CALL,JUMP_IF_FALSE_PEEK,5303,3273.18,39.73159437823675
CALL,LOAD_CONST,1400,881.62,22.122008618254412
CALL,POP,300,204.42,12.100075897889813
CALL,SWAP,12226,7477.54,52.347040537753635
CREATE_CLASS,DUPE,3,3.38,0.9233921492109894
CREATE_FUNC,DUPE,18,31.56,5.603060388241921
CREATE_LIST,DUPE,1,1.04,0.49321932861805906
CREATE_OBJECT,DUPE,102,64.3,5.908313064260063
DUPE,STORE_FIELD,13652,8338.48,65.53803693821095
DUPE,STORE_GLOBAL,23,36.92,5.40913814855972
DUPE,STORE_LOCAL,28164,17061.24,112.27309271120436
JUMP,LOAD_GLOBAL_BY_INDEX,5250,3206.46,31.914560684325046
JUMP,POP,2757,1675.78,30.588306422486298
JUMP_IF_FALSE,LOAD_CONST,22243,13481.32,58.79519624970065
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,4183,2548.42,33.05227152649612
JUMP_IF_FALSE_PEEK,LOAD_CONST,50,30.62,3.7465085787453156
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.78,0.4184519575964803
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,99,61.48,5.418185553658857
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5100,3110.96,39.433208837015414
JUMP_IF_FALSE_PEEK,POP,53,32.5,4.267819784654186
LOAD_CONST,CALL,19959,12219.62,87.3736732403431
LOAD_CONST,CREATE_CLASS,3,3.3,1.0151907431108496
LOAD_CONST,DUPE,10055,6118.54,60.59137474820593
LOAD_CONST,LOAD_GLOBAL,2,1.2,0.6700593942604899
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,711,432.2,11.223153909372778
LOAD_CONST,POP,22243,13529.48,62.676767169798495
LOAD_CONST,SWAP,713,432.26,15.827913859471725
LOAD_FIELD,ASSERT_FUNC,68870,42146.3,153.19352173652982
LOAD_FIELD,CALL,11426,6975.64,44.167935548452384
LOAD_FIELD,LOAD_CONST,10400,6364.4,61.84476946520282
LOAD_FIELD,LOAD_LOCAL_SAFE,20000,12203.6,58.267854406549205
LOAD_GLOBAL,ASSERT_FUNC,27,17.86,3.522580223156234
LOAD_GLOBAL,CALL,1,0.56,0.501426536422407
LOAD_GLOBAL,CREATE_OBJECT,3,2.5,0.9948848769417228
LOAD_GLOBAL,DUPE,5,3.0,1.1065666703449761
LOAD_GLOBAL,LOAD_FIELD,2,1.58,0.5746338674605362
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40642,24621.02,108.33555016046915
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,99,61.64,5.6632002202547875
LOAD_GLOBAL_BY_INDEX,DUPE,6421,3918.58,39.83695853483467
LOAD_LOCAL_SAFE,CALL,54645,33485.34,135.50248284493867
LOAD_LOCAL_SAFE,JUMP,713,436.1,12.573457628460611
LOAD_LOCAL_SAFE,LOAD_CONST,2191,1336.36,29.10134298044177
LOAD_LOCAL_SAFE,LOAD_FIELD,111094,67347.66,219.7985729095189
LOAD_LOCAL_SAFE,LOAD_GLOBAL,11,7.16,1.6457738084473907
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,12215,7471.62,57.33748640234206
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,6065,3722.16,33.0758929414997
LOAD_LOCAL_SAFE,SWAP,713,438.14,14.894198295213565
POP,CREATE_LIST,1,0.98,0.4733726150223112
POP,JUMP,5250,3224.12,31.012597835231276
POP,LOAD_CONST,5005,3060.9,35.58218426031058
POP,LOAD_GLOBAL,14,9.32,1.6956125857094617
POP,LOAD_GLOBAL_BY_INDEX,26466,16082.9,53.63491476298514
POP,LOAD_LOCAL_SAFE,27577,16805.68,72.6794584010452
STORE_FIELD,POP,13552,8206.08,55.96859177526333
STORE_GLOBAL,CREATE_FUNC,17,29.92,4.164181571841615
STORE_GLOBAL,LOAD_CONST,3,3.56,0.8609439527611066
STORE_GLOBAL,LOAD_GLOBAL,2,2.0,0.8806305718527109
STORE_GLOBAL,POP,1,0.62,0.4903143514780146
STORE_LOCAL,JUMP,2757,1682.96,22.39894312375526
STORE_LOCAL,POP,25407,15413.26,95.95083987891628
SWAP,DUPE,13652,8271.3,46.37436395955292
