# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,613781,376275.12,1673.0189093433537
ASSERT_FUNC,LOAD_CONST,296034,181740.7,1045.7135294688946
ASSERT_FUNC,LOAD_GLOBAL,22,14.12,3.000952229828773
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,45210,27746.32,396.9577389730706
ASSERT_FUNC,LOAD_LOCAL_SAFE,2250256,1366345.2,3505.6107971684796
ASSERT_FUNC,LOAD_NONLOCAL,4008,2488.62,264.0165339596776
CALL,CALL,379971,233193.32,907.3455665527132
CALL,DUPE,294201,180500.86,903.973338283007
CALL,JUMP,26051,15984.56,79.28228049192295
CALL,JUMP_IF_FALSE,362623,221614.02,789.2875756926961
CALL,JUMP_IF_FALSE_PEEK,331348,203375.56,1031.383876356501
CALL,JUMP_IF_TRUE_PEEK,5010,3072.08,38.677547143804524
CALL,LOAD_CONST,5168,3163.66,41.20957388267724
CALL,LOAD_GLOBAL,3,1.84,0.7655863432556721
CALL,LOAD_GLOBAL_BY_INDEX,27064,16589.94,96.79673843383735
CALL,LOAD_LOCAL_SAFE,37082,22740.7,400.5934500773785
CALL,POP,332924,205198.18,844.8905179648643
CALL,RETURN,2000,1225.0,22.942697028439714
CALL,SWAP,93232,57385.86,339.34745363080975
CREATE_CLASS,DUPE,28,17.52,3.6322815677966243
CREATE_FUNC,DUPE,29246,17760.08,301.08937177509006
CREATE_LIST,DUPE,9174,5579.62,264.62425344288454
CREATE_OBJECT,DUPE,12094,7356.06,64.99902982007502
CREATE_OBJECT,SWAP,3003,1838.7,31.3344369468403
DUPE,STORE_FIELD,254722,155736.78,853.203549893585
DUPE,STORE_GLOBAL,61,59.08,5.781179880986798
DUPE,STORE_LOCAL,423320,257860.38,1243.13912876612
JUMP,LOAD_GLOBAL_BY_INDEX,251671,152790.92,711.6914844085115
JUMP,POP,23205,14284.16,98.18731785599977
JUMP_IF_FALSE,LOAD_CONST,72129,44437.4,572.2063635166761
JUMP_IF_FALSE,LOAD_GLOBAL,9,5.44,1.4591023239775665
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,198667,120981.1,815.4979260224613
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,239235,145419.62,859.4907341215562
JUMP_IF_FALSE,LOAD_NONLOCAL,12027,7341.66,61.645004100999486
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE,14022,8684.88,270.738418826312
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,2,1.32,0.6527805519311922
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,4,2.38,1.0476406924170918
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,11045,6738.96,47.511528139204785
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,276718,167639.96,817.4924067549728
JUMP_IF_FALSE_PEEK,POP,18359,11283.64,77.60016831456684
JUMP_IF_FALSE_PEEK,SWAP,1005,615.94,15.464785541246103
JUMP_IF_TRUE_PEEK,CALL,3002,1825.62,28.42167181169025
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL,1,0.6,0.4948716593053934
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL_BY_INDEX,1997,1209.38,27.55765014714885
JUMP_IF_TRUE_PEEK,LOAD_LOCAL_SAFE,2010,1211.9,22.45744274608924
LOAD_CONST,CALL,403589,244599.66,1031.2146119593006
LOAD_CONST,CREATE_CLASS,19,12.32,1.7778684784118908
