# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,153591,94244.84,545.9335520604272
ASSERT_FUNC,LOAD_CONST,123398,75816.24,507.04536527709223
ASSERT_FUNC,LOAD_GLOBAL,5,2.98,1.0783585409580354
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,869,533.5,14.505804608739869
ASSERT_FUNC,LOAD_LOCAL_SAFE,436374,265491.34,1009.3305643659403
CALL,CALL,77122,47729.42,428.39134740399714
CALL,DUPE,22616,13964.22,99.45613123793001
CALL,JUMP,598,383.82,13.325883973435655
CALL,JUMP_IF_FALSE,119435,73008.04,309.5535929992973
CALL,JUMP_IF_FALSE_PEEK,44626,27480.6,296.5099716119273
CALL,JUMP_IF_TRUE_PEEK,44250,27028.54,264.90092179406804
CALL,LOAD_CONST,4468,2738.94,36.13264113100558
CALL,LOAD_GLOBAL,2,1.26,0.7774894185250159
CALL,LOAD_GLOBAL_BY_INDEX,3725,2290.54,27.51490134306076
CALL,POP,69335,42678.22,301.27628448292273
CALL,RETURN,3392,2098.28,32.57333327764193
CALL,SWAP,59166,36395.1,476.81610925053235
CREATE_CLASS,DUPE,10,6.26,2.1458074927444835
CREATE_FUNC,DUPE,20,33.22,4.062220163046463
CREATE_LIST,DUPE,1027,620.3,16.672413975039795
CREATE_OBJECT,DUPE,2778,1691.2,27.25315933754383
DUPE,STORE_FIELD,63899,38821.3,389.55397048209824
DUPE,STORE_GLOBAL,36,44.8,6.651683843898753
DUPE,STORE_LOCAL,28160,17191.3,270.2451079434136
JUMP,LOAD_GLOBAL_BY_INDEX,27020,16491.34,349.6728856213695
JUMP,LOAD_LOCAL_SAFE,3820,2333.48,31.658406369834072
JUMP,POP,4224,2610.76,33.41853329137792
JUMP_IF_FALSE,LOAD_CONST,56007,34307.94,278.70739612192085
JUMP_IF_FALSE,LOAD_GLOBAL,9,5.68,1.583589309777259
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,50572,30946.58,417.28769941328574
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,51493,31550.2,288.35111816488376
JUMP_IF_FALSE_PEEK,JUMP,693,432.08,12.146789279308265
JUMP_IF_FALSE_PEEK,LOAD_CONST,1138,690.4,15.658341977022575
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,3,2.0,0.9035079029052513
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,13597,8267.4,79.34579448238466
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,16816,10187.84,87.0370223830422
JUMP_IF_FALSE_PEEK,POP,3689,2303.74,31.027183604848478
JUMP_IF_TRUE_PEEK,JUMP_IF_FALSE,695,435.04,12.235712200817106
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL,23,13.96,3.174901573277509
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL_BY_INDEX,41737,25303.0,116.44268100307418
LOAD_CONST,CALL,142102,86395.24,404.7357696884551
LOAD_CONST,CREATE_CLASS,5,3.12,0.9822921964383478
LOAD_CONST,DUPE,1033,634.26,15.686742094871729
LOAD_CONST,LOAD_CONST,157,96.54,6.940593399320687
LOAD_CONST,LOAD_LOCAL_SAFE,60595,36928.98,310.94920446128083
LOAD_CONST,POP,54573,33454.92,281.7331810527869
LOAD_CONST,SWAP,1,0.64,0.48487322138506117
LOAD_FIELD,ASSERT_FUNC,477678,291197.84,1263.345548089506
LOAD_FIELD,CALL,87000,53285.68,207.59550936907016
LOAD_FIELD,DUPE,712,439.16,12.223029451800883
LOAD_FIELD,LOAD_CONST,67949,41595.98,160.86786186057114
LOAD_FIELD,LOAD_FIELD,105915,64911.58,377.84296975849736
LOAD_FIELD,LOAD_LOCAL_SAFE,46309,28350.56,396.7790296466634
LOAD_FIELD,SWAP,2661,1634.62,26.104882645956966
LOAD_GLOBAL,ASSERT_FUNC,85,52.42,4.44508442104355
LOAD_GLOBAL,CALL,2,1.34,0.7174216873994125
LOAD_GLOBAL,CREATE_CLASS,5,3.14,0.9691148917798075
LOAD_GLOBAL,CREATE_OBJECT,13,8.36,1.8489931071272498
LOAD_GLOBAL,JUMP,2,1.22,0.6480740698407861
