# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,31737,19470.38,102.9045307504948
ASSERT_FUNC,LOAD_CONST,31737,19552.92,82.1322577012355
ASSERT_FUNC,LOAD_GLOBAL,2,2.16,0.5480950312357393
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,4999,3141.28,34.09532854470574
ASSERT_FUNC,LOAD_LOCAL_SAFE,93022,56564.26,179.24100865503254
CALL,CALL,9999,6107.44,40.61223300174163
CALL,DUPE,22407,13835.64,83.21468669431292
CALL,JUMP_IF_FALSE,4999,3054.9,35.347978610335446
CALL,JUMP_IF_FALSE_PEEK,21739,13386.36,64.52772225001804
CALL,LOAD_GLOBAL,2,1.34,0.7174216873994126
CALL,LOAD_GLOBAL_BY_INDEX,16066,9927.3,60.92191388849113
CALL,POP,16069,10187.82,54.75611605015454
CREATE_CLASS,DUPE,1,1.78,0.4184519575964803
CREATE_FUNC,DUPE,17,30.78,6.250844840858696
CREATE_LIST,DUPE,1,1.56,0.5405967979549858
CREATE_OBJECT,DUPE,1,1.7,0.5050762722761053
DUPE,STORE_GLOBAL,20,34.04,5.834310899623827
DUPE,STORE_LOCAL,22410,13641.8,71.95151428679779
JUMP,LOAD_GLOBAL_BY_INDEX,21068,12844.36,64.80449719844171
JUMP,POP,669,409.32,12.495615557597203
JUMP_IF_FALSE,LOAD_CONST,4330,2621.84,35.97695407465447
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,669,408.8,10.456908662482904
JUMP_IF_FALSE_PEEK,JUMP,669,410.14,12.275760087028633
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.6,0.49487165930539345
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,4998,3020.2,29.64208260606005
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,16069,9808.4,66.57878561431944
JUMP_IF_FALSE_PEEK,POP,2,1.24,0.6246631745450127
LOAD_CONST,CALL,31738,19297.76,89.72851570494326
LOAD_CONST,CREATE_CLASS,1,1.82,0.4375255094603873
LOAD_CONST,DUPE,3,4.16,0.9553287712743135
LOAD_CONST,POP,4330,2646.14,30.307950058271764
LOAD_FIELD,ASSERT_FUNC,123020,75201.06,179.71705766656572
LOAD_GLOBAL,ASSERT_FUNC,7,5.3,1.2817398889233116
LOAD_GLOBAL,CALL,4,3.64,1.0253919111386494
LOAD_GLOBAL,CREATE_OBJECT,1,1.7,0.5050762722761054
LOAD_GLOBAL,LOAD_FIELD,2,2.44,0.7602362683228611
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,38470,23402.76,94.10991402805173
LOAD_GLOBAL_BY_INDEX,CALL,21065,12941.46,78.41886747148435
LOAD_LOCAL_SAFE,CALL,66954,41062.9,150.6176738416494
LOAD_LOCAL_SAFE,LOAD_CONST,1,0.54,0.5034574339058885
LOAD_LOCAL_SAFE,LOAD_FIELD,123018,74877.38,232.47065998766843
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,33477,20502.46,90.4348248796911
POP,CREATE_LIST,1,1.58,0.5379477252503638
POP,JUMP,21068,12934.72,78.39097199165172
POP,LOAD_CONST,2,2.4,0.67005939426049
POP,LOAD_GLOBAL,6,4.74,1.0843976979627625
POP,LOAD_GLOBAL_BY_INDEX,12404,7568.78,57.053962998879676
POP,LOAD_LOCAL_SAFE,10000,6191.68,53.073856895031625
STORE_GLOBAL,CREATE_FUNC,16,29.06,4.9421551937574435
STORE_GLOBAL,LOAD_CONST,1,1.82,0.43752550946038715
STORE_GLOBAL,LOAD_GLOBAL,2,3.44,0.7866228513106404
STORE_GLOBAL,POP,1,0.54,0.5034574339058885
STORE_LOCAL,POP,22410,13627.52,68.83112727271472
