# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,37438,23027.44,362.45265193947665
ASSERT_FUNC,LOAD_CONST,55762,34263.36,291.7281205618198
ASSERT_FUNC,LOAD_GLOBAL,5,7.06,2.410944433458492
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,17744,10886.82,61.40986093786697
ASSERT_FUNC,LOAD_LOCAL_SAFE,122658,74599.28,303.4149875894048
CALL,CALL,5460,3387.26,41.170531367244024
CALL,DUPE,31977,19707.3,327.3911877187873
CALL,JUMP_IF_FALSE,5461,3353.78,34.58694457008133
CALL,JUMP_IF_FALSE_PEEK,33341,20504.8,134.430317280298
CALL,LOAD_CONST,16384,10038.08,274.18553527693973
CALL,LOAD_LOCAL_SAFE,5460,3356.86,45.56045994285045
CALL,POP,27881,17231.08,401.1703714617714
CALL,SWAP,9557,5979.82,384.19668060481087
CREATE_CLASS,DUPE,2,3.54,0.9304376850247875
CREATE_FUNC,DUPE,17,30.78,4.082266277349344
CREATE_LIST,DUPE,5461,3326.68,46.413157881034074
CREATE_OBJECT,DUPE,2,3.54,0.7615773105863909
DUPE,STORE_FIELD,9558,5858.92,57.589624915944555
DUPE,STORE_GLOBAL,21,36.36,4.7326913428765645
DUPE,STORE_LOCAL,42899,26057.1,160.27606922852567
JUMP,LOAD_GLOBAL_BY_INDEX,27880,16941.9,95.0774657308233
JUMP_IF_FALSE,LOAD_CONST,1365,843.94,18.0446272177779
JUMP_IF_FALSE,LOAD_GLOBAL,1,1.54,0.5788799882672802
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,4095,2490.8,39.72404813208235
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,27880,16911.08,93.21422331689176
JUMP_IF_FALSE_PEEK,POP,5461,3353.58,40.415742538000735
LOAD_CONST,CALL,93988,57063.1,400.62880422594463
LOAD_CONST,CREATE_CLASS,2,3.56,0.7602362683228611
LOAD_CONST,CREATE_LIST,1365,842.96,13.078975182969598
LOAD_CONST,DUPE,5461,3394.62,271.8451607598918
LOAD_CONST,LOAD_CONST,4095,2508.76,23.237513653924506
LOAD_CONST,LOAD_LOCAL_SAFE,1,1.76,0.4314191105869001
LOAD_CONST,SWAP,1,1.84,0.3703280399090206
LOAD_FIELD,ASSERT_FUNC,168864,103659.78,360.3557363699015
LOAD_FIELD,LOAD_CONST,4096,2512.1,30.03008695373656
LOAD_FIELD,LOAD_FIELD,5461,3350.26,32.20204708919455
LOAD_GLOBAL,ASSERT_FUNC,10,15.08,2.877357063951117
LOAD_GLOBAL,CALL,1,0.7,0.4629100498862757
LOAD_GLOBAL,CREATE_OBJECT,2,3.48,0.8861749953869041
LOAD_GLOBAL,LOAD_FIELD,2,2.42,0.6417450698633201
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,64733,39293.7,288.3913334767376
LOAD_LOCAL_SAFE,CALL,96720,59248.88,388.32679484145206
LOAD_LOCAL_SAFE,JUMP,4096,2503.96,33.31112457435452
LOAD_LOCAL_SAFE,LOAD_CONST,17748,10941.52,265.6563101114683
LOAD_LOCAL_SAFE,LOAD_FIELD,177055,107612.08,584.1308855287233
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,1.56,0.5405967979549858
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,4095,2504.36,31.900201521978815
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,37437,22907.48,116.98163818937245
POP,CREATE_LIST,4096,2560.42,271.29177680730635
POP,JUMP,27880,17091.76,107.12048528338069
POP,LOAD_CONST,5462,3355.74,32.151306825885754
POP,LOAD_GLOBAL,4,5.54,1.248836192915105
POP,LOAD_GLOBAL_BY_INDEX,10919,6684.58,57.575536897015546
POP,LOAD_LOCAL_SAFE,37440,22897.46,130.5290975458058
STORE_FIELD,POP,9558,5795.62,44.51685761871471
STORE_GLOBAL,CREATE_FUNC,16,29.44,4.849405602120487
STORE_GLOBAL,LOAD_CONST,1,1.88,0.32826072265931594
STORE_GLOBAL,LOAD_GLOBAL,2,3.5,0.6144518047887589
STORE_GLOBAL,POP,2,2.52,0.5799366608624126
STORE_LOCAL,POP,42899,26036.92,144.1337021020154
SWAP,DUPE,9558,5806.78,52.20848707297475
