# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,613781,375597.44,1280.3500662884753
ASSERT_FUNC,LOAD_CONST,296034,181459.72,908.1363522542856
ASSERT_FUNC,LOAD_GLOBAL,22,13.24,3.0072022389793562
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,45210,27695.94,320.57393747426636
ASSERT_FUNC,LOAD_LOCAL_SAFE,2250256,1364265.0,3853.338224110054
ASSERT_FUNC,LOAD_NONLOCAL,4008,2448.5,31.355271665614534
CALL,CALL,379971,233199.26,1020.3905576807742
CALL,DUPE,294201,180500.12,1141.6496950126393
CALL,JUMP,26051,16075.06,409.3203131723488
CALL,JUMP_IF_FALSE,362623,221271.66,783.3736463501368
CALL,JUMP_IF_FALSE_PEEK,331348,203270.18,1198.0698369818635
CALL,JUMP_IF_TRUE_PEEK,5010,3068.4,32.442099129346815
CALL,LOAD_CONST,5168,3183.84,36.629618884064804
CALL,LOAD_GLOBAL,3,1.9,0.7354021529276428
CALL,LOAD_GLOBAL_BY_INDEX,27064,16592.92,88.65430224260069
CALL,LOAD_LOCAL_SAFE,37082,22676.4,117.38076885912496
CALL,POP,332924,204969.78,924.3329042932442
CALL,RETURN,2000,1223.06,21.6195395370928
CALL,SWAP,93232,57390.8,494.2725844664077
CREATE_CLASS,DUPE,28,17.88,2.568569839503719
CREATE_FUNC,DUPE,29246,17700.7,96.68531957028516
CREATE_LIST,DUPE,9174,5546.22,51.84564610850329
CREATE_OBJECT,DUPE,12094,7381.3,274.5837108892556
CREATE_OBJECT,SWAP,3003,1838.38,21.115706505454423
DUPE,STORE_FIELD,254722,155478.14,693.1003994180548
DUPE,STORE_GLOBAL,61,59.6,4.806458240360204
DUPE,STORE_LOCAL,423320,257451.58,921.0176290718989
JUMP,LOAD_GLOBAL_BY_INDEX,251671,152454.5,618.07998458689
JUMP,POP,23205,14375.0,396.1410797961266
JUMP_IF_FALSE,LOAD_CONST,72129,44233.9,183.80227286463085
JUMP_IF_FALSE,LOAD_GLOBAL,9,5.66,1.6612019253343928
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,198667,120507.68,535.9699367140145
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,239235,145169.06,804.8689438254529
JUMP_IF_FALSE,LOAD_NONLOCAL,12027,7335.52,52.88772860252804
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE,14022,8643.16,62.65531233076174
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,2,1.3,0.6468132241526725
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,4,2.42,0.970798114744686
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,11045,6769.32,282.23947278862306
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,276718,167584.82,885.2134457235741
JUMP_IF_FALSE_PEEK,POP,18359,11283.86,287.4934611501307
JUMP_IF_FALSE_PEEK,SWAP,1005,615.48,17.14790401900177
JUMP_IF_TRUE_PEEK,CALL,3002,1823.36,29.62470011903678
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL,1,0.58,0.49856938190329
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL_BY_INDEX,1997,1213.66,25.3599475310086
JUMP_IF_TRUE_PEEK,LOAD_LOCAL_SAFE,2010,1217.54,23.752301714459023
LOAD_CONST,CALL,403589,244488.64,1003.0621841671267
LOAD_CONST,CREATE_CLASS,19,12.56,2.1108079505444426
LOAD_CONST,DUPE,12332,7584.26,280.9229547947484
LOAD_CONST,JUMP,6007,3716.12,277.0165131746275
LOAD_CONST,LOAD_GLOBAL,2,1.3,0.614451804788759
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,1996,1210.84,20.840854696719976
LOAD_CONST,LOAD_LOCAL_SAFE,122,74.88,6.20940695186566
LOAD_CONST,POP,46046,28196.94,388.04572684472225
LOAD_CONST,SWAP,5022,3060.54,33.80931522403795
LOAD_FIELD,ASSERT_FUNC,2120189,1294913.98,3685.020258521537
LOAD_FIELD,CALL,301643,184606.52,985.0472741167785
LOAD_FIELD,DUPE,60269,37156.16,658.676575430164
LOAD_FIELD,JUMP,25011,15287.64,88.91540579536866
LOAD_FIELD,JUMP_IF_FALSE,11015,6746.26,56.43772439329824
LOAD_FIELD,JUMP_IF_FALSE_PEEK,10010,6136.2,69.23075876504376
LOAD_FIELD,JUMP_IF_TRUE_PEEK,2000,1221.12,24.427017494435717
LOAD_FIELD,LOAD_CONST,63127,38631.26,343.64206639455074
LOAD_FIELD,LOAD_FIELD,574002,351107.2,1442.6124969396822
LOAD_FIELD,LOAD_GLOBAL,13,7.8,1.7261494247992248
LOAD_FIELD,LOAD_GLOBAL_BY_INDEX,202070,123718.34,705.5075929240315
LOAD_FIELD,LOAD_LOCAL_SAFE,261436,159867.7,520.5061606410704
LOAD_FIELD,LOAD_NONLOCAL,3002,1843.18,31.7301697674215
LOAD_FIELD,RETURN,5002,3100.28,280.5751410868724
LOAD_FIELD,SWAP,114033,70074.54,537.3272939432028
LOAD_GLOBAL,ASSERT_FUNC,108,67.26,5.173756382169613
LOAD_GLOBAL,CALL,13,7.84,1.5433861526936576
LOAD_GLOBAL,CREATE_CLASS,9,5.82,1.6123249786363463
