# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,153591,93966.9,555.542435786127
ASSERT_FUNC,LOAD_CONST,123398,75566.12,506.7311262254509
ASSERT_FUNC,LOAD_GLOBAL,5,3.36,0.8980704940286691
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,869,532.94,15.981379470994312
ASSERT_FUNC,LOAD_LOCAL_SAFE,436374,264611.18,978.7387070790105
CALL,CALL,77122,47500.48,416.17148349384513
CALL,DUPE,22616,13923.5,81.46722140385856
CALL,JUMP,598,383.5,12.170975846711084
CALL,JUMP_IF_FALSE,119435,72804.46,324.49164072123466
CALL,JUMP_IF_FALSE_PEEK,44626,27419.6,305.75493721713286
CALL,JUMP_IF_TRUE_PEEK,44250,26913.38,294.1482265519778
CALL,LOAD_CONST,4468,2734.64,27.07416872675686
CALL,LOAD_GLOBAL,2,1.12,0.7461465632686054
CALL,LOAD_GLOBAL_BY_INDEX,3725,2283.2,31.95277127005944
CALL,POP,69335,42607.62,298.468122250936
CALL,RETURN,3392,2111.3,29.239510590839814
CALL,SWAP,59166,36241.3,138.63183514000679
CREATE_CLASS,DUPE,10,6.74,2.827055871036012
CREATE_FUNC,DUPE,20,33.0,3.374574803147918
CREATE_LIST,DUPE,1027,622.32,16.98311286098576
CREATE_OBJECT,DUPE,2778,1688.86,26.705506578843462
DUPE,STORE_FIELD,63899,38741.12,411.6490797972931
DUPE,STORE_GLOBAL,36,43.8,3.2639027596559598
DUPE,STORE_LOCAL,28160,17089.18,89.98791075268215
JUMP,LOAD_GLOBAL_BY_INDEX,27020,16405.58,284.9764107674133
JUMP,LOAD_LOCAL_SAFE,3820,2326.36,31.57224304056093
JUMP,POP,4224,2601.86,34.74455470476866
JUMP_IF_FALSE,LOAD_CONST,56007,34174.24,158.24013784274146
JUMP_IF_FALSE,LOAD_GLOBAL,9,5.76,1.4785541751926412
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,50572,30775.28,302.51490366389606
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,51493,31385.34,129.2064650559134
JUMP_IF_FALSE_PEEK,JUMP,693,431.34,15.237721721612651
JUMP_IF_FALSE_PEEK,LOAD_CONST,1138,690.1,16.66506795053411
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,3,2.14,0.7001457574195912
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,13597,8228.52,58.68881616506802
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,16816,10177.96,73.38046228321244
JUMP_IF_FALSE_PEEK,POP,3689,2289.94,34.585245172955915
JUMP_IF_TRUE_PEEK,JUMP_IF_FALSE,695,435.44,13.889006076603112
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL,23,14.2,2.626396615835748
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL_BY_INDEX,41737,25196.44,89.13304891095865
LOAD_CONST,CALL,142102,86075.96,359.2535322138977
LOAD_CONST,CREATE_CLASS,5,3.3,1.0926470386270253
LOAD_CONST,DUPE,1033,634.02,15.572726027204356
LOAD_CONST,LOAD_CONST,157,97.08,6.580242536315408
LOAD_CONST,LOAD_LOCAL_SAFE,60595,36847.82,399.64012842168194
LOAD_CONST,POP,54573,33393.98,423.33161074158085
LOAD_CONST,SWAP,1,0.66,0.47851812069840655
LOAD_FIELD,ASSERT_FUNC,477678,290474.86,777.0977930736801
LOAD_FIELD,CALL,87000,53201.58,328.4571285664574
LOAD_FIELD,DUPE,712,435.72,12.289102522817785
LOAD_FIELD,LOAD_CONST,67949,41508.84,147.22734883471156
LOAD_FIELD,LOAD_FIELD,105915,64897.04,588.1905827473377
LOAD_FIELD,LOAD_LOCAL_SAFE,46309,28261.04,117.61992750779417
LOAD_FIELD,SWAP,2661,1628.6,21.412374831353176
LOAD_GLOBAL,ASSERT_FUNC,85,51.62,5.264009490717827
LOAD_GLOBAL,CALL,2,1.42,0.5746338674605362
LOAD_GLOBAL,CREATE_CLASS,5,3.12,1.206106909668882
LOAD_GLOBAL,CREATE_OBJECT,13,8.84,3.0796236186672328
LOAD_GLOBAL,JUMP,2,1.18,0.7475128829686359
LOAD_GLOBAL,LOAD_CONST,1,0.54,0.5034574339058885
LOAD_GLOBAL,LOAD_FIELD,5,3.36,1.914072482793626
LOAD_GLOBAL,RETURN,4,2.56,0.8843307166024091
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,236474,143039.08,432.8001772982355
LOAD_GLOBAL_BY_INDEX,CALL,3126,1909.1,30.00833217624733
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,3789,2329.48,34.35008243462171
LOAD_GLOBAL_BY_INDEX,JUMP,17280,10642.32,264.6903034391208
LOAD_GLOBAL_BY_INDEX,LOAD_CONST,865,527.68,15.234815123155748
LOAD_GLOBAL_BY_INDEX,RETURN,6372,3907.26,36.42650414302252
LOAD_LOCAL_SAFE,CALL,251294,153360.74,659.8316052955723
LOAD_LOCAL_SAFE,JUMP,1,0.58,0.4985693819032901
