# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,42,54.38,9.075398456423672
ASSERT_FUNC,LOAD_CONST,43,56.4,9.15846881418549
ASSERT_FUNC,LOAD_GLOBAL,1,1.78,0.464670170494017
ASSERT_FUNC,LOAD_LOCAL_SAFE,105860,64421.48,173.92975828283818
CALL,CALL,21603,13263.66,52.32808977587319
CALL,DUPE,1,0.72,0.4535573676110726
CALL,JUMP,702,427.86,14.315697107492511
CALL,JUMP_IF_FALSE,21605,13332.84,81.90645734679293
CALL,JUMP_IF_FALSE_PEEK,20859,12780.24,61.36959294940407
CALL,LOAD_LOCAL_SAFE,1406,874.56,20.072480907847915
CALL,POP,31,46.24,9.880014872334506
CALL,SWAP,31,42.82,10.653522939404043
CREATE_CLASS,DUPE,2,3.78,1.344527836097422
CREATE_FUNC,DUPE,17,30.6,4.729412959213385
CREATE_OBJECT,DUPE,32,48.12,10.019654155097125
DUPE,STORE_FIELD,62,88.18,18.710130400182592
DUPE,STORE_GLOBAL,20,35.84,5.048176069894261
DUPE,STORE_LOCAL,41750,25356.74,112.75471120072602
JUMP,LOAD_GLOBAL_BY_INDEX,18050,10964.16,62.0376317657434
JUMP_IF_FALSE,LOAD_CONST,4,4.74,1.3063424559604948
JUMP_IF_FALSE,LOAD_GLOBAL,5,5.3,1.1823532398033465
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,21596,13118.94,52.19211372126917
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20859,12785.42,68.52203280399564
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,1.1,0.5802884574739973
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,18751,11371.06,68.42645687159346
JUMP_IF_FALSE_PEEK,POP,2107,1291.58,23.949854074797223
LOAD_CONST,CALL,39690,24117.88,85.30106107433981
LOAD_CONST,CREATE_CLASS,2,3.72,0.6712765785411845
LOAD_CONST,JUMP,4,4.6,1.3093073414159542
LOAD_CONST,LOAD_LOCAL_SAFE,9,4.8,2.2857142857142856
LOAD_FIELD,ASSERT_FUNC,45422,27697.66,123.11146600225536
LOAD_FIELD,DUPE,36100,22190.24,112.56119605415928
LOAD_FIELD,LOAD_CONST,10,6.34,1.5728564940961423
LOAD_FIELD,LOAD_FIELD,9,6.26,3.287639187710754
LOAD_FIELD,LOAD_LOCAL_SAFE,2106,1287.72,20.021457876743284
LOAD_GLOBAL,ASSERT_FUNC,7,7.12,1.6116919744194809
LOAD_GLOBAL,CREATE_OBJECT,2,3.52,0.8388524717658972
LOAD_GLOBAL,JUMP,1,0.7,0.4629100498862757
LOAD_GLOBAL,LOAD_FIELD,2,3.8,1.8626292586293278
LOAD_GLOBAL,RETURN,1,1.02,0.552914356581818
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,60517,36810.98,175.79446370516823
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,30,45.16,9.161498852507147
LOAD_GLOBAL_BY_INDEX,JUMP,2106,1315.64,21.753498428472426
LOAD_GLOBAL_BY_INDEX,RETURN,701,440.38,9.932198720755208
LOAD_LOCAL_SAFE,CALL,44611,27386.0,110.58268676535594
LOAD_LOCAL_SAFE,DUPE,5618,3424.8,52.85173717531879
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,20859,12751.3,59.595661395296624
LOAD_LOCAL_SAFE,LOAD_CONST,39646,24297.26,83.48305706145834
LOAD_LOCAL_SAFE,LOAD_FIELD,83636,51062.42,153.15233046392203
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,4977,3095.14,29.179955378964735
LOAD_LOCAL_SAFE,SWAP,31,46.06,9.006596222225356
POP,JUMP,18050,11062.98,54.89265591560855
POP,LOAD_GLOBAL,2,2.16,1.1492677349210725
POP,LOAD_GLOBAL_BY_INDEX,4914,3006.74,44.09026455547098
POP,LOAD_LOCAL_SAFE,20953,12883.46,76.40525946209051
STORE_FIELD,POP,31,42.84,9.95983771689774
STORE_GLOBAL,CREATE_FUNC,16,29.34,4.133536312768959
STORE_GLOBAL,LOAD_CONST,2,3.68,0.6833291853200798
STORE_GLOBAL,LOAD_GLOBAL,2,3.56,0.7602362683228612
STORE_LOCAL,POP,41750,25388.92,104.13018539407314
SWAP,DUPE,62,88.18,18.60951040599995
