# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,13700,8445.02,57.692177519476196
ASSERT_FUNC,LOAD_CONST,13700,8450.76,60.67261090711115
ASSERT_FUNC,LOAD_GLOBAL,1,0.64,0.48487322138506117
ASSERT_FUNC,LOAD_LOCAL_SAFE,109589,66678.1,209.99672009100345
CALL,CALL,18738,11506.18,68.63232117744595
CALL,DUPE,18738,11545.24,72.30026956790535
CALL,JUMP_IF_FALSE,8660,5334.08,49.29993169676931
CALL,JUMP_IF_FALSE_PEEK,8659,5333.24,53.619429923360066
CALL,POP,28816,17759.84,111.98238928601342
CALL,SWAP,8660,5356.02,50.922305765644325
CREATE_CLASS,DUPE,1,1.88,0.3854496446637726
CREATE_FUNC,DUPE,17,31.04,3.343955863393913
CREATE_LIST,SWAP,1,1.84,0.3703280399090206
CREATE_OBJECT,DUPE,1,1.82,0.38808793449160356
DUPE,STORE_FIELD,8662,5313.26,52.744594461404034
DUPE,STORE_GLOBAL,20,34.8,3.9948947011741622
DUPE,STORE_LOCAL,22357,13598.06,71.81251383190218
JUMP,LOAD_GLOBAL_BY_INDEX,5039,3073.5,36.86115703500328
JUMP_IF_FALSE,LOAD_CONST,5040,3117.34,37.47903359458022
JUMP_IF_FALSE,LOAD_GLOBAL,3,5.2,0.9476070829586857
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,12277,7459.18,53.19493991587041
JUMP_IF_FALSE_PEEK,JUMP,3620,2219.34,31.7217558769745
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5039,3073.8,38.841383358790054
LOAD_CONST,CALL,34640,21085.98,98.86901043547397
LOAD_CONST,CREATE_CLASS,1,1.98,0.1414213562373095
LOAD_CONST,CREATE_LIST,1,1.82,0.3880879344916036
LOAD_CONST,LOAD_CONST,5,8.96,1.2282391577259817
LOAD_CONST,SWAP,1,1.84,0.3703280399090206
LOAD_FIELD,ASSERT_FUNC,107390,65737.66,213.243045200848
LOAD_FIELD,LOAD_FIELD,48972,30079.58,113.11852010982429
LOAD_GLOBAL,ASSERT_FUNC,5,7.66,1.7333464154399043
LOAD_GLOBAL,CALL,1,0.64,0.48487322138506117
LOAD_GLOBAL,CREATE_OBJECT,1,1.8,0.45175395145262565
LOAD_GLOBAL,JUMP,1,1.72,0.4965184913423647
LOAD_GLOBAL,LOAD_FIELD,2,2.62,0.5674864018868917
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,29595,18008.36,98.59642747181123
LOAD_GLOBAL_BY_INDEX,JUMP,5039,3081.96,33.4834470222197
LOAD_LOCAL_SAFE,CALL,69911,42890.08,167.13502301542601
LOAD_LOCAL_SAFE,DUPE,3620,2231.42,26.255487278755453
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,8660,5314.18,57.453686761155375
LOAD_LOCAL_SAFE,LOAD_CONST,20942,12859.84,80.35898029645315
LOAD_LOCAL_SAFE,LOAD_FIELD,107389,65670.26,193.819904834887
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,38894,23850.04,107.12875335743537
POP,JUMP,5039,3092.78,32.02887090467863
POP,LOAD_GLOBAL,3,4.0,0.8081220356417685
POP,LOAD_GLOBAL_BY_INDEX,12278,7552.22,58.39705402130603
POP,LOAD_LOCAL_SAFE,42516,25856.9,101.9632286660246
STORE_FIELD,POP,8662,5267.06,43.9992625170108
STORE_GLOBAL,CREATE_FUNC,16,29.98,2.7589557326448495
STORE_GLOBAL,LOAD_CONST,1,1.94,0.31363569143000214
STORE_GLOBAL,LOAD_GLOBAL,2,3.64,0.631163486696415
STORE_GLOBAL,POP,1,0.54,0.5034574339058885
STORE_LOCAL,POP,22357,13588.92,131.9022272405603
SWAP,DUPE,8662,5274.12,48.30415539652285
