# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,488802,298001.12,885.6327068421626
ASSERT_FUNC,LOAD_CONST,99804,61062.46,442.3619909309656
ASSERT_FUNC,LOAD_GLOBAL,32,20.84,2.8739505626810447
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,426795,261445.94,1168.4868011619994
ASSERT_FUNC,LOAD_LOCAL_SAFE,974286,592136.3,1809.2479241442802
CALL,CALL,158478,97611.12,530.5529899096246
CALL,DUPE,75844,46433.36,296.5281939308946
CALL,JUMP,34877,21298.4,106.40891477154227
CALL,JUMP_IF_FALSE,519905,316578.86,1422.9516894864198
CALL,JUMP_IF_FALSE_PEEK,219331,133869.74,859.8022983482297
CALL,LOAD_CONST,4992,3045.76,36.69763936132511
CALL,POP,51911,31936.2,249.39706886646366
CALL,RETURN,39875,24557.88,364.2259132988311
CALL,SWAP,166372,102360.0,788.2972608277763
CREATE_CLASS,DUPE,10,9.8,1.7023393268304265
CREATE_FUNC,DUPE,27,36.78,5.563327443616629
CREATE_LIST,DUPE,9,6.12,1.4518109732471431
CREATE_OBJECT,DUPE,28,18.64,3.3852018900997165
DUPE,STORE_FIELD,552409,334794.7,1330.4635259478423
DUPE,STORE_GLOBAL,45,66.52,9.810947654408878
DUPE,STORE_LOCAL,265335,162016.22,719.5754783061993
JUMP,JUMP,17087,10427.34,67.85867968184517
JUMP,LOAD_GLOBAL_BY_INDEX,115950,70481.76,504.8307681686983
JUMP,LOAD_LOCAL_SAFE,10467,6409.48,53.43401041834449
JUMP,POP,97794,59814.1,712.3330524066804
JUMP,SWAP,1164,716.54,16.068996641396897
JUMP_IF_FALSE,LOAD_CONST,234156,143077.86,706.3324074371233
JUMP_IF_FALSE,LOAD_GLOBAL,7,4.36,1.241460627565739
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,196471,119584.66,541.3678296119756
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,270965,165074.6,688.0101446807963
JUMP_IF_FALSE,LOAD_NONLOCAL,23249,14190.64,66.62406257716277
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,24627,15144.38,82.93737248732947
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.64,0.48487322138506117
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,250710,151783.9,876.965553275988
JUMP_IF_FALSE_PEEK,POP,12463,7708.76,57.79257773119586
JUMP_IF_TRUE_PEEK,LOAD_LOCAL_SAFE,101043,61215.46,551.7561281018628
LOAD_CONST,CALL,114113,69494.16,574.247026415409
LOAD_CONST,CREATE_CLASS,2,3.54,0.8134080483135291
LOAD_CONST,DUPE,2348,1448.12,27.285818997555204
LOAD_CONST,JUMP,11619,7082.36,56.951379191699395
LOAD_CONST,LOAD_GLOBAL,5,3.52,1.6442850937072182
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,19305,11796.94,65.15488923969353
LOAD_CONST,LOAD_LOCAL_SAFE,10003,6109.94,49.49022166869235
LOAD_CONST,POP,222537,134997.92,738.78940800999
LOAD_CONST,SWAP,2684,1641.02,33.37877243068701
LOAD_FIELD,ASSERT_FUNC,1350441,822361.42,2347.9944989157725
LOAD_FIELD,CALL,334209,204232.38,716.1715075058933
LOAD_FIELD,DUPE,113852,69653.86,342.031088812531
LOAD_FIELD,JUMP_IF_FALSE_PEEK,106953,65573.36,394.4708033478249
LOAD_FIELD,JUMP_IF_TRUE_PEEK,106604,65364.98,459.87658015992866
LOAD_FIELD,LOAD_CONST,38616,23599.06,270.69098354291174
LOAD_FIELD,LOAD_FIELD,558842,341718.4,1387.974783632618
LOAD_FIELD,LOAD_LOCAL_SAFE,24764,15147.4,253.33965262437013
LOAD_FIELD,SWAP,167053,102088.6,346.75386789184984
LOAD_GLOBAL,ASSERT_FUNC,41,26.22,3.2719587842322047
LOAD_GLOBAL,CALL,17,10.74,1.9775268000454402
LOAD_GLOBAL,CREATE_CLASS,8,6.16,1.251285053740468
LOAD_GLOBAL,CREATE_OBJECT,11,7.74,1.6389394280996448
LOAD_GLOBAL,DUPE,4,3.52,1.0924602453888663
LOAD_GLOBAL,JUMP,2,1.16,0.7917946548886298
LOAD_GLOBAL,JUMP_IF_FALSE,2,1.24,0.6246631745450126
LOAD_GLOBAL,LOAD_CONST,7,4.82,1.1551128578133456
LOAD_GLOBAL,LOAD_FIELD,1,0.74,0.443087497693452
LOAD_GLOBAL,LOAD_GLOBAL,15,10.26,1.6636571467825985
LOAD_GLOBAL,LOAD_LOCAL_SAFE,15,9.66,1.5200698157972743
LOAD_GLOBAL,SWAP,17,10.96,2.00977204515074
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,639237,389283.32,1224.001574628839
LOAD_GLOBAL_BY_INDEX,CALL,94947,57970.18,273.56383353873383
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,17,11.6,2.747912008810192
LOAD_GLOBAL_BY_INDEX,DUPE,62791,39219.46,481.5083956713954
LOAD_GLOBAL_BY_INDEX,JUMP,12788,7934.86,61.93677157770973
LOAD_GLOBAL_BY_INDEX,JUMP_IF_FALSE,75084,45841.66,388.99297564614193
LOAD_GLOBAL_BY_INDEX,LOAD_CONST,7,5.14,2.555586118322618
LOAD_GLOBAL_BY_INDEX,LOAD_LOCAL_SAFE,369259,225920.28,814.1693661239667
LOAD_GLOBAL_BY_INDEX,SWAP,138327,84290.4,434.86108502061484
LOAD_LOCAL_SAFE,CALL,799153,488003.36,1136.369995078315
LOAD_LOCAL_SAFE,CREATE_FUNC,6,4.12,1.0028530728448137
LOAD_LOCAL_SAFE,DUPE,10467,6412.86,249.97387700252497
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,129857,79333.72,540.3595190203596
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,20594,12621.92,90.39907891891242
LOAD_LOCAL_SAFE,LOAD_CONST,2684,1635.48,23.785812955608307
LOAD_LOCAL_SAFE,LOAD_FIELD,2269144,1374619.04,3384.601197138854
LOAD_LOCAL_SAFE,LOAD_GLOBAL,31,20.14,2.6030594244747736
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,201204,122808.82,530.473207694444
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,509497,311077.0,1023.0737400358934
LOAD_LOCAL_SAFE,RETURN,23126,14108.32,92.72043563138352
LOAD_LOCAL_SAFE,SWAP,76792,47055.74,344.2577825065503
LOAD_NONLOCAL,LOAD_FIELD,65790,39758.9,173.6044354272091
POP,CREATE_FUNC,2,1.46,0.676425177242955
POP,JUMP,126417,77107.88,443.04188036245733
POP,LOAD_CONST,2348,1453.36,24.766468443919766
POP,LOAD_GLOBAL,24,16.74,2.6711611783672518
POP,LOAD_GLOBAL_BY_INDEX,342050,208707.98,868.435926695525
POP,LOAD_LOCAL_SAFE,583600,353837.18,1202.7389268342656
POP,LOAD_NONLOCAL,42541,26046.04,324.05504445500435
STORE_FIELD,JUMP,41171,25144.54,350.83214254811037
STORE_FIELD,POP,457053,276457.38,999.4370433766505
STORE_GLOBAL,CREATE_FUNC,18,30.76,6.179492086650779
STORE_GLOBAL,LOAD_CONST,2,3.76,0.6869037302955033
STORE_GLOBAL,LOAD_GLOBAL,9,7.22,1.4039303430595358
STORE_GLOBAL,POP,16,25.0,4.977500397195528
STORE_LOCAL,JUMP,10127,6185.44,48.82921507558685
STORE_LOCAL,POP,255208,154368.36,531.6461444016527
SWAP,DUPE,552409,334294.04,1221.3492532307714
