# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,31737,19467.92,103.41571348648279
ASSERT_FUNC,LOAD_CONST,31737,19524.26,88.53727682595164
ASSERT_FUNC,LOAD_GLOBAL,2,2.24,0.7159979477795239
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,4999,3144.16,56.85834887450296
ASSERT_FUNC,LOAD_LOCAL_SAFE,93022,56529.24,185.70390740232082
CALL,CALL,9999,6105.2,45.672302149918615
CALL,DUPE,22407,13833.12,69.72940117163667
CALL,JUMP_IF_FALSE,4999,3052.02,31.98627894607813
CALL,JUMP_IF_FALSE_PEEK,21739,13359.82,88.16396829840652
CALL,LOAD_GLOBAL,2,1.32,0.6833291853200798
CALL,LOAD_GLOBAL_BY_INDEX,16066,9922.7,52.84449655665711
CALL,POP,16069,10221.6,76.33839807336896
CREATE_CLASS,DUPE,1,1.82,0.4375255094603874
CREATE_FUNC,DUPE,17,30.76,2.9593159717083544
CREATE_LIST,DUPE,1,1.76,0.4314191105869001
CREATE_OBJECT,DUPE,1,1.76,0.4314191105869001
DUPE,STORE_GLOBAL,20,35.18,3.8687128060260836
DUPE,STORE_LOCAL,22410,13638.54,81.55584289432662
JUMP,LOAD_GLOBAL_BY_INDEX,21068,12854.04,70.90233581829133
JUMP,POP,669,408.88,13.44928493660992
JUMP_IF_FALSE,LOAD_CONST,4330,2616.54,32.70224981338657
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,669,408.96,12.414540520153398
JUMP_IF_FALSE_PEEK,JUMP,669,410.48,12.560449751469243
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.62,0.49031435147801467
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,4998,3026.44,31.3864392919709
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,16069,9792.5,70.91853619125406
JUMP_IF_FALSE_PEEK,POP,2,1.22,0.6480740698407861
LOAD_CONST,CALL,31738,19269.72,70.9923939587899
LOAD_CONST,CREATE_CLASS,1,1.86,0.4045657788144657
LOAD_CONST,DUPE,3,3.92,1.006914867811777
LOAD_CONST,POP,4330,2643.3,33.56641299919687
LOAD_FIELD,ASSERT_FUNC,123020,75230.82,219.9963534020594
LOAD_GLOBAL,ASSERT_FUNC,7,5.24,1.1876919823329446
LOAD_GLOBAL,CALL,4,3.66,0.8946553321057813
LOAD_GLOBAL,CREATE_OBJECT,1,2.0,1.7956864414252194
LOAD_GLOBAL,LOAD_FIELD,2,2.28,0.7295511619887831
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,38470,23386.14,78.10798647398589
LOAD_GLOBAL_BY_INDEX,CALL,21065,12938.34,87.87644619531646
LOAD_LOCAL_SAFE,CALL,66954,41057.34,170.8112229262204
LOAD_LOCAL_SAFE,LOAD_CONST,1,0.46,0.5034574339058885
LOAD_LOCAL_SAFE,LOAD_FIELD,123018,74907.5,238.00653823980892
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,33477,20483.32,99.67302461917514
POP,CREATE_LIST,1,1.68,0.4712120714991612
POP,JUMP,21068,12924.32,77.38782269867032
POP,LOAD_CONST,2,2.48,1.950824001727036
POP,LOAD_GLOBAL,6,4.92,1.2590894020874686
POP,LOAD_GLOBAL_BY_INDEX,12404,7562.24,42.27391727333356
POP,LOAD_LOCAL_SAFE,10000,6183.48,47.88303777040917
STORE_GLOBAL,CREATE_FUNC,16,29.66,2.774593185845229
STORE_GLOBAL,LOAD_CONST,1,1.78,0.4184519575964803
STORE_GLOBAL,LOAD_GLOBAL,2,3.46,0.8381222939355788
STORE_GLOBAL,POP,1,0.6,0.49487165930539345
STORE_LOCAL,POP,22410,13634.68,80.12348632719682
