# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,16396,10061.18,60.050893381517284
ASSERT_FUNC,LOAD_CONST,20492,12611.68,76.7815454017809
ASSERT_FUNC,LOAD_GLOBAL,2,1.74,0.777489418525016
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,4094,2509.22,29.622309573863365
ASSERT_FUNC,LOAD_LOCAL_SAFE,130956,79588.16,251.12606477258197
CALL,CALL,8205,5027.16,52.993399666026974
CALL,DUPE,20506,12665.12,74.87857926438646
CALL,JUMP,4096,2528.34,34.81414795681761
CALL,JUMP_IF_FALSE,16268,9968.38,56.75327555052911
CALL,JUMP_IF_FALSE_PEEK,8220,5085.02,42.7944732269894
CALL,LOAD_LOCAL_SAFE,20476,12568.12,71.08334860555978
CALL,POP,24602,15167.2,85.8503681662791
CALL,SWAP,8191,5031.8,48.86925497316953
CREATE_CLASS,DUPE,2,3.52,0.5799366608624126
CREATE_FUNC,DUPE,17,30.86,3.207198535946846
CREATE_LIST,SWAP,1,1.76,0.43141911058690013
CREATE_OBJECT,DUPE,15,21.52,3.7538551612214044
DUPE,STORE_FIELD,24603,14959.6,71.99206305459766
DUPE,STORE_GLOBAL,21,36.84,3.7815880478001986
DUPE,STORE_LOCAL,20520,12610.82,78.05798211220024
JUMP,LOAD_GLOBAL_BY_INDEX,14,19.52,3.9858934931550176
JUMP_IF_FALSE,LOAD_GLOBAL,3,4.38,0.8780776777502463
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,12297,7496.48,56.092576539655845
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20492,12507.0,69.71926211746703
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE,128,81.66,6.4669016017356125
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,2,3.44,0.7329003050503231
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,8089,4914.56,44.55364113936719
LOAD_CONST,CALL,32809,19977.08,110.6618013847337
LOAD_CONST,CREATE_CLASS,2,3.8,1.7261494247992248
LOAD_CONST,CREATE_LIST,1,1.62,0.5303060340934453
LOAD_CONST,LOAD_CONST,5,7.44,1.4591023239775662
LOAD_CONST,LOAD_LOCAL_SAFE,4095,2501.58,29.85959661824124
LOAD_CONST,SWAP,8192,5026.08,40.35851577942832
LOAD_FIELD,ASSERT_FUNC,131056,79934.96,227.28413934984502
LOAD_FIELD,CALL,16268,9982.4,77.7660017000241
LOAD_FIELD,LOAD_FIELD,40983,25071.56,119.1074219315639
LOAD_FIELD,LOAD_LOCAL_SAFE,8077,4946.02,45.29652417173767
LOAD_GLOBAL,ASSERT_FUNC,8,10.9,1.7408653724219918
LOAD_GLOBAL,CALL,1,0.56,0.501426536422407
LOAD_GLOBAL,CREATE_OBJECT,2,3.42,0.64174506986332
LOAD_GLOBAL,JUMP,1,1.74,0.4430874976934521
LOAD_GLOBAL,LOAD_FIELD,2,2.04,0.6986868148935705
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40876,24871.54,130.202543942042
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,13,18.52,3.6097373978771166
LOAD_GLOBAL_BY_INDEX,JUMP,127,82.66,7.000320692362483
LOAD_LOCAL_SAFE,CALL,98261,60106.68,179.01219203719117
LOAD_LOCAL_SAFE,DUPE,1,1.7,0.5050762722761053
LOAD_LOCAL_SAFE,JUMP,8191,4994.08,52.50027793901155
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,16396,10032.6,59.35538075431577
LOAD_LOCAL_SAFE,LOAD_CONST,24605,15096.06,84.60337475779673
LOAD_LOCAL_SAFE,LOAD_FIELD,155400,94721.64,284.1025799220539
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,49201,30130.86,114.13776316185522
LOAD_LOCAL_SAFE,SWAP,8219,5076.9,46.57460550075569
POP,JUMP,14,19.62,4.246919652008058
POP,LOAD_GLOBAL,3,3.84,0.9553287712743136
POP,LOAD_GLOBAL_BY_INDEX,8204,5028.68,46.41139902204705
POP,LOAD_LOCAL_SAFE,53300,32341.98,141.04804363139843
STORE_FIELD,POP,16398,9948.46,53.70676619099199
STORE_GLOBAL,CREATE_FUNC,16,29.18,3.3177937099887362
STORE_GLOBAL,LOAD_CONST,2,3.62,0.5674864018868917
STORE_GLOBAL,LOAD_GLOBAL,2,3.28,0.7570080742566726
STORE_GLOBAL,POP,1,0.72,0.4535573676110727
STORE_LOCAL,POP,20520,12467.42,86.42729396930785
SWAP,DUPE,24603,14942.12,73.45931540933503
