# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,613781,51881177.1,473282.3164610376,19215.25077777778,175.28974683742135
ASSERT_FUNC,LOAD_CONST,296034,16884042.0,112764.26809756218,6253.348888888889,41.76454373983784
ASSERT_FUNC,LOAD_GLOBAL,22,2118.2,319.35322796321674,0.7845185185185185,0.1182789733197099
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,45210,2533986.2,39783.016180009974,938.5134074074075,14.734450437040731
ASSERT_FUNC,LOAD_LOCAL_SAFE,2250256,98231612.7,604106.3546914886,36382.07877777778,223.74309433018095
ASSERT_FUNC,LOAD_NONLOCAL,4008,232607.7,13451.477027488569,86.15100000000001,4.98202852869947
CALL,CALL,322839,13970413.2,1830858.6791076332,5174.22711111111,678.0958070769012
CALL,CREATE_FUNC,140,19226.1,1260.4076992866446,7.120777777777778,0.466817666402461
CALL,CREATE_LIST,9174,754170.3,12034.258418977746,279.32233333333335,4.457132747769536
CALL,DUPE,2232,137944.0,2974.7517189630557,51.09037037037037,1.1017598959122428
CALL,LOAD_CONST,5185,363674.6,3598.0562062255085,134.6942962962963,1.3326134097131512
CALL,LOAD_GLOBAL,53,19327.0,1415.1770579200183,7.158148148148148,0.5241396510814883
CALL,LOAD_GLOBAL_BY_INDEX,497948,29516193.0,184597.18389196,10931.923333333334,68.3693273673926
CALL,LOAD_LOCAL_SAFE,1333807,60437193.5,429671.69274513976,22384.14574074074,159.1376639796814
CALL,POP,101306,3649194.4,53525.639918395056,1351.5534814814814,19.824311080887057
CALL,RETURN,936627,33983550.7,178794.35463627146,12586.500259259261,66.2201313467672
CREATE_CLASS,DUPE,28,1681.4,192.72024993975623,0.6227407407407408,0.07137787034805786
CREATE_FUNC,DUPE,29246,1132225.4,27401.155220364813,419.3427407407407,10.148576007542523
