# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,LOAD_GLOBAL,2,367.1,40.80492746303022,0.13596296296296298,0.0151129360974186
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,1999999,70888843.2,1282315.2127553313,26255.127111111113,474.9315602797523
ASSERT_FUNC,LOAD_LOCAL_SAFE,2000001,75095610.4,290407.65308938327,27813.18903703704,107.55839003310491
CALL,LOAD_LOCAL_SAFE,2000001,65770258.7,228524.6351978853,24359.355074074076,84.63875377699456
CALL,RETURN,2000001,73876776.3,150486.71681374084,27361.769,55.73582104212624
CREATE_FUNC,DUPE,17,2201.3,67.35694392367313,0.8152962962962964,0.024947016268027086
DUPE,STORE_GLOBAL,21,2513.5,122.78157756550328,0.9309259259259259,0.04547465835759381
DUPE,STORE_GLOBAL_BY_INDEX,999999,35921782.5,167450.1332951956,13304.363888888889,62.018567887109484
JUMP,LOAD_GLOBAL_BY_INDEX,1000000,35344424.6,135106.2195694829,13090.52762962963,50.03934058128996
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,220.4,9.89630446708584,0.08162962962962964,0.0036652979507725337
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,999999,34385642.3,141510.04312549302,12735.423074074073,52.41112708351593
JUMP_IF_FALSE_PEEK,POP,1,51.5,3.8865490036656856,0.019074074074074073,0.0014394625939502539
LOAD_CONST,DUPE,3,486.0,40.08412206978297,0.18,0.014845971136956656
LOAD_FIELD,ASSERT_FUNC,2000001,73807484.6,233346.848829308,27336.105407407405,86.42475882566963
LOAD_GLOBAL,ASSERT_FUNC,2,442.5,75.97748974116229,0.1638888888888889,0.028139811015245292
LOAD_GLOBAL,CALL,2,544.5,37.2918786135308,0.20166666666666666,0.013811806893900295
LOAD_GLOBAL,LOAD_GLOBAL,2,334.6,26.974451850437646,0.12392592592592594,0.009990537722384313
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,1999999,71154862.3,271818.4136640735,26353.6527037037,100.67348654224945
LOAD_GLOBAL_BY_INDEX,CALL,1999999,68454880.5,285259.8507258921,25353.659444444445,105.65179656514523
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,1999999,69444896.6,267186.4584159989,25720.33207407407,98.95794756148108
LOAD_LOCAL_SAFE,CALL,2000001,72087503.3,276030.9861761513,26699.075296296294,102.23369858375975
LOAD_LOCAL_SAFE,LOAD_FIELD,2000001,68215094.5,282832.97657721344,25264.849814814814,104.75295428785682
POP,JUMP,1000000,33619999.5,97388.72296518413,12451.851666666667,36.069897394512644
POP,LOAD_CONST,2,263.5,8.281240690163578,0.09759259259259259,0.003067126181542066
POP,LOAD_GLOBAL,2,461.6,95.1687697558506,0.17096296296296298,0.03524769250216689
RETURN,DUPE,1000000,55598247.5,188265.89669191293,20591.943518518518,69.72810988589367
RETURN,JUMP_IF_FALSE_PEEK,1000001,55196634.1,154686.890274958,20443.197814814816,57.29144084257703
STORE_GLOBAL,CREATE_FUNC,16,1996.8,131.97033159408454,0.7395555555555555,0.04887790059040168
STORE_GLOBAL,LOAD_CONST,1,261.1,33.75125728652271,0.09670370370370371,0.012500465661675076
STORE_GLOBAL,POP,4,904.6,111.63115958133592,0.335037037037037,0.04134487391901331
STORE_GLOBAL_BY_INDEX,POP,999999,35987198.3,137911.17574236676,13328.591962962962,51.078213237913616
