# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,153591,9127442.4,52059.44147788608,3380.5342222222225,19.28127462143929
ASSERT_FUNC,LOAD_CONST,123398,6718426.0,77041.02189572033,2488.3059259259257,28.533711813229754
ASSERT_FUNC,LOAD_GLOBAL,5,292.8,17.68020004649864,0.10844444444444445,0.006548222239443941
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,869,51047.0,1160.647459961804,18.906296296296297,0.429869429615483
ASSERT_FUNC,LOAD_LOCAL_SAFE,436374,17602006.2,69354.03733825345,6519.261555555555,25.686680495649423
CALL,CALL,58646,2580123.2,28812.51133503601,955.6011851851853,10.671300494457782
CALL,CREATE_LIST,1027,107525.4,4036.98397582312,39.82422222222222,1.4951792503048593
CALL,DUPE,2661,119696.7,3082.8128150492016,44.33211111111111,1.141782524092297
CALL,JUMP,598,58023.1,3797.3064400967173,21.490037037037037,1.4064097926284138
CALL,LOAD_CONST,3863,205939.8,9507.786546327505,76.274,3.5214024245657427
CALL,LOAD_GLOBAL,28,7859.4,753.2473138282497,2.9108888888888886,0.27898048660305547
CALL,LOAD_GLOBAL_BY_INDEX,105806,6708118.4,46946.45611915095,2484.4882962962965,17.38757634042628
CALL,LOAD_LOCAL_SAFE,280072,13232883.9,89255.46086899564,4901.068111111112,33.05757809962801
CALL,POP,18123,723177.0,19102.919286411634,267.8433333333333,7.0751552912635685
CALL,RETURN,217593,7913602.3,64310.297917371354,2930.9638148148147,23.818628858285688
CALL,SWAP,25820,929152.7,17368.922752706127,344.1306296296296,6.432934352854121
CREATE_CLASS,DUPE,10,583.3,63.535402480987344,0.21603703703703703,0.02353163054851383
CREATE_FUNC,DUPE,20,2250.6,452.45440596118,0.8335555555555555,0.16757570591154813
CREATE_LIST,DUPE,1027,37351.6,646.6612551772124,13.833925925925925,0.23950416858415274
CREATE_OBJECT,DUPE,1,61.7,3.130495168499706,0.022851851851851852,0.001159442654999891
CREATE_OBJECT,LOAD_LOCAL_SAFE,3801,238624.8,17524.224225190024,88.37955555555556,6.490453416737046
