# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,LOAD_GLOBAL,3,412.7,78.70069885331388,0.15285185185185185,0.029148406982708843
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,1999999,68602012.0,332049.5543366341,25408.152592592593,122.9813164209756
ASSERT_FUNC,LOAD_LOCAL_SAFE,2000002,74959462.5,324483.3131953981,27762.76388888889,120.17900488718448
CALL,LOAD_LOCAL_SAFE,2000002,63644014.2,299377.8146404727,23571.857111111112,110.88067208906396
CALL,RETURN,2000002,75192411.1,376611.2276798403,27849.041148148146,139.48563988142232
CREATE_CLASS,DUPE,1,249.0,10.104714897407785,0.09222222222222222,0.0037424869990399204
CREATE_FUNC,DUPE,17,2183.7,35.465476170495755,0.8087777777777777,0.013135361544628058
CREATE_OBJECT,LOAD_LOCAL_SAFE,1,204.0,13.932166491895467,0.07555555555555556,0.005160061663664988
DUPE,STORE_FIELD,1000009,35267196.1,207367.60612012065,13061.924481481483,76.80281708152617
DUPE,STORE_GLOBAL,20,2570.8,153.59331125787313,0.9521481481481482,0.056886411576990044
JUMP,LOAD_GLOBAL_BY_INDEX,1000000,34761049.2,182616.48774401058,12874.462666666668,67.6357362014854
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,182.9,15.72761567234023,0.06774074074074074,0.005825042841607493
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,999999,34274992.9,175012.78382957866,12694.441814814814,64.81954956651062
JUMP_IF_FALSE_PEEK,POP,1,51.6,3.589458249696713,0.01911111111111111,0.001329428981369153
LOAD_CONST,CALL,2000002,66405437.8,1266745.2109769408,24594.60659259259,469.1648929544225
LOAD_CONST,CREATE_CLASS,1,499.8,66.93877799900443,0.18511111111111112,0.02479213999963127
LOAD_CONST,DUPE,1,176.1,25.780245395100078,0.06522222222222222,0.00954823903522225
LOAD_CONST,SWAP,8,875.7,26.622309599676967,0.32433333333333336,0.009860114666547026
LOAD_FIELD,ASSERT_FUNC,2000002,70503959.0,1308851.3125209415,26112.577407407407,484.75974537812647
LOAD_FIELD,LOAD_CONST,2000002,106459875.6,332143.7668027755,39429.58355555555,123.01620992695389
LOAD_FIELD,POP,8000000,256740316.7,1245106.894912747,95089.00618518518,461.1507018195359
LOAD_GLOBAL,ASSERT_FUNC,3,411.8,28.216456564434722,0.15251851851851853,0.010450539468309157
LOAD_GLOBAL,CREATE_OBJECT,1,262.8,8.544619729150595,0.09733333333333334,0.0031646739737594795
LOAD_GLOBAL,LOAD_FIELD,11,1103.9,29.029748806861438,0.4088518518518519,0.010751758817356087
LOAD_GLOBAL,LOAD_GLOBAL,1,151.5,6.013143498773511,0.05611111111111111,0.00222709018473093
LOAD_GLOBAL,SWAP,1,127.1,25.63283256417749,0.047074074074074074,0.009493641690436108
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,1999999,68460140.5,334746.71477425843,25355.607592592594,123.98026473120683
LOAD_GLOBAL_BY_INDEX,LOAD_FIELD,9999991,343551714.4,2297073.108623464,127241.3757037037,850.7678180086904
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,999999,52473543.2,182310.0581171953,19434.64562962963,67.52224374710937
LOAD_LOCAL_SAFE,CALL,2000002,72527176.1,343756.0237735782,26861.91707407407,127.31704584206601
LOAD_LOCAL_SAFE,LOAD_CONST,8,957.6,63.46022376260582,0.3546666666666667,0.023503786578742896
LOAD_LOCAL_SAFE,LOAD_FIELD,2000002,66793216.2,409694.62337178306,24738.228222222224,151.73874939695668
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,162.0,7.36992465861655,0.06,0.002729601725413537
POP,JUMP,1000000,33208458.1,217428.73281434676,12299.428925925926,80.5291603016099
POP,LOAD_CONST,1,149.4,5.58569601750757,0.05533333333333334,0.0020687763027805815
POP,LOAD_GLOBAL,11,1383.0,106.59218891101781,0.5122222222222222,0.039478588485562155
POP,LOAD_GLOBAL_BY_INDEX,7999992,252952281.9,2423127.634727224,93686.03033333333,897.4546795286014
POP,LOAD_LOCAL_SAFE,8,860.0,66.28169549653009,0.31851851851851853,0.02454877610982596
RETURN,JUMP_IF_FALSE_PEEK,1000001,55825008.0,1316193.778955219,20675.928888888888,487.47917739082186
RETURN,SWAP,1000000,54929947.2,154056.28273957814,20344.42488888889,57.05788249614005
RETURN_INIT,DUPE,1,148.0,34.79866906105825,0.054814814814814816,0.012888395948540092
STORE_FIELD,POP,1000008,33895888.6,225768.70406222524,12554.032814814815,83.6180385415649
STORE_FIELD,RETURN_INIT,1,156.0,4.588314677411242,0.057777777777777775,0.0016993758064486081
STORE_GLOBAL,CREATE_FUNC,16,1976.2,89.40717032354378,0.731925925925926,0.033113766786497696
STORE_GLOBAL,LOAD_CONST,1,275.1,49.40264216245503,0.1018888888888889,0.018297274874983345
STORE_GLOBAL,POP,3,723.5,98.63249171065604,0.26796296296296296,0.036530552485428164
SWAP,DUPE,1000009,35482806.3,1329742.659137557,13141.78011111111,492.4972811620582
