# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,4,225.4,11.445063288781347,0.08348148148148149,0.004238912329178277
ASSERT_FUNC,LOAD_CONST,3000001,159826464.0,1912269.1381568003,59194.986666666664,708.2478289469631
ASSERT_FUNC,LOAD_GLOBAL,5,592.8,57.1292164170055,0.21955555555555553,0.02115896904333537
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,3999992,137886416.7,1289478.0681651179,51069.043222222215,477.5844696907844
ASSERT_FUNC,LOAD_LOCAL_SAFE,3000022,142288151.7,1355641.2548724378,52699.31544444444,502.08935365645846
CALL,CALL,1000003,35927843.6,197919.7038020593,13306.608740740741,73.3035940007627
CALL,DUPE,2000004,92239012.0,2133418.9935215083,34162.597037037034,790.1551827857438
CALL,JUMP_IF_FALSE_PEEK,1000004,36154228.1,189228.49382799238,13390.454851851853,70.08462734370089
CALL,LOAD_GLOBAL,1,406.9,192.4429922422687,0.1507037037037037,0.07127518231195137
CALL,LOAD_LOCAL_SAFE,3000006,95508445.7,355012.09433172474,35373.49840740741,131.48596086360175
CALL,RETURN,3000006,108681503.6,2440820.8420503116,40252.408740740735,904.0077192778932
CREATE_CLASS,DUPE,3,503.6,54.882074534980525,0.18651851851851853,0.02032669427221501
CREATE_FUNC,DUPE,18,2313.4,49.91824895714359,0.8568148148148148,0.018488240354497625
CREATE_LIST,DUPE,1,194.4,30.60512512979691,0.07200000000000001,0.011335231529554412
CREATE_OBJECT,LOAD_LOCAL_SAFE,3,492.3,64.61635771389876,0.18233333333333335,0.023931984338481024
DUPE,STORE_FIELD,3000027,106615445.8,436081.67303403816,39487.20214814815,161.51173075334748
DUPE,STORE_GLOBAL,25,3145.2,214.9246134664065,1.1648888888888889,0.07960170869126167
DUPE,STORE_GLOBAL_BY_INDEX,1999996,75332518.5,339428.4979933961,27900.932777777776,125.71425851607262
DUPE,STORE_LOCAL,11,563.0,103.1473141727531,0.20851851851851852,0.03820270895287152
JUMP,LOAD_GLOBAL_BY_INDEX,999999,35626558.4,184505.18516359583,13195.02162962963,68.33525376429475
JUMP,LOAD_LOCAL_SAFE,3,157.5,16.981413988612125,0.058333333333333334,0.006289412588374861
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,4,394.2,28.149226407992476,0.146,0.010425639410367584
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,1000004,35560340.4,161463.478259392,13170.496444444443,59.80128824421926
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,3,149.8,13.32824464298123,0.055481481481481486,0.004936386904807863
JUMP_IF_FALSE_PEEK,POP,2,87.3,3.5108853284426256,0.03233333333333333,0.0013003278994231946
LOAD_CONST,CALL,5999999,208183075.8,2104460.7460365724,77104.84288888889,779.4299059394713
LOAD_CONST,CREATE_CLASS,1,504.0,222.0194396419993,0.18666666666666668,0.08222942208962937
LOAD_CONST,DUPE,2,234.2,22.392667972963114,0.08674074074074074,0.00829358073072708
LOAD_CONST,SWAP,27,2733.2,162.85531195382902,1.0122962962962962,0.060316782205121856
LOAD_FIELD,ASSERT_FUNC,7000017,252022248.0,1610807.998260956,93341.57333333333,596.5955549114652
LOAD_FIELD,LOAD_CONST,2999997,156024128.8,1441078.0926318092,57786.71437037038,533.7326269006701
LOAD_FIELD,LOAD_LOCAL_SAFE,9,380.2,13.930655328976336,0.1408148148148148,0.005159501973694939
LOAD_FIELD,POP,6999993,225527071.4,1532297.7783588315,83528.54496296296,567.5176956884561
LOAD_GLOBAL,ASSERT_FUNC,7,523.0,43.91139403749085,0.1937037037037037,0.01626347927314476
LOAD_GLOBAL,CREATE_CLASS,2,261.2,31.196491030748618,0.09674074074074074,0.011554255937314304
LOAD_GLOBAL,CREATE_OBJECT,3,444.8,35.77944131834135,0.16474074074074074,0.013251644932719018
LOAD_GLOBAL,DUPE,1,53.8,2.667543715421401,0.019925925925925923,0.0009879791538597782
LOAD_GLOBAL,LOAD_CONST,1,54.0,2.247805947796065,0.02,0.00083252072140595
LOAD_GLOBAL,LOAD_FIELD,14,1593.7,95.61165971618843,0.5902592592592593,0.03541172582081053
LOAD_GLOBAL,LOAD_GLOBAL,3,423.7,54.313999358505995,0.1569259259259259,0.020116296058705924
LOAD_GLOBAL,SWAP,1,135.1,24.84880596517138,0.05003703703703703,0.009203261468581992
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,3000000,104875423.9,405870.08327268995,38842.7495925926,150.32225306395924
LOAD_GLOBAL_BY_INDEX,LOAD_FIELD,13999973,494275749.4,2748910.7806615112,183065.09237037037,1018.1151039487079
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,2999994,159206392.3,397703.8021226992,58965.330481481484,147.2977044898886
LOAD_GLOBAL_BY_INDEX,SWAP,2,248.3,15.386597038365975,0.09196296296296297,0.0056987396438392506
LOAD_LOCAL_SAFE,CALL,3000018,108611319.1,484470.0004210681,40226.41448148148,179.43333348928448
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,3,166.8,6.9403473293943705,0.06177777777777778,0.002570499010886804
LOAD_LOCAL_SAFE,LOAD_CONST,27,2843.0,162.29343145899907,1.0529629629629629,0.060108678318147805
LOAD_LOCAL_SAFE,LOAD_FIELD,3000029,100308937.6,1297938.1345527025,37151.45837037037,480.71782761211205
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,158.8,9.913308439190537,0.05881481481481482,0.0036715957182187173
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,2,330.5,21.898089318236735,0.12240740740740741,0.00811040345119879
LOAD_LOCAL_SAFE,RETURN,1,55.7,1.9761738683361685,0.02062962962962963,0.0007319162475319142
POP,JUMP,1000002,54629059.8,1814437.225405621,20232.98511111111,672.0137871872671
POP,LOAD_CONST,3,475.3,45.395455371887756,0.17603703703703705,0.016813131619217686
POP,LOAD_GLOBAL,16,1927.1,167.049283619819,0.7137407407407407,0.061870105044377406
POP,LOAD_GLOBAL_BY_INDEX,10999978,373734498.0,2490100.8783596545,138420.18444444446,922.2595845776498
POP,LOAD_LOCAL_SAFE,35,2957.3,195.79288197372998,1.0952962962962964,0.07251588221249258
RETURN,DUPE,3,161.4,5.27556432501476,0.05977777777777778,0.00195391271296843
RETURN,JUMP_IF_FALSE_PEEK,6,279.2,32.9171208052172,0.1034074074074074,0.012191526224154519
RETURN,SWAP,2999997,108027295.2,1582464.1808741328,40010.109333333334,586.0978447681973
RETURN_INIT,CREATE_LIST,1,188.8,11.468951220807558,0.06992592592592593,0.004247759711410206
RETURN_INIT,LOAD_GLOBAL,2,274.6,48.4240044866832,0.10170370370370371,0.017934816476549334
STORE_FIELD,POP,3000024,103384358.2,1444893.0704173783,38290.50303703704,535.145581636066
STORE_FIELD,RETURN_INIT,3,466.8,32.54405920400348,0.1728888888888889,0.01205335526074203
STORE_GLOBAL,CREATE_FUNC,17,2207.0,120.50333037546709,0.8174074074074074,0.04463086310202485
STORE_GLOBAL,POP,8,1397.5,227.63763910399817,0.5175925925925926,0.0843102367051845
STORE_GLOBAL_BY_INDEX,POP,1999996,74332857.8,333961.48049037927,27530.688074074074,123.689437218659
STORE_LOCAL,POP,11,421.7,24.16848752970869,0.15618518518518518,0.008951291677669884
SWAP,DUPE,3000027,105647613.7,414672.02389524813,39128.745814814814,153.58223107231413
