# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,9821,715136.6,18659.53533691216,264.8654074074074,6.91093901367117
ASSERT_FUNC,LOAD_CONST,9820,690530.3,21529.040698065204,255.75196296296298,7.973718777061187
ASSERT_FUNC,LOAD_GLOBAL,6,1112.6,121.46491804545659,0.41207407407407404,0.04498700668350244
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,14694,913747.4,19251.173581177638,338.424962962963,7.130064289325051
ASSERT_FUNC,LOAD_LOCAL_SAFE,70852,2897826.1,29540.170312554597,1073.268925925926,10.940803819464666
CALL,JUMP_IF_FALSE_PEEK,12120,447108.8,18866.347967799844,165.59585185185185,6.987536284370313
CALL,LOAD_CONST,1130,69599.3,9418.575426419742,25.77751851851852,3.488361269044349
CALL,LOAD_GLOBAL,1,215.5,75.89431710227751,0.07981481481481481,0.028109006334176855
CALL,LOAD_LOCAL_SAFE,46411,2348008.4,32632.79982245831,869.6327407407407,12.086222156466041
CALL,POP,5490,211600.4,11262.908469840284,78.37051851851852,4.171447581422328
CALL,RETURN,40041,1616755.4,28893.34291639184,598.7982962962963,10.701238117182163
CREATE_CLASS,DUPE,1,304.8,53.16666941648785,0.1128888888888889,0.019691359043143647
CREATE_FUNC,DUPE,17,2286.1,128.45392374822882,0.8467037037037036,0.04757552731415882
CREATE_LIST,SWAP,40,2057.6,116.41956789764203,0.762074074074074,0.04311835848060816
CREATE_OBJECT,LOAD_LOCAL_SAFE,1,329.9,135.11862234815433,0.12218518518518517,0.05004393420302012
DUPE,STORE_FIELD,44,2664.6,136.84428338347507,0.9868888888888888,0.050683067919805584
DUPE,STORE_GLOBAL,19,2438.1,153.7057681347539,0.9029999999999999,0.05692806227213107
DUPE,STORE_LOCAL,9832,362755.2,10437.72555180183,134.3537777777778,3.8658242784451224
JUMP,LOAD_GLOBAL_BY_INDEX,8690,318886.3,11741.020242138911,118.10603703703703,4.348526015607004
JUMP,POP,1050,41876.2,2457.339674054894,15.509703703703703,0.9101258052055163
JUMP_IF_FALSE,LOAD_CONST,9800,358877.2,2658.1879383876285,132.91748148148147,0.9845140512546772
JUMP_IF_FALSE,LOAD_GLOBAL,2,207.9,240.8489152975367,0.077,0.08920330196205063
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,78,2674.3,83.16445343889099,0.9904814814814815,0.03080164942181148
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,1130,41819.6,374.5973838669997,15.48874074074074,0.13873977180259248
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,5400,203236.1,17838.435870480993,75.27262962962963,6.606828100178146
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,14540,523200.1,8215.831020529498,193.7778148148148,3.042900377973888
JUMP_IF_FALSE_PEEK,POP,1051,42584.2,5253.906492466244,15.771925925925926,1.9458912935060164
JUMP_IF_FALSE_PEEK,RETURN,6360,252842.1,8846.416948775306,93.64522222222223,3.276450721768632
LOAD_CONST,CALL,25351,904300.3,16309.230570446898,334.9260370370371,6.040455766832184
LOAD_CONST,CREATE_CLASS,1,545.3,145.91168922547493,0.20196296296296296,0.05404136637980553
LOAD_CONST,CREATE_LIST,10,663.4,14.712686970595724,0.2457037037037037,0.005449143322442861
LOAD_CONST,DUPE,1131,43264.6,9807.17492665983,16.023925925925926,3.632287009874011
LOAD_CONST,LOAD_CONST,70,3628.3,110.77388063789651,1.3438148148148148,0.04102736319922093
LOAD_CONST,POP,9800,361609.5,13101.644555269833,133.92944444444444,4.852460946396235
LOAD_CONST,SWAP,4,515.2,87.50675161921717,0.19081481481481483,0.03240990800711747
LOAD_FIELD,ASSERT_FUNC,79542,3209307.6,40031.5336787598,1188.6324444444444,14.826493955096222
LOAD_FIELD,LOAD_FIELD,22190,1285655.7,36991.86444426878,476.16877777777773,13.700690534914363
LOAD_GLOBAL,ASSERT_FUNC,9,951.4,98.1322416033857,0.3523703703703704,0.036345274667920625
LOAD_GLOBAL,CALL,2,309.9,41.864317176225136,0.11477777777777777,0.015505302657861162
LOAD_GLOBAL,CREATE_LIST,3,511.0,52.48959796699573,0.18925925925925927,0.019440591839628048
LOAD_GLOBAL,CREATE_OBJECT,1,299.3,77.14995650986255,0.11085185185185185,0.02857405796661576
LOAD_GLOBAL,DUPE,1,170.0,22.969086776979637,0.06296296296296296,0.008507069176659126
LOAD_GLOBAL,LOAD_FIELD,1,207.5,21.21444393753811,0.07685185185185185,0.007857201458347448
LOAD_GLOBAL,LOAD_GLOBAL,37,3446.3,357.35653728012596,1.2764074074074074,0.13235427306671332
LOAD_GLOBAL,RETURN,3,262.5,23.43074902771997,0.09722222222222222,0.008678055195451841
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,25642,995846.6,15909.251477314103,368.83207407407406,5.892315361968186
LOAD_GLOBAL_BY_INDEX,CALL,2178,81095.7,810.9477950619213,30.035444444444444,0.300351035208119
LOAD_GLOBAL_BY_INDEX,CREATE_LIST,27,2073.4,59.31574744312732,0.767925925925926,0.021968795349306416
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,333,11850.8,157.0456185819569,4.389185185185185,0.05816504391924329
LOAD_GLOBAL_BY_INDEX,RETURN,1127,52201.9,454.71401075725333,19.33403703703704,0.1684125965767605
LOAD_LOCAL_SAFE,CALL,60961,2281977.9,39100.717045383695,845.177,14.481747053845814
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,10,691.4,52.97506861474406,0.25607407407407407,0.019620395783238542
LOAD_LOCAL_SAFE,LOAD_CONST,10965,501979.4,13740.977167428431,185.91829629629632,5.089250802751271
LOAD_LOCAL_SAFE,LOAD_FIELD,79541,2777834.9,40219.352134199464,1028.8277407407406,14.896056345999801
LOAD_LOCAL_SAFE,LOAD_GLOBAL,5,785.0,88.56635930193812,0.29074074074074074,0.03280235529701412
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,2205,137076.6,11882.581805226275,50.769111111111116,4.40095622415788
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,24370,1244876.2,22253.25023593534,461.0652592592592,8.241944531827903
LOAD_LOCAL_SAFE,RETURN,1,54.4,2.0104987598001385,0.020148148148148148,0.0007446291702963476
POP,JUMP,8690,309239.8,10764.30516299614,114.53325925925925,3.98677968999857
POP,LOAD_CONST,1,302.8,74.23830760321435,0.11214814814814815,0.027495669482671983
POP,LOAD_GLOBAL,4,612.8,71.88704590133784,0.22696296296296295,0.02662483181531031
POP,LOAD_GLOBAL_BY_INDEX,3307,159349.8,13471.671906556167,59.01844444444444,4.989508113539321
POP,LOAD_LOCAL_SAFE,16394,588566.4,13854.34406660196,217.98755555555556,5.131238543185911
RETURN,CALL,6880,454542.1,13468.837006410882,168.34892592592593,4.988458150522549
RETURN,DUPE,8700,601158.3,10476.199296249437,222.65122222222223,3.8800738134257173
RETURN,JUMP,1050,102188.2,9582.24076420322,37.84748148148148,3.5489780608160073
RETURN,JUMP_IF_FALSE,11010,902366.2,17485.800373295384,334.20970370370367,6.476222360479772
RETURN,JUMP_IF_FALSE_PEEK,9821,848868.9,7714.728046508111,314.3958888888889,2.8573066838918932
RETURN,LOAD_CONST,4580,275085.8,10246.227462878847,101.88362962962962,3.794899060325499
RETURN,LOAD_LOCAL_SAFE,4360,306445.5,8161.063162809643,113.49833333333333,3.0226159862257935
RETURN,POP,1130,105523.7,3092.8267618713107,39.08285185185185,1.1454913932856707
RETURN,RETURN,10,4945.9,997.6092421384236,1.8318148148148148,0.3694849044957125
RETURN_INIT,DUPE,1,131.0,29.000907426819378,0.048518518518518516,0.010741076824747918
STORE_FIELD,POP,43,2309.1,377.3410993559512,0.8552222222222222,0.13975596272442636
STORE_FIELD,RETURN_INIT,1,175.9,30.2514027512949,0.06514814814814815,0.011204223241220333
STORE_GLOBAL,CREATE_FUNC,16,2011.0,103.89367034060406,0.7448148148148148,0.03847913716318669
STORE_GLOBAL,LOAD_CONST,1,353.9,96.22008762809301,0.13107407407407407,0.0356370694918863
STORE_GLOBAL,LOAD_GLOBAL,2,331.5,79.8073337877904,0.12277777777777778,0.029558271773255703
STORE_LOCAL,POP,9832,359045.7,7771.377423800615,132.9798888888889,2.8782879347409684
SWAP,DUPE,44,3098.7,401.15689278831906,1.1476666666666666,0.1485766269586367
