# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,488802,22678072.4,337534.2453248103,8399.286074074074,125.01268345363346
ASSERT_FUNC,LOAD_CONST,99804,5664819.0,86373.03872584809,2098.081111111111,31.9900143429067
ASSERT_FUNC,LOAD_GLOBAL,32,2088.1,214.19467289066006,0.7733703703703704,0.07933136032987409
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,426795,16247853.3,284534.9812820356,6017.723444444445,105.38332640075392
ASSERT_FUNC,LOAD_LOCAL_SAFE,974286,42149153.1,674240.6621323139,15610.797444444444,249.71876375270887
CALL,CALL,129857,6861153.9,92445.09787458756,2541.168111111111,34.238925138736136
CALL,CREATE_LIST,9,794.3,84.49297697379788,0.29418518518518516,0.031293695175480696
CALL,DUPE,33245,1206357.1,29970.836010151066,446.79892592592597,11.100309633389283
CALL,JUMP_IF_FALSE_PEEK,101043,3777371.1,143755.48201680597,1399.0263333333335,53.24277111733554
CALL,LOAD_GLOBAL,15,2641.4,557.5469203762609,0.9782962962962963,0.20649885939861515
CALL,LOAD_GLOBAL_BY_INDEX,208905,11279866.4,133037.65017800123,4177.728296296296,49.273203769630086
CALL,LOAD_LOCAL_SAFE,1024697,43397032.7,601597.5297672116,16072.975074074075,222.81389991378208
CALL,POP,9346,353594.6,17695.41394170877,130.96096296296295,6.553857015447694
CALL,RETURN,473302,17917669.7,327243.1764642793,6636.173962962963,121.20117646825159
CALL,SWAP,9300,518972.0,15181.250444302399,192.21185185185186,5.622685349741629
CREATE_CLASS,DUPE,10,730.2,90.5164131670692,0.2704444444444445,0.03352459746928489
CREATE_FUNC,DUPE,27,3094.3,322.8552062620739,1.1460370370370372,0.11957600231928664
CREATE_LIST,DUPE,9,413.2,41.07707774160029,0.15303703703703703,0.015213732496888998
CREATE_OBJECT,DUPE,1,79.6,10.353743284435827,0.02948148148148148,0.0038347197349762325
