# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,17745,1186271.9,44203.114348366165,439.3599629629629,16.371523832728208
ASSERT_FUNC,LOAD_CONST,7394,447806.0,14459.394280099283,165.85407407407408,5.355331214851586
ASSERT_FUNC,LOAD_GLOBAL,5,337.5,63.52413548781034,0.125,0.023527457588077904
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,996,44094.9,2735.2989618186743,16.331444444444443,1.013073689562472
ASSERT_FUNC,LOAD_LOCAL_SAFE,83399,3303806.6,35194.8240040164,1223.6320740740741,13.035120001487556
CALL,CALL,5050,167119.3,9685.236953871163,61.89603703703703,3.5871247977300604
CALL,DUPE,5000,185907.6,20013.868745131924,68.85466666666667,7.412543979678491
CALL,LOAD_CONST,5000,322495.0,9952.282097457264,119.44259259259259,3.6860304064656533
CALL,LOAD_GLOBAL,3,513.9,143.52476404696452,0.19033333333333333,0.05315732001739427
CALL,LOAD_GLOBAL_BY_INDEX,1425,112291.3,9308.091268523202,41.589370370370375,3.4474412105641488
CALL,LOAD_LOCAL_SAFE,46324,2199102.3,20835.07885400561,814.4823333333333,7.716695871853929
CALL,POP,200,8848.6,1027.2299184034496,3.2772592592592593,0.38045552533461097
CALL,RETURN,46537,1712486.7,23370.025843059346,634.2543333333333,8.655565127059017
CREATE_CLASS,DUPE,3,474.1,85.2525042077018,0.1755925925925926,0.031575001558408075
CREATE_FUNC,DUPE,18,2203.1,343.6972198714567,0.8159629629629629,0.12729526661905805
CREATE_LIST,DUPE,1,72.6,23.170761975522424,0.026888888888888886,0.008581763694637935
CREATE_OBJECT,DUPE,1,87.0,25.443435716361726,0.03222222222222222,0.009423494709763603
CREATE_OBJECT,LOAD_LOCAL_SAFE,101,4972.7,362.30622407019183,1.8417407407407407,0.13418749039636735
DUPE,STORE_FIELD,14053,505967.8,17419.456706737285,187.39548148148148,6.45165063212492
DUPE,STORE_GLOBAL,23,2824.1,482.46755004052375,1.045962962962963,0.178691685200194
DUPE,STORE_LOCAL,28164,972711.4,7885.486150617393,360.2634814814815,2.92055042615459
JUMP,LOAD_GLOBAL_BY_INDEX,5250,188663.5,8710.250534193665,69.87537037037038,3.226018716368024
JUMP,POP,2757,97732.2,6600.328696759211,36.19711111111111,2.444566183984893
JUMP,RETURN,713,24846.4,128.11770903517248,9.202370370370371,0.047451003346360175
JUMP_IF_FALSE,LOAD_CONST,22243,747645.7,17248.695441440763,276.9058148148148,6.388405719052134
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,4183,155897.1,9615.990924660742,57.73966666666667,3.561478120244719
JUMP_IF_FALSE_PEEK,LOAD_CONST,50,2818.1,45.58150594496112,1.0437407407407406,0.01688203923887449
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,83.2,17.75150104846585,0.030814814814814816,0.006574630017950315
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,99,4162.9,277.3335252192319,1.5418148148148147,0.10271612045156736
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5100,188268.8,9581.29819574516,69.72918518518519,3.548628961387096
JUMP_IF_FALSE_PEEK,POP,53,2085.8,46.87227886838651,0.7725185185185186,0.017360103284587595
LOAD_CONST,CALL,19959,706369.2,14742.13238021519,261.6182222222222,5.460049029709329
LOAD_CONST,CREATE_CLASS,3,761.0,225.6336107848063,0.28185185185185185,0.08356800399437271
LOAD_CONST,DUPE,10055,346405.8,3627.0582483387343,128.29844444444444,1.3433549067921238
LOAD_CONST,LOAD_GLOBAL,2,113.1,5.9991227428858735,0.041888888888888885,0.0022218973121799534
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,711,26488.5,9450.731675935273,9.810555555555556,3.500270991087138
LOAD_CONST,POP,22243,791812.7,17396.348985075187,293.2639629629629,6.443092216694514
LOAD_CONST,SWAP,1114,57668.9,9480.735735940374,21.358851851851853,3.511383605903842
LOAD_FIELD,ASSERT_FUNC,68870,2705458.9,44649.513811109086,1002.0218148148148,16.53685696707744
LOAD_FIELD,CALL,11426,509027.6,7908.720452766045,188.52874074074074,2.929155723246683
LOAD_FIELD,LOAD_CONST,10400,381473.9,16367.3224955606,141.28662962962963,6.061971294652074
