# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,613781,47216374.8,1379051.1230556348,17487.54622222222,510.75967520579064
ASSERT_FUNC,LOAD_CONST,296034,16731507.5,123452.3257598912,6196.85462962963,45.72308361477452
ASSERT_FUNC,LOAD_GLOBAL,22,1848.2,303.33646422135894,0.6845185185185185,0.1123468386005033
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,45210,2513687.2,34440.050317219786,930.9952592592593,12.755574191562884
ASSERT_FUNC,LOAD_LOCAL_SAFE,2250256,96983867.1,1609071.9937210593,35919.950777777776,595.952590267059
ASSERT_FUNC,LOAD_NONLOCAL,4008,232229.8,9414.748137056595,86.01103703703703,3.4869437544654054
CALL,CALL,322839,12595072.3,137731.4409517376,4664.841592592593,51.011644796939855
CALL,CREATE_FUNC,140,18637.3,1356.5243940228083,6.902703703703703,0.5024164422306697
CALL,CREATE_LIST,9174,730192.9,14027.671682484535,270.44181481481485,5.195433956475754
CALL,DUPE,2232,136590.0,2895.9222147157616,50.58888888888889,1.07256378322806
CALL,LOAD_CONST,5185,365935.7,19908.22610485689,135.53174074074076,7.373417075872922
CALL,LOAD_GLOBAL,53,18573.5,1604.8723018555581,6.879074074074074,0.5943971488353919
CALL,LOAD_GLOBAL_BY_INDEX,497948,29728287.0,173330.18817881987,11010.476666666667,64.1963659921555
CALL,LOAD_LOCAL_SAFE,1333807,60005973.0,475446.50600129814,22224.434444444443,176.0912985189993
CALL,POP,101306,3765847.7,52020.421881674214,1394.7584074074075,19.266822919138598
CALL,RETURN,936627,34043997.6,244991.6512404367,12608.888,90.73764860756916
CREATE_CLASS,DUPE,28,1664.9,258.80736587581686,0.6166296296296296,0.09585457995400624
CREATE_FUNC,DUPE,29246,1108870.3,19085.241355284794,410.6927037037037,7.068607909364738
CREATE_LIST,DUPE,9174,339029.4,16859.809477602437,125.56644444444446,6.244373880593495
CREATE_LIST,SWAP,10,526.2,9.445689632397364,0.19488888888888892,0.0034984035675545795
