# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,LOAD_GLOBAL,2,467.9,83.52869031215057,0.17329629629629628,0.030936551967463175
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,1999999,70318478.1,367364.6249705866,26043.880777777777,136.0609722113284
ASSERT_FUNC,LOAD_LOCAL_SAFE,2000001,74512785.3,363730.8206718842,27597.32788888889,134.71511876736452
CALL,LOAD_LOCAL_SAFE,2000001,65936460.8,1312609.036194691,24420.911407407406,486.1514948869226
CALL,RETURN,2000001,71178631.4,1276755.6944212548,26362.456074074078,472.87247941527954
CREATE_FUNC,DUPE,17,2192.0,45.38026466485879,0.8118518518518518,0.01680750543142918
DUPE,STORE_GLOBAL,21,2592.4,125.47945942201903,0.9601481481481482,0.04647387386000705
DUPE,STORE_GLOBAL_BY_INDEX,999999,36111490.1,248882.31263155545,13374.625962962964,92.1786343079835
JUMP,LOAD_GLOBAL_BY_INDEX,1000000,35287693.8,175511.42038583232,13069.51622222222,65.0042297725305
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,249.5,18.760260350566902,0.09240740740740741,0.006948244574284038
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,999999,34165227.1,197302.90402800532,12653.787814814816,73.07514964000197
JUMP_IF_FALSE_PEEK,POP,1,51.9,3.076224617081277,0.01922222222222222,0.0011393424507708434
LOAD_CONST,DUPE,3,501.0,46.15990513535816,0.18555555555555556,0.017096261161243763
LOAD_FIELD,ASSERT_FUNC,2000001,73680766.4,334411.7952254935,27289.17274074074,123.85622045388648
LOAD_GLOBAL,ASSERT_FUNC,2,390.9,38.3363233006313,0.14477777777777778,0.014198638259493074
LOAD_GLOBAL,CALL,2,563.5,32.39151935793983,0.2087037037037037,0.011996859021459196
LOAD_GLOBAL,LOAD_GLOBAL,2,331.7,19.83378298178189,0.12285185185185185,0.007345845548808108
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,1999999,71083740.4,422255.98226747924,26327.311259259262,156.39110454351083
LOAD_GLOBAL_BY_INDEX,CALL,1999999,68666094.1,1495528.5755615097,25431.8867037037,553.8994724301888
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,1999999,69639084.5,381512.51118499844,25792.25351851852,141.30093006851794
LOAD_LOCAL_SAFE,CALL,2000001,71880152.6,1299350.8252245917,26622.278740740738,481.2410463794784
LOAD_LOCAL_SAFE,LOAD_FIELD,2000001,68651521.6,1241478.778127981,25426.48948148148,459.80695486221515
POP,JUMP,1000000,33760594.9,271950.41930661147,12503.924037037037,100.72237752096721
POP,LOAD_CONST,2,272.3,8.442374323051917,0.10085185185185186,0.0031268053048340433
POP,LOAD_GLOBAL,2,511.5,200.29859289518106,0.18944444444444444,0.07418466403525224
RETURN,DUPE,1000000,55059631.2,193175.8262041144,20392.456000000002,71.54660229782014
RETURN,JUMP_IF_FALSE_PEEK,1000001,54924052.0,217762.8333132892,20342.24148148148,80.65290122714414
STORE_GLOBAL,CREATE_FUNC,16,2239.5,203.34039389524582,0.8294444444444444,0.07531125699823919
STORE_GLOBAL,LOAD_CONST,1,279.4,53.82271091766297,0.10348148148148148,0.01993433737691221
STORE_GLOBAL,POP,4,951.3,115.75705048437484,0.35233333333333333,0.04287298166087957
STORE_GLOBAL_BY_INDEX,POP,999999,36010567.4,234818.71819507808,13337.247185185184,86.9698956278067
