# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,153591,9027343.8,64945.653396634545,3343.460666666667,24.053945702457238
ASSERT_FUNC,LOAD_CONST,123398,6643330.8,56197.82609543393,2460.492888888889,20.81400966497553
ASSERT_FUNC,LOAD_GLOBAL,5,320.2,59.60890078362105,0.11859259259259258,0.02207737066060039
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,869,50921.6,1352.1752611411382,18.85985185185185,0.5008056522744956
ASSERT_FUNC,LOAD_LOCAL_SAFE,436374,17593067.6,117906.2266390234,6515.950962962964,43.66897282926793
CALL,CALL,58646,2542286.6,35737.857692692734,941.5876296296296,13.236243589886199
CALL,CREATE_LIST,1027,121278.0,11324.471982578725,44.91777777777778,4.194248882436565
CALL,DUPE,2661,124582.0,3748.2591046763937,46.141481481481485,1.3882441128431087
CALL,JUMP,598,58220.4,2519.9536837848927,21.563111111111112,0.9333161791795899
CALL,LOAD_CONST,3863,210666.5,11387.730920877779,78.02462962962963,4.217678118843621
CALL,LOAD_GLOBAL,28,8222.8,1196.609490888406,3.045481481481481,0.4431887003290393
CALL,LOAD_GLOBAL_BY_INDEX,105806,6348545.2,56103.57828685692,2351.3130370370372,20.77910306920627
CALL,LOAD_LOCAL_SAFE,280072,12751770.6,79794.37136751488,4722.878,29.55347087685736
CALL,POP,18123,717702.8,9753.433088432326,265.81585185185185,3.612382625345306
CALL,RETURN,217593,7928692.1,84483.00909332675,2936.5526296296293,31.290003367898795
CALL,SWAP,25820,936963.8,19000.498230586658,347.0236296296296,7.0372215668839475
CREATE_CLASS,DUPE,10,491.6,39.14668770017122,0.18207407407407408,0.014498773222285637
CREATE_FUNC,DUPE,20,2397.1,361.41795312643956,0.8878148148148148,0.13385850115794057
CREATE_LIST,DUPE,1027,37771.7,562.293901424288,13.989518518518517,0.20825700052751409
CREATE_OBJECT,DUPE,1,81.0,28.906382467690783,0.03,0.010706067580626215
CREATE_OBJECT,LOAD_LOCAL_SAFE,3801,252631.7,14098.218092331643,93.5672962962963,5.221562256419127
DUPE,STORE_FIELD,69763,2467418.4,35867.8119685398,913.8586666666666,13.284374803162889
DUPE,STORE_GLOBAL,36,4351.4,716.1720169726941,1.6116296296296295,0.2652488951750719
DUPE,STORE_LOCAL,28160,1057248.5,44885.67357362363,391.57351851851854,16.62432354578653
