# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,42,6053.9,425.9006432194448,2.242185185185185,0.15774097897016476
ASSERT_FUNC,LOAD_CONST,43,6096.5,432.5312887982483,2.257962962962963,0.16019677362898085
ASSERT_FUNC,LOAD_GLOBAL,1,171.1,13.878798673933519,0.06337037037037037,0.005140295805160563
ASSERT_FUNC,LOAD_LOCAL_SAFE,105860,4080725.1,81936.95298337619,1511.3796666666667,30.347019623472665
CALL,CALL,20859,878067.8,18147.391343922507,325.2102962962963,6.721256053304632
CALL,LOAD_GLOBAL,4,1289.8,378.27302865856865,0.4777037037037037,0.1401011217253958
CALL,LOAD_GLOBAL_BY_INDEX,20900,1216690.2,21643.25679257796,450.626,8.016021034288134
CALL,LOAD_LOCAL_SAFE,45346,1740065.4,35703.94195603617,644.4686666666666,13.223682205939323
CALL,RETURN,18837,1191054.8,25100.000213042553,441.13140740740744,9.296296375200946
CREATE_CLASS,DUPE,2,381.9,31.425601363420725,0.14144444444444443,0.01163911161608175
CREATE_FUNC,DUPE,17,2185.3,41.57061208923541,0.8093703703703704,0.015396522996013115
CREATE_OBJECT,DUPE,1,229.8,24.260863003698166,0.08511111111111111,0.008985504816184505
CREATE_OBJECT,LOAD_LOCAL_SAFE,31,3475.1,261.7282439558454,1.287074074074074,0.09693638665031312
DUPE,STORE_FIELD,124,11832.7,880.2220473446341,4.382481481481482,0.32600816568319785
DUPE,STORE_GLOBAL,20,2497.3,196.31690277658078,0.924925925925926,0.07270996399132622
DUPE,STORE_LOCAL,41750,1562672.2,38492.728641571826,578.7674814814815,14.256566163545122
JUMP,LOAD_GLOBAL_BY_INDEX,18050,669906.8,19737.264828371284,248.11362962962966,7.310098084581957
JUMP,RETURN,2813,104263.1,1830.771074251447,38.61596296296297,0.6780633608338693
JUMP_IF_FALSE,LOAD_CONST,4,388.5,43.26600707739336,0.1438888888888889,0.016024447065701244
JUMP_IF_FALSE,LOAD_GLOBAL,5,739.8,68.40406266789773,0.27399999999999997,0.02533483802514731
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,21596,821121.6,21324.625217660534,304.1191111111111,7.898009339874272
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20859,786667.5,21749.207132553962,291.35833333333335,8.055261900945911
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,166.6,19.206358596212763,0.061703703703703705,0.007113466146745468
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,18751,683654.9,19839.083292435927,253.20551851851852,7.3478086268281215
JUMP_IF_FALSE_PEEK,POP,2107,75070.4,1440.708246881223,27.80385185185185,0.5335956469930455
LOAD_CONST,CALL,39690,1460970.3,31734.921759209625,541.1001111111111,11.753674725633195
LOAD_CONST,CREATE_CLASS,2,584.1,106.49334053802315,0.21633333333333335,0.03944197797704561
LOAD_CONST,JUMP,4,403.7,29.53873460568788,0.14951851851851852,0.010940272076180696
LOAD_CONST,LOAD_LOCAL_SAFE,9,344.5,16.40121946685674,0.1275925925925926,0.00607452572846546
LOAD_CONST,SWAP,62,6245.2,478.138231499064,2.313037037037037,0.17708823388854222
LOAD_FIELD,ASSERT_FUNC,45422,1718251.5,37777.39824913416,636.3894444444444,13.9916289811608
LOAD_FIELD,DUPE,36100,1313071.8,24977.28680979877,486.3228888888889,9.250846966592137
LOAD_FIELD,LOAD_CONST,10,410.9,15.182746440406758,0.15218518518518517,0.005623239422372873
LOAD_FIELD,LOAD_FIELD,9,339.9,68.34117199370877,0.12588888888888888,0.0253115451828551
LOAD_FIELD,LOAD_LOCAL_SAFE,2106,105675.9,20872.487411094917,39.13922222222222,7.730550892998117
LOAD_GLOBAL,ASSERT_FUNC,7,634.8,51.07847419721725,0.2351111111111111,0.018917953406376756
LOAD_GLOBAL,CREATE_OBJECT,2,411.9,25.632832564177498,0.15255555555555556,0.00949364169043611
LOAD_GLOBAL,JUMP,1,151.2,16.624648789325477,0.055999999999999994,0.0061572773293798065
LOAD_GLOBAL,LOAD_FIELD,2,287.7,22.235817478729416,0.10655555555555556,0.008235487955084969
LOAD_GLOBAL,RETURN,3,395.2,41.525642046432246,0.14637037037037037,0.015379867424604536
