# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,LOAD_GLOBAL,3,343.9,44.9817506855485,0.12737037037037036,0.01665990766131426
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,1999999,68420293.6,1308195.4501250316,25340.84948148148,484.51683337964135
ASSERT_FUNC,LOAD_LOCAL_SAFE,2000002,74621261.7,292546.35412764776,27637.504333333334,108.35050152875843
CALL,LOAD_LOCAL_SAFE,2000002,63808431.3,375289.3810231601,23632.752333333334,138.99606704561486
CALL,RETURN,2000002,70490952.2,271619.5850305517,26107.760074074075,100.59984630761174
CREATE_CLASS,DUPE,1,236.2,39.09448742941159,0.08748148148148148,0.01447943978867096
CREATE_FUNC,DUPE,17,2116.0,328.14374257247937,0.7837037037037037,0.12153471947128866
CREATE_OBJECT,LOAD_LOCAL_SAFE,1,267.4,47.51996810206265,0.09903703703703703,0.017599988185949128
DUPE,STORE_FIELD,1000009,35067049.9,177168.60572611835,12987.79625925926,65.61800212078457
DUPE,STORE_GLOBAL,20,2440.6,382.4486756071776,0.9039259259259259,0.141647657632288
JUMP,LOAD_GLOBAL_BY_INDEX,1000000,34395798.2,210951.64074999694,12739.18451851852,78.13023731481368
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,223.2,48.98291861240481,0.08266666666666667,0.01814182170829808
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,999999,34184566.0,193466.33525078333,12660.95037037037,71.65419824103087
JUMP_IF_FALSE_PEEK,POP,1,50.6,3.439706229806321,0.018740740740740742,0.0012739652702986374
LOAD_CONST,CALL,2000002,66082351.1,1312900.0692744409,24474.94485185185,486.2592849164596
LOAD_CONST,CREATE_CLASS,1,531.2,201.77986963390003,0.19674074074074074,0.0747332850495926
LOAD_CONST,DUPE,1,154.3,26.391984429088755,0.05714814814814815,0.00977480904781065
LOAD_CONST,SWAP,8,868.7,117.25684807742628,0.32174074074074077,0.04342846225089862
LOAD_FIELD,ASSERT_FUNC,2000002,69353118.3,1255914.0746487193,25686.34011111111,465.15336098100715
LOAD_FIELD,LOAD_CONST,2000002,84526401.5,305145.30503067136,31306.07462962963,113.0167796409894
LOAD_FIELD,POP,8000000,252976700.1,1611362.854678639,93695.07411111111,596.8010572883848
LOAD_GLOBAL,ASSERT_FUNC,3,394.0,65.22834385530005,0.14592592592592593,0.024158645872333354
LOAD_GLOBAL,CREATE_OBJECT,1,256.4,33.21128533622585,0.09496296296296296,0.012300476050454019
LOAD_GLOBAL,LOAD_FIELD,11,1089.4,172.195849329523,0.4034814814814815,0.06377624049241593
LOAD_GLOBAL,LOAD_GLOBAL,1,148.0,23.673213821354693,0.054814814814814816,0.00876785697087211
LOAD_GLOBAL,SWAP,1,146.1,40.530560269868886,0.05411111111111111,0.015011318618469958
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,1999999,68531804.6,1862462.064144025,25382.14985185185,689.8007644977871
LOAD_GLOBAL_BY_INDEX,LOAD_FIELD,9999991,342446226.7,2089686.0596240403,126831.93581481482,773.9577998607557
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,999999,52353264.8,132013.06931536287,19390.098074074074,48.89372937606032
LOAD_LOCAL_SAFE,CALL,2000002,72292317.2,1672526.6953684678,26774.932296296298,619.4543316179511
LOAD_LOCAL_SAFE,LOAD_CONST,8,948.0,151.26971380877757,0.3511111111111111,0.05602581992917688
LOAD_LOCAL_SAFE,LOAD_FIELD,2000002,67067746.1,1251760.3334550771,24839.905962962963,463.61493831669526
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,164.4,29.619339343710806,0.06088888888888889,0.010970125682855854
POP,JUMP,1000000,32763811.9,159120.58947983634,12134.745148148148,58.93355165919865
POP,LOAD_CONST,1,144.1,22.84478519326272,0.05337037037037037,0.008461031553060267
POP,LOAD_GLOBAL,11,1331.0,224.34888244123607,0.49296296296296294,0.08309217868193929
POP,LOAD_GLOBAL_BY_INDEX,7999992,251909711.8,1608866.0402347308,93299.89325925926,595.8763111980485
POP,LOAD_LOCAL_SAFE,8,862.5,176.38698484030115,0.3194444444444444,0.06532851290381524
RETURN,JUMP_IF_FALSE_PEEK,1000001,55185390.2,149829.58865942576,20439.03340740741,55.492440244231766
RETURN,SWAP,1000000,54864069.7,212697.778254077,20320.025814814817,78.77695490891742
RETURN_INIT,DUPE,1,146.1,51.93710771591673,0.05411111111111111,0.0192359658207099
STORE_FIELD,POP,1000008,33793491.1,168409.44000603814,12516.107814814815,62.37386666890302
STORE_FIELD,RETURN_INIT,1,166.0,30.150499690369102,0.061481481481481484,0.011166851737173742
STORE_GLOBAL,CREATE_FUNC,16,2153.0,375.22344220337214,0.7974074074074075,0.1389716452605082
STORE_GLOBAL,LOAD_CONST,1,279.4,54.379175580750626,0.10348148148148148,0.02014043540027801
STORE_GLOBAL,POP,3,746.7,150.75008946492937,0.27655555555555555,0.05583336646849236
SWAP,DUPE,1000009,35670129.6,1290232.218854232,13211.159111111112,477.86378476082666
