# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,13700,891732.4,29276.116053875743,330.2712592592593,10.843005945879904
ASSERT_FUNC,LOAD_CONST,13700,848707.4,24059.433401912283,314.3360740740741,8.910901259967513
ASSERT_FUNC,LOAD_GLOBAL,1,57.2,2.1908902300206634,0.021185185185185185,0.0008114408259335791
ASSERT_FUNC,LOAD_LOCAL_SAFE,109589,4308541.9,61113.712267766416,1595.7562592592594,22.634708247320894
CALL,CALL,18738,913610.2,27322.952147657077,338.37414814814815,10.119611906539658
CALL,DUPE,10078,596751.5,14418.38209589266,221.01907407407407,5.3401415169972815
CALL,LOAD_GLOBAL,2,563.4,216.4090668399231,0.20866666666666667,0.08015150623700855
CALL,LOAD_GLOBAL_BY_INDEX,8659,623297.0,13028.62525364819,230.85074074074075,4.825416760610441
CALL,LOAD_LOCAL_SAFE,53378,2813005.8,75373.26440672667,1041.854,27.91602385434321
CALL,POP,10078,606157.4,20496.282087503725,224.50274074074076,7.591215587964343
CALL,RETURN,36057,1552586.2,28596.228363011018,575.0319259259259,10.591195690004081
CREATE_CLASS,DUPE,1,244.6,54.15027822254423,0.09059259259259259,0.020055658600942307
CREATE_FUNC,DUPE,17,2127.3,314.7157614837805,0.787888888888889,0.11656139314214092
CREATE_LIST,SWAP,1,142.1,28.250570557815376,0.05262962962962963,0.01046317428067236
CREATE_OBJECT,LOAD_LOCAL_SAFE,1,309.9,55.98674655196249,0.11477777777777777,0.020735832056282405
DUPE,STORE_FIELD,8664,331323.5,34836.91941710237,122.71240740740741,12.902562747074953
DUPE,STORE_GLOBAL,20,2521.3,434.75983690938347,0.9338148148148149,0.16102216181829018
DUPE,STORE_LOCAL,22357,838491.4,23851.88547859918,310.5523703703704,8.834031658740436
