# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,9821,670631.8,26119.91262095485,248.38214814814816,9.674041711464758
ASSERT_FUNC,LOAD_CONST,9820,589299.4,11385.694516411919,218.25903703703705,4.216923894967377
ASSERT_FUNC,LOAD_GLOBAL,6,1013.3,225.11309438404044,0.3752962962962963,0.0833752201422372
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,14694,917667.3,21256.970950973384,339.8767777777778,7.872952204064216
ASSERT_FUNC,LOAD_LOCAL_SAFE,70852,2852065.5,55376.25714243662,1056.3205555555555,20.50972486756912
CALL,JUMP_IF_FALSE_PEEK,12120,444853.8,15932.819050791451,164.76066666666665,5.901044092885723
CALL,LOAD_CONST,1130,60728.8,621.6045112618245,22.49214814814815,0.23022389305993501
CALL,LOAD_GLOBAL,1,219.7,60.98930018324613,0.08137037037037037,0.022588629697498565
CALL,LOAD_LOCAL_SAFE,46411,2373632.8,30586.36939897461,879.1232592592592,11.328284962583188
CALL,POP,5490,208242.6,8200.017409480868,77.12688888888889,3.037043484992914
CALL,RETURN,40041,1603971.0,45249.48537305497,594.0633333333334,16.759068656687027
CREATE_CLASS,DUPE,1,272.7,61.27857013585368,0.10099999999999999,0.022695766716982844
CREATE_FUNC,DUPE,17,2122.4,314.87046626559913,0.7860740740740741,0.11661869120948117
CREATE_LIST,SWAP,40,2034.2,170.05621361618546,0.7534074074074074,0.06298378282080944
CREATE_OBJECT,LOAD_LOCAL_SAFE,1,259.1,92.14742193041025,0.09596296296296297,0.03412867478904083
DUPE,STORE_FIELD,44,3119.2,747.54317601059,1.1552592592592592,0.27686784296688516
DUPE,STORE_GLOBAL,19,2803.9,2194.1393205297463,1.0384814814814816,0.812644192788795
DUPE,STORE_LOCAL,9832,360857.0,13965.301760547742,133.65074074074073,5.172333985388052
JUMP,LOAD_GLOBAL_BY_INDEX,8690,318654.4,11952.754108528597,118.02014814814815,4.4269459661217025
JUMP,POP,1050,44912.4,10082.949455705697,16.634222222222224,3.7344257243354435
JUMP_IF_FALSE,LOAD_CONST,9800,364261.4,15024.308725318586,134.91162962962963,5.564558787155032
JUMP_IF_FALSE,LOAD_GLOBAL,2,155.6,20.628034067105965,0.05762962962962963,0.0076400126174466535
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,78,2745.4,42.09813097488943,1.0168148148148148,0.015591900361070159
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,1130,41342.5,494.3516221433783,15.312037037037037,0.1830931933864364
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,5400,199925.8,11133.360657808676,74.04659259259259,4.12346691029951
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,14540,529780.9,12567.264266632106,196.21514814814816,4.654542320974854
JUMP_IF_FALSE_PEEK,POP,1051,45117.8,8109.795166470315,16.7102962962963,3.00362783943345
JUMP_IF_FALSE_PEEK,RETURN,6360,259315.3,15191.55601018297,96.0427037037037,5.6265022259936925
LOAD_CONST,CALL,25351,900500.6,23037.112996206797,333.5187407407407,8.532264072669184
LOAD_CONST,CREATE_CLASS,1,546.0,174.26416728633572,0.20222222222222222,0.06454228418012434
LOAD_CONST,CREATE_LIST,10,619.1,31.277871781147397,0.2292962962962963,0.011584396955980517
LOAD_CONST,DUPE,1131,40997.4,539.0526192458302,15.184222222222223,0.19964911823919637
LOAD_CONST,LOAD_CONST,70,3125.5,167.21228234917749,1.1575925925925925,0.06193047494413981
LOAD_CONST,POP,9800,358432.8,9312.856928377092,132.7528888888889,3.4492062697692933
LOAD_CONST,SWAP,4,434.5,81.53494568846571,0.16092592592592592,0.03019812803276508
LOAD_FIELD,ASSERT_FUNC,79542,3121937.5,38356.04198819267,1156.273148148148,14.205941477108396
LOAD_FIELD,LOAD_FIELD,22190,795940.5,18886.904924618502,294.79277777777776,6.9951499720809265
LOAD_GLOBAL,ASSERT_FUNC,9,830.4,193.11692667506145,0.3075555555555555,0.07152478765743017
LOAD_GLOBAL,CALL,2,249.1,63.02706185691817,0.09225925925925926,0.023343356243303026
LOAD_GLOBAL,CREATE_LIST,3,419.2,95.75055311094883,0.15525925925925926,0.035463167818869934
LOAD_GLOBAL,CREATE_OBJECT,1,230.9,45.39174513406364,0.08551851851851852,0.016811757457060608
LOAD_GLOBAL,DUPE,1,148.8,34.994134846917,0.05511111111111112,0.012960790684043334
LOAD_GLOBAL,LOAD_FIELD,1,150.7,39.822104414508274,0.05581481481481481,0.014748927560928991
LOAD_GLOBAL,LOAD_GLOBAL,37,3026.2,690.8922987130866,1.1208148148148147,0.25588603656040243
LOAD_GLOBAL,RETURN,3,218.0,39.98420740874155,0.08074074074074074,0.014808965706941313
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,25642,982949.8,29869.945662030113,364.0554814814815,11.062942837788931
LOAD_GLOBAL_BY_INDEX,CALL,2178,81880.7,2539.8456873970617,30.326185185185185,0.9406835879248376
LOAD_GLOBAL_BY_INDEX,CREATE_LIST,27,2061.6,47.61512364784959,0.7635555555555555,0.017635230980685035
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,333,13996.7,9549.263124506133,5.183962962962963,3.5367641201874567
LOAD_GLOBAL_BY_INDEX,RETURN,1127,52408.6,550.5060255896627,19.410592592592593,0.20389112058876396
LOAD_LOCAL_SAFE,CALL,60961,2270827.4,37231.27766641484,841.0471851851852,13.789362098672163
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,10,669.0,24.464797481063957,0.2477777777777778,0.009061036104097761
LOAD_LOCAL_SAFE,LOAD_CONST,10965,497692.6,18838.935785117734,184.33059259259258,6.977383624117679
LOAD_LOCAL_SAFE,LOAD_FIELD,79541,2767335.5,43264.965064733726,1024.9390740740741,16.024061135086566
LOAD_LOCAL_SAFE,LOAD_GLOBAL,5,647.4,150.1285063572293,0.23977777777777776,0.055603150502677515
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,2205,133237.8,1270.9879953054342,49.34733333333333,0.4707362945575682
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,24370,1231971.3,16072.148702188615,456.28566666666666,5.952647667477265
LOAD_LOCAL_SAFE,RETURN,1,57.7,2.992974229231202,0.021370370370370373,0.001108508973789334
POP,JUMP,8690,306995.7,11066.329306789841,113.70211111111112,4.098640483996237
POP,LOAD_CONST,1,321.8,157.4746763267368,0.11918518518518519,0.05832395419508771
POP,LOAD_GLOBAL,4,535.7,118.98920782553083,0.19840740740740742,0.044070076972418826
POP,LOAD_GLOBAL_BY_INDEX,3307,159902.0,17269.437975799912,59.22296296296296,6.396088139185153
POP,LOAD_LOCAL_SAFE,16394,595411.0,18360.621013462456,220.5225925925926,6.800230004986095
RETURN,CALL,6880,478536.4,13996.982059677986,177.2357037037037,5.184067429510366
RETURN,DUPE,8700,551806.4,12417.944106476665,204.37274074074074,4.599238557954321
RETURN,JUMP,1050,93399.5,11658.830976424786,34.59240740740741,4.318085546823995
