# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(ticks),total dispatch cost(ticks)_std,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,37438,2273139.9,37427.57911079396,841.9036666666666,13.862066337331095
ASSERT_FUNC,LOAD_CONST,55762,2886042.2,40301.48233345378,1068.9045185185187,14.926474938316215
ASSERT_FUNC,LOAD_GLOBAL,5,673.7,145.5331758162306,0.24951851851851853,0.05390117622823355
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,17744,1008320.8,24396.644725302518,373.4521481481482,9.035794342704635
ASSERT_FUNC,LOAD_LOCAL_SAFE,122658,5463329.2,60687.106909215385,2023.4552592592593,22.476706262672366
CALL,LOAD_GLOBAL,2,611.3,203.85368850180137,0.2264074074074074,0.07550136611177828
CALL,LOAD_LOCAL_SAFE,107641,4820433.7,69539.26778378717,1785.345814814815,25.75528436436562
CALL,POP,27880,1031986.0,22522.061203231486,382.217037037037,8.341504149344996
CALL,RETURN,98084,3534055.1,39009.34110791522,1308.9092962962964,14.447904114042675
CREATE_CLASS,DUPE,2,353.4,85.26886270713607,0.1308888888888889,0.031581060261902244
CREATE_FUNC,DUPE,17,2081.4,457.21357441744766,0.770888888888889,0.16933836089535098
CREATE_LIST,DUPE,5461,205954.9,13476.094194028023,76.27959259259259,4.9911459977881565
CREATE_OBJECT,LOAD_LOCAL_SAFE,2,381.0,96.51724689074187,0.1411111111111111,0.035747128478052545
DUPE,STORE_FIELD,9560,357000.5,28608.274091138122,132.22240740740742,10.595657070791898
DUPE,STORE_GLOBAL,21,2589.8,533.5813063876168,0.9591851851851853,0.1976227060694877
DUPE,STORE_LOCAL,42899,1550464.6,25444.160493126936,574.2461481481482,9.42376314560257
JUMP,LOAD_GLOBAL_BY_INDEX,27880,1004673.4,19823.86636142883,372.1012592592593,7.342172726455122
JUMP,RETURN,4096,150197.0,11667.543817652546,55.62851851851852,4.3213125250564985
JUMP_IF_FALSE,LOAD_CONST,1365,56626.6,12338.689789694683,20.972814814814814,4.569885107294327
JUMP_IF_FALSE,LOAD_GLOBAL,1,167.4,40.14237818460422,0.062,0.01486754747577934
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,4095,149239.3,1141.8541293140618,55.27381481481481,0.42290893678298586
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,27880,986237.9,14096.67332872697,365.2732962962963,5.22099012175073
JUMP_IF_FALSE_PEEK,POP,5461,200662.0,10075.621083115739,74.31925925925925,3.7317115122650883
LOAD_CONST,CALL,93988,3302156.8,42086.279721543506,1223.0210370370369,15.587511007979076
LOAD_CONST,CREATE_CLASS,2,708.9,202.37066044890574,0.26255555555555554,0.07495209646255768
LOAD_CONST,CREATE_LIST,1365,91867.5,814.2922984828142,34.025,0.30158974017882006
LOAD_CONST,DUPE,5461,193843.1,14383.649979275626,71.79374074074074,5.327277770102084
LOAD_CONST,LOAD_CONST,4095,168326.6,1239.4832709429254,62.343185185185185,0.4590678781270094
LOAD_CONST,LOAD_LOCAL_SAFE,1,150.3,34.618370541482285,0.05566666666666667,0.012821618719067514
LOAD_CONST,SWAP,3,377.8,89.21151683971138,0.13992592592592593,0.03304130253322644
LOAD_FIELD,ASSERT_FUNC,168864,6313275.4,66797.8657241775,2338.250148148148,24.739950268213892
LOAD_FIELD,LOAD_CONST,4096,161156.1,35736.94030713584,59.687444444444445,13.235903817457718
LOAD_FIELD,LOAD_FIELD,5461,284647.2,2885.7275941031617,105.42488888888889,1.0687879978159858
LOAD_FIELD,RETURN,4097,143208.8,11082.158604094951,53.04029629629629,4.104503186701834
LOAD_GLOBAL,ASSERT_FUNC,10,926.6,205.47772321310677,0.3431851851851852,0.0761028604492988
LOAD_GLOBAL,CALL,1,52.7,7.086681355301574,0.01951851851851852,0.0026246967982598425
LOAD_GLOBAL,CREATE_OBJECT,2,387.8,92.5973740675756,0.14362962962962963,0.0342953237287317
LOAD_GLOBAL,LOAD_FIELD,2,226.0,45.01227902648226,0.0837037037037037,0.016671214454252688
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,64733,2329322.8,37383.08094875345,862.7121481481481,13.845585536575351
LOAD_LOCAL_SAFE,CALL,96720,3537901.4,44916.668513569566,1310.3338518518517,16.635803153173914
LOAD_LOCAL_SAFE,JUMP,4096,228834.6,1369.6413821834792,84.75355555555556,0.5072745859938812
