# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,153591,97652.3,977.6482577028796
ASSERT_FUNC,LOAD_CONST,123398,78881.1,884.9461416855881
ASSERT_FUNC,LOAD_GLOBAL,5,3.15,1.268027892769755
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,869,553.55,20.032802048009568
ASSERT_FUNC,LOAD_LOCAL_SAFE,436374,275122.4,3227.0267951850146
CALL,CALL,58646,37244.7,348.0680665435551
CALL,CREATE_LIST,1027,659.25,21.190551519113654
CALL,DUPE,2661,1766.5,33.24628986027889
CALL,JUMP,598,395.05,12.812309048641247
CALL,LOAD_CONST,3863,2454.75,37.06590858116621
CALL,LOAD_GLOBAL,28,19.55,2.4165002967536595
CALL,LOAD_GLOBAL_BY_INDEX,105806,67300.6,627.2361596719373
CALL,LOAD_LOCAL_SAFE,280072,177867.9,1840.789644633377
CALL,POP,18123,11545.9,109.67507033337878
CALL,RETURN,217593,139463.55,1628.6031623837416
CALL,SWAP,25820,16431.8,170.61702265908977
CREATE_CLASS,DUPE,10,6.3,1.4545753585442764
CREATE_FUNC,DUPE,20,32.6,5.789282293487183
CREATE_LIST,DUPE,1027,650.1,22.202181021360584
CREATE_OBJECT,DUPE,1,0.65,0.48936048492959294
CREATE_OBJECT,LOAD_LOCAL_SAFE,3801,2541.7,44.29577620353529
DUPE,STORE_FIELD,69763,43911.45,471.0092718944347
DUPE,STORE_GLOBAL,36,44.4,5.103146604121608
DUPE,STORE_LOCAL,28160,17934.3,514.0097377738246
JUMP,LOAD_GLOBAL_BY_INDEX,27020,17223.25,180.4706930574369
JUMP,LOAD_LOCAL_SAFE,3820,2425.75,30.988750080939887
JUMP,POP,4224,2693.75,40.3678806661148
JUMP,RETURN,43701,27522.3,252.0841755821795
JUMP_IF_FALSE,LOAD_CONST,56007,35593.8,708.8257598978306
JUMP_IF_FALSE,LOAD_GLOBAL,9,6.05,1.2343760409722462
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,50572,31975.8,376.03157762137636
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,51493,32776.4,710.7804754004763
JUMP_IF_FALSE_PEEK,JUMP,693,441.9,17.776092756402083
