# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,42,51.95,10.2775944349065
ASSERT_FUNC,LOAD_CONST,43,54.65,8.646721313520183
ASSERT_FUNC,LOAD_GLOBAL,1,1.7,0.47016234598162726
ASSERT_FUNC,LOAD_LOCAL_SAFE,105860,66041.35,562.3185344718117
CALL,CALL,20859,13171.9,127.84731847835252
CALL,LOAD_GLOBAL,4,3.6,0.8825799501580878
CALL,LOAD_GLOBAL_BY_INDEX,20900,13185.7,139.68954299106514
CALL,LOAD_LOCAL_SAFE,45346,28489.55,261.03729820206144
CALL,RETURN,18837,11951.75,131.11821704898696
CREATE_CLASS,DUPE,2,3.5,0.6069769786668839
CREATE_FUNC,DUPE,17,31.0,4.920419323166418
CREATE_OBJECT,DUPE,1,1.8,0.4103913408340616
CREATE_OBJECT,LOAD_LOCAL_SAFE,31,44.85,7.617673356637251
DUPE,STORE_FIELD,124,171.9,32.35965649417577
DUPE,STORE_GLOBAL,20,35.75,4.399461689558706
DUPE,STORE_LOCAL,41750,26066.7,244.79725230656098
JUMP,LOAD_GLOBAL_BY_INDEX,18050,11363.15,123.21793914165171
JUMP,RETURN,2813,1776.6,35.9669438878476
JUMP_IF_FALSE,LOAD_CONST,4,4.15,1.3484884325167863
JUMP_IF_FALSE,LOAD_GLOBAL,5,4.75,1.4095538674570611
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,21596,13527.3,151.58117505672993
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20859,13132.55,118.40051342349557
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,1.15,0.5871429486123998
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,18751,11698.6,121.457551605922
JUMP_IF_FALSE_PEEK,POP,2107,1327.15,22.387202641358773
LOAD_CONST,CALL,39690,24816.05,199.70517084732214
LOAD_CONST,CREATE_CLASS,2,3.65,0.812727700887249
LOAD_CONST,JUMP,4,4.3,1.1285761872936697
LOAD_CONST,LOAD_LOCAL_SAFE,9,4.95,2.139232523470435
LOAD_CONST,SWAP,62,88.85,17.768318938344642
LOAD_FIELD,ASSERT_FUNC,45422,28453.45,259.9225542551593
LOAD_FIELD,DUPE,36100,22746.7,206.84626887466075
LOAD_FIELD,LOAD_CONST,10,6.45,1.637552731171861
LOAD_FIELD,LOAD_FIELD,9,6.0,1.5559732104309982
LOAD_FIELD,LOAD_LOCAL_SAFE,2106,1324.3,28.868303506933366
LOAD_GLOBAL,ASSERT_FUNC,7,7.6,1.5008769366431645
LOAD_GLOBAL,CREATE_OBJECT,2,3.5,0.9459053029269173
LOAD_GLOBAL,JUMP,1,0.9,0.4472135954999579
LOAD_GLOBAL,LOAD_FIELD,2,3.8,0.6958523739384593
LOAD_GLOBAL,RETURN,3,2.8,0.6958523739384593
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,60517,37701.95,294.4481859521743
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,30,43.8,9.578484662046112
LOAD_GLOBAL_BY_INDEX,JUMP,2106,1323.8,32.00427603009521
LOAD_GLOBAL_BY_INDEX,RETURN,21558,13594.9,111.14944894150413
LOAD_LOCAL_SAFE,CALL,44611,28112.95,297.3913733573459
LOAD_LOCAL_SAFE,DUPE,5618,3521.95,55.06692100956507
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,20859,13105.0,108.6215060609424
LOAD_LOCAL_SAFE,LOAD_CONST,39708,25050.8,232.06636981691216
LOAD_LOCAL_SAFE,LOAD_FIELD,83636,52504.75,518.3036983123023
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,4977,3177.35,48.436909588931414
LOAD_LOCAL_SAFE,RETURN,2138,1358.3,27.796440514266553
LOAD_LOCAL_SAFE,SWAP,31,44.4,8.975991368792172
POP,JUMP,18050,11367.75,106.91603936586979
POP,LOAD_GLOBAL,2,2.0,0.7254762501100116
POP,LOAD_GLOBAL_BY_INDEX,4914,3086.1,36.51805609630162
POP,LOAD_LOCAL_SAFE,20984,13280.95,143.9084047141389
RETURN,CALL,744,493.9,17.66322376250186
RETURN,DUPE,1,0.85,0.36634754853252327
RETURN,JUMP,702,441.05,16.01799974370936
RETURN,JUMP_IF_FALSE,21605,13531.05,120.99215938059345
RETURN,JUMP_IF_FALSE_PEEK,20859,13091.1,151.53214006831766
RETURN,LOAD_LOCAL_SAFE,1406,888.55,21.753342150962517
RETURN,POP,31,43.95,8.133588578105897
RETURN,RETURN,20870,13097.4,120.16760225443069
RETURN,SWAP,31,40.35,10.524532743722366
RETURN_INIT,DUPE,31,43.1,8.365971174000691
STORE_FIELD,POP,62,82.45,16.413970301320507
STORE_FIELD,RETURN,31,44.35,8.99283340397113
STORE_FIELD,RETURN_INIT,31,44.3,7.927965160048786
STORE_GLOBAL,CREATE_FUNC,16,29.1,4.241399967488391
STORE_GLOBAL,LOAD_CONST,2,3.65,0.7451598203705946
STORE_GLOBAL,LOAD_GLOBAL,2,3.7,0.5712405705774795
STORE_LOCAL,POP,41750,26042.55,259.63546813906135
SWAP,DUPE,124,172.5,34.00696523082479
