# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,LOAD_GLOBAL,3,4.35,0.812727700887249
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,1999999,1254176.3,9781.479675494133
ASSERT_FUNC,LOAD_LOCAL_SAFE,2000002,1243937.95,10062.098585520705
CALL,LOAD_LOCAL_SAFE,2000002,1255505.45,11247.632113261125
CALL,RETURN,2000002,1261161.75,11220.855961697316
CREATE_CLASS,DUPE,1,1.95,0.22360679774997896
CREATE_FUNC,DUPE,17,31.55,1.145931016569864
CREATE_OBJECT,LOAD_LOCAL_SAFE,1,2.0,0.0
DUPE,STORE_FIELD,1000009,621841.45,5231.821474853378
DUPE,STORE_GLOBAL,20,36.75,2.314144152358434
JUMP,LOAD_GLOBAL_BY_INDEX,1000000,623236.2,5817.265885185862
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,1.85,0.36634754853252327
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,999999,622475.9,6220.244866562731
JUMP_IF_FALSE_PEEK,POP,1,0.65,0.4893604849295929
LOAD_CONST,CALL,2000002,1242350.0,10455.26134486718
LOAD_CONST,CREATE_CLASS,1,2.05,0.22360679774997896
LOAD_CONST,DUPE,1,2.0,0.0
LOAD_CONST,SWAP,8,14.85,0.9333020044867296
LOAD_FIELD,ASSERT_FUNC,2000002,1282618.95,9908.874031710986
LOAD_FIELD,LOAD_CONST,2000002,1256892.35,9728.988297459588
LOAD_FIELD,POP,8000000,4978563.65,42391.99822617343
LOAD_GLOBAL,ASSERT_FUNC,3,4.65,0.48936048492959305
LOAD_GLOBAL,CREATE_OBJECT,1,2.0,0.5619514869490164
LOAD_GLOBAL,LOAD_FIELD,11,19.7,2.597569714377774
LOAD_GLOBAL,LOAD_GLOBAL,1,2.0,0.0
LOAD_GLOBAL,SWAP,1,2.0,0.3244428422615251
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,1999999,1254458.85,10799.898100274617
LOAD_GLOBAL_BY_INDEX,LOAD_FIELD,9999991,6214402.85,52980.57443339086
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,999999,626696.2,5662.1562249543595
LOAD_LOCAL_SAFE,CALL,2000002,1256344.35,11204.472407198982
LOAD_LOCAL_SAFE,LOAD_CONST,8,14.6,0.820782681668123
LOAD_LOCAL_SAFE,LOAD_FIELD,2000002,1254180.55,10193.365120069633
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,1.95,0.22360679774997894
POP,JUMP,1000000,627357.5,5365.815212503764
POP,LOAD_CONST,1,1.85,0.36634754853252327
POP,LOAD_GLOBAL,11,19.25,0.966545666958261
POP,LOAD_GLOBAL_BY_INDEX,7999992,4971637.35,41130.519813566934
POP,LOAD_LOCAL_SAFE,8,14.6,0.7539370349250518
RETURN,JUMP_IF_FALSE_PEEK,1000001,628313.35,5526.129627553635
RETURN,SWAP,1000000,623356.1,5828.307273444348
RETURN_INIT,DUPE,1,2.6,2.7028250327934176
STORE_FIELD,POP,1000008,623542.5,5570.5029679365025
STORE_FIELD,RETURN_INIT,1,2.0,0.3244428422615251
STORE_GLOBAL,CREATE_FUNC,16,30.2,1.4363696929192158
STORE_GLOBAL,LOAD_CONST,1,1.9,0.30779350562554625
STORE_GLOBAL,POP,3,5.85,0.5871429486123998
SWAP,DUPE,1000009,621570.15,5030.02342021336
