# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,4,2.0,1.1697953037312037
ASSERT_FUNC,LOAD_CONST,3000001,1903011.7,35953.475201476096
ASSERT_FUNC,LOAD_GLOBAL,5,7.9,1.4832396974191324
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,3999992,2543223.2,46650.27523425323
ASSERT_FUNC,LOAD_LOCAL_SAFE,3000022,1909194.85,34852.517727184146
CALL,CALL,1000003,636329.5,11924.74779828201
CALL,DUPE,2000004,1299263.15,22571.235314175767
CALL,JUMP_IF_FALSE_PEEK,1000004,637173.4,11933.966907418862
CALL,LOAD_GLOBAL,1,0.75,0.4442616583193193
CALL,LOAD_LOCAL_SAFE,3000006,1907350.9,35453.84839166194
CALL,RETURN,3000006,1914781.3,34105.96455337087
CREATE_CLASS,DUPE,3,5.35,0.8750939799154204
CREATE_FUNC,DUPE,18,31.9,5.169750070310331
CREATE_LIST,DUPE,1,1.75,0.4442616583193192
CREATE_OBJECT,LOAD_LOCAL_SAFE,3,5.35,1.0399898784932577
DUPE,STORE_FIELD,3000027,1894150.1,35300.192118010105
DUPE,STORE_GLOBAL,25,45.5,7.810249675906653
DUPE,STORE_GLOBAL_BY_INDEX,1999996,1275247.85,22593.362712542938
DUPE,STORE_LOCAL,11,7.25,1.2513150976809198
JUMP,LOAD_GLOBAL_BY_INDEX,999999,632637.3,10953.243120310603
JUMP,LOAD_LOCAL_SAFE,3,1.45,1.0990426455975697
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,4,3.4,1.046296727561194
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,1000004,630491.9,11103.965478958173
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,3,1.65,0.812727700887249
JUMP_IF_FALSE_PEEK,POP,2,1.25,0.638666373658505
LOAD_CONST,CALL,5999999,3778537.25,69565.70547397695
LOAD_CONST,CREATE_CLASS,1,2.05,0.39403446282620647
LOAD_CONST,DUPE,2,2.35,0.5871429486123998
LOAD_CONST,SWAP,27,47.25,7.390427663716867
LOAD_FIELD,ASSERT_FUNC,7000017,4529063.1,76129.76969269759
LOAD_FIELD,LOAD_CONST,2999997,1905130.5,33311.860660794824
LOAD_FIELD,LOAD_LOCAL_SAFE,9,5.55,1.669383750149485
LOAD_FIELD,POP,6999993,4426392.3,79659.13433869022
LOAD_GLOBAL,ASSERT_FUNC,7,8.05,1.2343760409722457
LOAD_GLOBAL,CREATE_CLASS,2,3.6,0.8207826816681233
LOAD_GLOBAL,CREATE_OBJECT,3,5.3,1.1285761872936693
LOAD_GLOBAL,DUPE,1,0.55,0.5104177855340404
LOAD_GLOBAL,LOAD_CONST,1,0.55,0.5104177855340404
LOAD_GLOBAL,LOAD_FIELD,14,24.3,4.437875262116463
LOAD_GLOBAL,LOAD_GLOBAL,3,5.35,0.8127277008872489
LOAD_GLOBAL,SWAP,1,1.75,0.5501196042201808
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,3000000,1903170.2,34171.90208436105
LOAD_GLOBAL_BY_INDEX,LOAD_FIELD,13999973,8821500.25,159295.0645737832
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,2999994,1904934.65,34945.03228496674
LOAD_GLOBAL_BY_INDEX,SWAP,2,3.35,0.9333020044867295
LOAD_LOCAL_SAFE,CALL,3000018,1907182.25,34602.34736618312
LOAD_LOCAL_SAFE,JUMP_IF_FALSE_PEEK,3,2.2,0.894427190999916
LOAD_LOCAL_SAFE,LOAD_CONST,27,46.7,7.327669263968268
LOAD_LOCAL_SAFE,LOAD_FIELD,3000029,1907015.35,33684.187654204805
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,1.8,0.4103913408340616
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,2,3.55,0.8255779474818965
LOAD_LOCAL_SAFE,RETURN,1,0.65,0.48936048492959294
POP,JUMP,1000002,635771.75,11371.018270724833
POP,LOAD_CONST,3,4.15,1.0894228312566052
POP,LOAD_GLOBAL,16,26.85,4.042862456491101
POP,LOAD_GLOBAL_BY_INDEX,10999978,6927557.2,125660.33361683678
POP,LOAD_LOCAL_SAFE,35,52.55,7.2871552459754385
RETURN,DUPE,3,2.0,0.7254762501100116
RETURN,JUMP_IF_FALSE_PEEK,6,3.6,1.465390194130093
RETURN,SWAP,2999997,1888269.6,33011.077125556985
RETURN_INIT,CREATE_LIST,1,1.85,0.36634754853252327
RETURN_INIT,LOAD_GLOBAL,2,3.6,0.9403246919632545
STORE_FIELD,POP,3000024,1892356.35,32782.311487294486
STORE_FIELD,RETURN_INIT,3,5.3,1.0310954828418375
STORE_GLOBAL,CREATE_FUNC,17,31.35,6.26834150817885
STORE_GLOBAL,POP,8,14.05,2.211810403980842
STORE_GLOBAL_BY_INDEX,POP,1999996,1259753.5,22668.506682411284
STORE_LOCAL,POP,11,6.2,1.1964860832322375
SWAP,DUPE,3000027,1888792.85,33934.63430010079
