# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,488802,308672.25,5695.960922350833
ASSERT_FUNC,LOAD_CONST,99804,63397.85,1041.2126166916612
ASSERT_FUNC,LOAD_GLOBAL,32,22.0,3.464101615137755
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,426795,270411.1,5048.673008560611
ASSERT_FUNC,LOAD_LOCAL_SAFE,974286,614724.5,10860.295341045608
CALL,CALL,129857,82335.95,1460.998666197743
CALL,CREATE_LIST,9,6.3,1.6575187543592476
CALL,DUPE,33245,21093.9,416.6149174881802
CALL,JUMP_IF_FALSE_PEEK,101043,64263.15,1244.9754711174878
CALL,LOAD_GLOBAL,15,10.75,1.8027756377319943
CALL,LOAD_GLOBAL_BY_INDEX,208905,132649.45,2409.7133368493187
CALL,LOAD_LOCAL_SAFE,1024697,645482.75,11199.676709972236
CALL,POP,9346,6168.6,115.99337549142507
CALL,RETURN,473302,302014.15,5186.841298953183
CALL,SWAP,9300,5909.25,136.68283494433757
CREATE_CLASS,DUPE,10,9.95,1.1459310165698642
CREATE_FUNC,DUPE,27,38.25,1.8602489929548358
CREATE_LIST,DUPE,9,5.95,1.4680814547887786
CREATE_OBJECT,DUPE,1,0.65,0.4893604849295929
CREATE_OBJECT,LOAD_LOCAL_SAFE,27,18.9,2.4257391711220295
DUPE,STORE_FIELD,552556,347741.7,6518.908554916875
DUPE,STORE_GLOBAL,45,69.9,5.118593556827893
DUPE,STORE_LOCAL,265335,168571.2,3159.2111873560784
JUMP,JUMP,17087,10861.6,204.0150665230903
JUMP,LOAD_GLOBAL_BY_INDEX,115950,73580.65,1382.457014654858
JUMP,LOAD_LOCAL_SAFE,10467,6623.4,134.3892226255318
JUMP,POP,97794,61582.45,1053.8453134767199
JUMP,RETURN,11626,7381.15,148.55382685641004
JUMP,SWAP,1164,740.5,23.565139283986525
JUMP_IF_FALSE,LOAD_CONST,234156,148496.7,2611.1273044415125
JUMP_IF_FALSE,LOAD_GLOBAL,7,4.7,2.273416163537063
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,196471,124627.9,2264.2839672202167
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,270965,171425.95,3116.732271145525
JUMP_IF_FALSE,LOAD_NONLOCAL,23249,14711.15,251.3130308473568
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,24627,15594.2,278.9968119040649
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.5,0.5129891760425771
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,250710,157390.95,2815.838876128352
JUMP_IF_FALSE_PEEK,POP,12463,7910.15,151.91974162279536
JUMP_IF_FALSE_PEEK,RETURN,83704,53120.75,1025.523223325024
JUMP_IF_TRUE_PEEK,LOAD_LOCAL_SAFE,101043,63508.7,1233.0179108273521
JUMP_IF_TRUE_PEEK,RETURN,5561,3516.85,70.88558238085993
LOAD_CONST,CALL,114113,72121.6,1487.8513437345177
LOAD_CONST,CREATE_CLASS,2,3.65,0.5871429486123997
LOAD_CONST,DUPE,2348,1494.6,32.340946833778126
LOAD_CONST,JUMP,11619,7460.75,412.69893129827335
LOAD_CONST,LOAD_GLOBAL,5,3.25,1.0699237552766379
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,19305,12236.7,229.69020326014027
LOAD_CONST,LOAD_LOCAL_SAFE,10003,6323.4,142.20422674893717
LOAD_CONST,POP,222537,140286.4,2574.4015635728474
LOAD_CONST,SWAP,2777,1760.8,50.474172655558704
LOAD_FIELD,ASSERT_FUNC,1350441,852661.6,15210.331739349176
LOAD_FIELD,CALL,334209,212337.55,3968.493330365807
LOAD_FIELD,DUPE,113852,72272.7,1322.1774743521382
LOAD_FIELD,JUMP_IF_FALSE_PEEK,106953,67799.9,1253.83575269524
LOAD_FIELD,JUMP_IF_TRUE_PEEK,106604,67750.3,1216.7143893548516
LOAD_FIELD,LOAD_CONST,38616,24493.35,417.2124632290905
LOAD_FIELD,LOAD_FIELD,558842,354792.35,6386.007592879595
LOAD_FIELD,LOAD_LOCAL_SAFE,24764,15680.85,281.85798495733667
LOAD_FIELD,RETURN,92443,58488.6,1022.0537837325935
LOAD_FIELD,SWAP,167053,105969.4,2046.6627110082345
LOAD_GLOBAL,ASSERT_FUNC,41,25.65,3.281126250799291
LOAD_GLOBAL,CALL,17,11.15,2.2542357790099112
LOAD_GLOBAL,CREATE_CLASS,8,6.5,1.27733274731701
LOAD_GLOBAL,CREATE_OBJECT,11,7.95,1.3562719801759993
LOAD_GLOBAL,DUPE,4,3.6,1.0462967275611939
LOAD_GLOBAL,JUMP,2,1.35,0.6708203932499368
LOAD_GLOBAL,JUMP_IF_FALSE,2,1.15,0.812727700887249
LOAD_GLOBAL,LOAD_CONST,7,4.6,0.99472291830968
LOAD_GLOBAL,LOAD_FIELD,1,0.95,0.22360679774997894
LOAD_GLOBAL,LOAD_GLOBAL,15,10.4,1.8750438591361567
LOAD_GLOBAL,LOAD_LOCAL_SAFE,15,9.4,1.8750438591361562
LOAD_GLOBAL,RETURN,1,0.7,0.47016234598162726
LOAD_GLOBAL,SWAP,26,17.45,1.5035046776746237
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,639237,404110.9,6858.357574598509
LOAD_GLOBAL_BY_INDEX,CALL,94947,60261.75,1077.9899850623535
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,17,11.3,2.079979756986515
