# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,37438,23659.05,221.10023328322072
ASSERT_FUNC,LOAD_CONST,55762,35274.6,587.7728168353194
ASSERT_FUNC,LOAD_GLOBAL,5,7.4,1.231174022502185
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,17744,11162.3,118.77182901858941
ASSERT_FUNC,LOAD_LOCAL_SAFE,122658,76958.9,860.1857143419047
CALL,LOAD_GLOBAL,2,2.55,0.6863327411532597
CALL,LOAD_LOCAL_SAFE,107641,67785.8,838.2474574968898
CALL,POP,27880,17615.25,197.22038834498656
CALL,RETURN,98084,62131.55,563.7095626762361
CREATE_CLASS,DUPE,2,3.65,0.48936048492959283
CREATE_FUNC,DUPE,17,31.4,1.569445091341791
CREATE_LIST,DUPE,5461,3421.65,48.12951277542715
CREATE_OBJECT,LOAD_LOCAL_SAFE,2,3.8,0.5231483637805969
DUPE,STORE_FIELD,9560,6030.15,81.33897557363521
DUPE,STORE_GLOBAL,21,37.35,1.6311119875071347
DUPE,STORE_LOCAL,42899,26757.35,236.66482517198003
JUMP,LOAD_GLOBAL_BY_INDEX,27880,17446.65,200.0808455021168
JUMP,RETURN,4096,2592.35,40.46996937301331
JUMP_IF_FALSE,LOAD_CONST,1365,869.15,18.65835497910563
JUMP_IF_FALSE,LOAD_GLOBAL,1,1.55,0.5104177855340404
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,4095,2555.95,42.06195305423707
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,27880,17415.55,182.3038166878234
JUMP_IF_FALSE_PEEK,POP,5461,3447.95,45.35297239722165
LOAD_CONST,CALL,93988,58635.1,551.5403215684147
LOAD_CONST,CREATE_CLASS,2,3.95,0.39403446282620613
LOAD_CONST,CREATE_LIST,1365,866.1,17.096937244953995
LOAD_CONST,DUPE,5461,3462.5,49.57662861937219
LOAD_CONST,LOAD_CONST,4095,2597.7,31.21082808055064
LOAD_CONST,LOAD_LOCAL_SAFE,1,1.95,0.22360679774997896
LOAD_CONST,SWAP,3,5.6,0.5026246899500346
LOAD_FIELD,ASSERT_FUNC,168864,106901.5,1351.242761312711
LOAD_FIELD,LOAD_CONST,4096,2582.25,48.21429685324297
LOAD_FIELD,LOAD_FIELD,5461,3450.9,42.56376022170181
LOAD_FIELD,RETURN,4097,2576.9,41.69172579781268
LOAD_GLOBAL,ASSERT_FUNC,10,16.25,3.290736599672033
LOAD_GLOBAL,CALL,1,0.65,0.4893604849295929
LOAD_GLOBAL,CREATE_OBJECT,2,3.8,0.41039134083406165
LOAD_GLOBAL,LOAD_FIELD,2,2.65,0.4893604849295929
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,64733,40456.8,652.787835283973
LOAD_LOCAL_SAFE,CALL,96720,60998.9,614.8885992386624
LOAD_LOCAL_SAFE,JUMP,4096,2592.6,44.69710929072891
LOAD_LOCAL_SAFE,LOAD_CONST,17750,11208.45,134.00018656703404
LOAD_LOCAL_SAFE,LOAD_FIELD,177055,110541.9,1113.716485702855
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,1.7,0.4701623459816272
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,4095,2582.1,53.50445136425072
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,37437,23566.5,257.5956643963354
LOAD_LOCAL_SAFE,RETURN,1365,852.45,25.207507235992843
POP,CREATE_LIST,4096,2592.4,44.340073356537914
POP,JUMP,27880,17674.3,519.4513401049634
POP,LOAD_CONST,5462,3447.2,62.29015297697331
POP,LOAD_GLOBAL,4,5.7,1.0310954828418373
POP,LOAD_GLOBAL_BY_INDEX,10919,6879.05,93.16396129518392
POP,LOAD_LOCAL_SAFE,37440,23570.4,251.63181122634904
RETURN,CALL,5460,3425.6,47.99276261227195
RETURN,DUPE,31977,20092.3,205.66684864503304
RETURN,JUMP_IF_FALSE,5461,3448.0,54.316809455947336
RETURN,JUMP_IF_FALSE_PEEK,33341,21065.85,227.3400594518681
RETURN,LOAD_CONST,16384,10273.95,115.94394062831014
RETURN,LOAD_LOCAL_SAFE,5460,3431.55,52.46700717694181
RETURN,POP,1,0.7,0.4701623459816272
RETURN,RETURN,1,0.6,0.5026246899500346
RETURN,SWAP,9557,6051.35,85.12113659213462
RETURN_INIT,DUPE,2,4.35,2.539685019840059
STORE_FIELD,POP,9558,5986.0,75.95150807553057
STORE_FIELD,RETURN_INIT,2,3.95,0.22360679774997905
STORE_GLOBAL,CREATE_FUNC,16,30.6,0.9403246919632549
STORE_GLOBAL,LOAD_CONST,1,2.05,0.22360679774997894
STORE_GLOBAL,LOAD_GLOBAL,2,3.7,0.47016234598162715
STORE_GLOBAL,POP,2,2.55,0.6048053188292994
STORE_LOCAL,POP,42899,26725.8,294.94202820215435
SWAP,DUPE,9560,5963.9,77.95606049834122
