# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,613781,402971.95,4644.408528146056
ASSERT_FUNC,LOAD_CONST,296034,194502.2,2230.7642919671707
ASSERT_FUNC,LOAD_GLOBAL,22,15.15,2.2307657406087453
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,45210,29517.4,344.5575958270336
ASSERT_FUNC,LOAD_LOCAL_SAFE,2250256,1458294.25,16604.311909466232
ASSERT_FUNC,LOAD_NONLOCAL,4008,2622.3,39.27916281667606
CALL,CALL,322839,212008.7,2614.430401887917
CALL,CREATE_FUNC,140,98.95,9.66532053543138
CALL,CREATE_LIST,9174,6082.8,100.31718119098674
CALL,DUPE,2232,1492.25,32.8150719543386
CALL,LOAD_CONST,5185,3402.2,71.90022326295768
CALL,LOAD_GLOBAL,53,37.4,5.295479700948526
CALL,LOAD_GLOBAL_BY_INDEX,497948,327025.4,4568.682539569627
CALL,LOAD_LOCAL_SAFE,1333807,872579.4,10100.909544246628
CALL,POP,101306,66705.9,914.1282819109558
CALL,RETURN,936627,616756.95,7145.56441345555
CREATE_CLASS,DUPE,28,19.5,2.874570906193973
CREATE_FUNC,DUPE,29246,19009.9,452.5186707401376
CREATE_LIST,DUPE,9174,5951.0,99.52413090089725
CREATE_LIST,SWAP,10,6.55,1.5719582155957417
CREATE_OBJECT,DUPE,1,0.65,0.4893604849295929
CREATE_OBJECT,LOAD_LOCAL_SAFE,15096,10415.45,577.3796958309972
DUPE,STORE_FIELD,313005,204915.15,2591.3893301714215
DUPE,STORE_GLOBAL,61,58.5,8.463544112685206
DUPE,STORE_LOCAL,423320,275869.5,3213.1665067344375
JUMP,LOAD_GLOBAL_BY_INDEX,251671,164967.3,2023.955951777812
JUMP,POP,23205,15157.35,205.604954630041
JUMP,RETURN,253333,166004.35,2161.4665653573943
JUMP_IF_FALSE,LOAD_CONST,72129,47544.8,1016.617798077735
JUMP_IF_FALSE,LOAD_GLOBAL,9,5.75,1.7434086394791457
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,198667,129376.5,1779.55673073233
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,239235,155173.75,1800.6946283967293
JUMP_IF_FALSE,LOAD_NONLOCAL,12027,7828.8,107.52605559388394
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE,14022,9182.7,106.4830601798387
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,2,1.55,1.190974832912761
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,4,2.5,0.9459053029269173
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,11045,7230.5,115.42165262521961
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,276718,179913.0,1699.0464198608843
