# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,LOAD_GLOBAL,3,4.2,1.1516578439248717
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,1999999,1277633.25,6997.008028812245
ASSERT_FUNC,LOAD_LOCAL_SAFE,2000002,1278947.05,6845.6651014769295
CALL,LOAD_LOCAL_SAFE,2000002,1279868.55,7593.947357669317
CALL,RETURN,2000002,1282114.1,7524.851520829251
CREATE_CLASS,DUPE,1,1.85,0.36634754853252327
CREATE_FUNC,DUPE,17,31.05,4.616617581599849
CREATE_OBJECT,LOAD_LOCAL_SAFE,1,1.9,0.3077935056255463
DUPE,STORE_FIELD,1000009,632070.8,3954.870529519662
DUPE,STORE_GLOBAL,20,36.3,7.226413538649649
JUMP,LOAD_GLOBAL_BY_INDEX,1000000,634359.1,3434.987273400172
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,1.9,0.3077935056255463
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,999999,632904.4,3747.8190345572375
JUMP_IF_FALSE_PEEK,POP,1,0.55,0.5104177855340404
LOAD_CONST,CALL,2000002,1263979.8,6525.818493532155
LOAD_CONST,CREATE_CLASS,1,1.95,0.5104177855340405
LOAD_CONST,DUPE,1,1.95,0.22360679774997896
LOAD_CONST,SWAP,8,14.0,2.6950246556825492
LOAD_FIELD,ASSERT_FUNC,2000002,1301495.95,6495.975908004023
LOAD_FIELD,LOAD_CONST,2000002,1280909.15,6249.505389060373
LOAD_FIELD,POP,8000000,5064139.45,26659.31598497683
LOAD_GLOBAL,ASSERT_FUNC,3,4.3,0.8013147091860319
LOAD_GLOBAL,CREATE_OBJECT,1,1.8,0.523148363780597
LOAD_GLOBAL,LOAD_FIELD,11,18.5,2.5026301953618404
LOAD_GLOBAL,LOAD_GLOBAL,1,1.75,0.5501196042201808
LOAD_GLOBAL,SWAP,1,1.85,0.4893604849295929
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,1999999,1278975.4,7467.51086126819
LOAD_GLOBAL_BY_INDEX,LOAD_FIELD,9999991,6320508.75,35213.75157949849
LOAD_GLOBAL_BY_INDEX,LOAD_GLOBAL_BY_INDEX,999999,637987.5,3897.9552872054232
LOAD_LOCAL_SAFE,CALL,2000002,1279241.15,8236.405151425044
LOAD_LOCAL_SAFE,LOAD_CONST,8,14.45,2.1144863753590246
LOAD_LOCAL_SAFE,LOAD_FIELD,2000002,1278129.1,7323.504423573801
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,1.95,0.22360679774997896
POP,JUMP,1000000,640182.95,4297.627858236999
POP,LOAD_CONST,1,1.85,0.4893604849295929
POP,LOAD_GLOBAL,11,18.25,2.9535883617265144
POP,LOAD_GLOBAL_BY_INDEX,7999992,5057541.0,27909.196331939245
POP,LOAD_LOCAL_SAFE,8,14.3,2.319255778999172
RETURN,JUMP_IF_FALSE_PEEK,1000001,641483.5,4147.0062822792
RETURN,SWAP,1000000,633121.8,3903.6332549912613
RETURN_INIT,DUPE,1,1.85,0.48936048492959283
STORE_FIELD,POP,1000008,632845.65,3742.088303481432
STORE_FIELD,RETURN_INIT,1,1.9,0.30779350562554625
STORE_GLOBAL,CREATE_FUNC,16,28.65,4.416178390752278
STORE_GLOBAL,LOAD_CONST,1,1.95,0.22360679774997896
STORE_GLOBAL,POP,3,5.4,0.9947229183096801
SWAP,DUPE,1000009,632721.25,3290.460995938025
