# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,488802,324585.45,2805.618582228763
ASSERT_FUNC,LOAD_CONST,99804,66657.15,441.256373146163
ASSERT_FUNC,LOAD_GLOBAL,32,21.75,2.712058841156426
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,426795,284195.45,2211.1977815083324
ASSERT_FUNC,LOAD_LOCAL_SAFE,974286,645069.5,4690.533159011832
CALL,CALL,129857,86490.0,698.5521116077018
CALL,CREATE_LIST,9,5.9,1.4832396974191324
CALL,DUPE,33245,22194.45,185.66678556801196
CALL,JUMP_IF_FALSE_PEEK,101043,67427.45,634.9626988629888
CALL,LOAD_GLOBAL,15,10.1,1.8035053587243284
CALL,LOAD_GLOBAL_BY_INDEX,208905,139839.9,1229.09285761149
CALL,LOAD_LOCAL_SAFE,1024697,678208.25,4483.49174164162
CALL,POP,9346,6469.8,65.29254007521575
CALL,RETURN,473302,317173.45,2432.070062075112
CALL,SWAP,9300,6208.5,65.01457326509258
CREATE_CLASS,DUPE,10,9.65,1.3088765773505318
CREATE_FUNC,DUPE,27,37.1,4.733975740937998
CREATE_LIST,DUPE,9,6.55,1.79105966869954
CREATE_OBJECT,DUPE,1,0.75,0.44426165831931935
CREATE_OBJECT,LOAD_LOCAL_SAFE,27,18.45,2.964260802504253
DUPE,STORE_FIELD,552556,364811.2,3107.553795105343
DUPE,STORE_GLOBAL,45,66.05,9.230812246863334
DUPE,STORE_LOCAL,265335,176921.45,1710.8056420110524
JUMP,JUMP,17087,11495.3,473.72211485771186
JUMP,LOAD_GLOBAL_BY_INDEX,115950,77399.75,830.3496964659229
JUMP,LOAD_LOCAL_SAFE,10467,6960.75,96.98880836142092
JUMP,POP,97794,64742.0,700.4955388865786
JUMP,RETURN,11626,7784.6,68.21976870457176
JUMP,SWAP,1164,775.3,21.873078863008008
JUMP_IF_FALSE,LOAD_CONST,234156,156218.05,1323.3056485459715
JUMP_IF_FALSE,LOAD_GLOBAL,7,4.5,0.8271701918685112
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,196471,130978.75,1240.8300649162225
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,270965,180346.45,1522.493711852884
JUMP_IF_FALSE,LOAD_NONLOCAL,23249,15586.7,539.6611119855439
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE_PEEK,24627,16377.15,112.56262584375948
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1,0.45,0.5104177855340405
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,250710,165614.55,1568.9327406669956
JUMP_IF_FALSE_PEEK,POP,12463,8319.2,73.78746149369955
JUMP_IF_FALSE_PEEK,RETURN,83704,55995.1,773.0404701055782
JUMP_IF_TRUE_PEEK,LOAD_LOCAL_SAFE,101043,66773.1,665.0392073918775
JUMP_IF_TRUE_PEEK,RETURN,5561,3709.5,49.52245636285146
LOAD_CONST,CALL,114113,75671.55,559.7514932633276
LOAD_CONST,CREATE_CLASS,2,3.7,0.6569466853317864
LOAD_CONST,DUPE,2348,1581.8,33.564705773836465
LOAD_CONST,JUMP,11619,7734.05,81.85833398075765
LOAD_CONST,LOAD_GLOBAL,5,3.7,1.0310954828418375
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,19305,12927.5,505.8474390356715
LOAD_CONST,LOAD_LOCAL_SAFE,10003,6766.55,443.38452777886175
LOAD_CONST,POP,222537,147470.95,1199.708318717513
LOAD_CONST,SWAP,2777,1854.2,31.98453573706812
LOAD_FIELD,ASSERT_FUNC,1350441,896998.25,6406.738302057648
LOAD_FIELD,CALL,334209,223463.2,2125.4134359423433
LOAD_FIELD,DUPE,113852,75917.9,806.7238423988302
LOAD_FIELD,JUMP_IF_FALSE_PEEK,106953,71455.8,669.4890903556742
LOAD_FIELD,JUMP_IF_TRUE_PEEK,106604,71217.4,715.1211454233323
LOAD_FIELD,LOAD_CONST,38616,25764.5,215.47756019448698
LOAD_FIELD,LOAD_FIELD,558842,372914.65,3021.8137508352233
LOAD_FIELD,LOAD_LOCAL_SAFE,24764,16527.65,133.90620244272304
LOAD_FIELD,RETURN,92443,61652.95,683.8024857176831
LOAD_FIELD,SWAP,167053,111623.7,1327.6877050365663
LOAD_GLOBAL,ASSERT_FUNC,41,26.9,2.989455151906975
LOAD_GLOBAL,CALL,17,11.05,1.538112308540638
LOAD_GLOBAL,CREATE_CLASS,8,5.95,1.669383750149485
LOAD_GLOBAL,CREATE_OBJECT,11,7.8,1.2814465510343749
LOAD_GLOBAL,DUPE,4,3.85,1.0399898784932575
LOAD_GLOBAL,JUMP,2,1.4,0.5982430416161189
LOAD_GLOBAL,JUMP_IF_FALSE,2,1.35,0.5871429486123998
LOAD_GLOBAL,LOAD_CONST,7,4.85,1.0894228312566052
LOAD_GLOBAL,LOAD_FIELD,1,0.75,0.44426165831931924
