# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,37438,24396.9,574.5769061253955
ASSERT_FUNC,LOAD_CONST,55762,36245.75,258.31821970503444
ASSERT_FUNC,LOAD_GLOBAL,5,6.95,1.7910596686995397
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,17744,11591.65,481.97185711681516
ASSERT_FUNC,LOAD_LOCAL_SAFE,122658,78799.6,521.0060510811339
CALL,LOAD_GLOBAL,2,2.3,0.7326950970650465
CALL,LOAD_LOCAL_SAFE,107641,69475.7,455.4195405280016
CALL,POP,27880,18076.0,176.649221250537
CALL,RETURN,98084,63878.6,689.9850036509176
CREATE_CLASS,DUPE,2,3.3,0.8645047258706176
CREATE_FUNC,DUPE,17,30.65,4.760307376187957
CREATE_LIST,DUPE,5461,3518.3,55.79954725339813
CREATE_OBJECT,LOAD_LOCAL_SAFE,2,3.55,0.6048053188292993
DUPE,STORE_FIELD,9560,6179.65,77.70543231027231
DUPE,STORE_GLOBAL,21,36.65,5.9051716851907825
DUPE,STORE_LOCAL,42899,27586.95,497.9034439263139
JUMP,LOAD_GLOBAL_BY_INDEX,27880,18004.6,477.900496139653
JUMP,RETURN,4096,2656.0,40.04602615149622
JUMP_IF_FALSE,LOAD_CONST,1365,891.4,20.821041988183104
JUMP_IF_FALSE,LOAD_GLOBAL,1,1.55,0.5104177855340405
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,4095,2649.4,35.68782779368302
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,27880,17917.25,129.17995404208716
JUMP_IF_FALSE_PEEK,POP,5461,3531.95,45.304205683706456
LOAD_CONST,CALL,93988,60212.5,454.00794103882714
LOAD_CONST,CREATE_CLASS,2,3.65,0.7451598203705945
LOAD_CONST,CREATE_LIST,1365,891.95,19.903649493444533
LOAD_CONST,DUPE,5461,3534.8,47.95129107531378
LOAD_CONST,LOAD_CONST,4095,2666.25,33.88816747386668
LOAD_CONST,LOAD_LOCAL_SAFE,1,1.55,0.5104177855340405
LOAD_CONST,SWAP,3,4.95,1.1909748329127612
LOAD_FIELD,ASSERT_FUNC,168864,109434.1,875.0667884284761
LOAD_FIELD,LOAD_CONST,4096,2663.5,41.10256747006906
LOAD_FIELD,LOAD_FIELD,5461,3545.35,47.1082460096454
LOAD_FIELD,RETURN,4097,2641.0,36.975098305979444
LOAD_GLOBAL,ASSERT_FUNC,10,14.95,2.9819633235769167
LOAD_GLOBAL,CALL,1,0.65,0.4893604849295929
LOAD_GLOBAL,CREATE_OBJECT,2,3.4,0.7539370349250519
LOAD_GLOBAL,LOAD_FIELD,2,2.25,0.7863975156570493
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,64733,41566.45,498.6248959309046
LOAD_LOCAL_SAFE,CALL,96720,62620.95,414.81250996209513
LOAD_LOCAL_SAFE,JUMP,4096,2650.25,34.73641347422948
LOAD_LOCAL_SAFE,LOAD_CONST,17750,11509.7,105.90616502108696
LOAD_LOCAL_SAFE,LOAD_FIELD,177055,113440.75,709.0870984286056
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1,1.55,0.5104177855340405
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,4095,2641.5,32.5082985356696
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,37437,24166.55,205.0313133979397
LOAD_LOCAL_SAFE,RETURN,1365,878.3,23.213199511892974
POP,CREATE_LIST,4096,2664.15,52.85359620289747
POP,JUMP,27880,18025.7,152.35764710568014
POP,LOAD_CONST,5462,3532.8,41.85262363655556
POP,LOAD_GLOBAL,4,5.7,1.719853114903161
POP,LOAD_GLOBAL_BY_INDEX,10919,7040.1,80.55720425818362
POP,LOAD_LOCAL_SAFE,37440,24174.7,180.2162735802682
RETURN,CALL,5460,3526.45,48.45233686179052
RETURN,DUPE,31977,20583.35,124.29687509303959
RETURN,JUMP_IF_FALSE,5461,3529.85,59.26859024368377
RETURN,JUMP_IF_FALSE_PEEK,33341,21686.45,190.1969823768581
RETURN,LOAD_CONST,16384,10550.75,126.42654409826903
RETURN,LOAD_LOCAL_SAFE,5460,3526.8,58.304644574402246
RETURN,POP,1,0.7,0.4701623459816272
RETURN,RETURN,1,0.65,0.48936048492959294
RETURN,SWAP,9557,6321.2,517.1160513137412
RETURN_INIT,DUPE,2,3.4,0.8207826816681233
STORE_FIELD,POP,9558,6158.7,71.546892977521
STORE_FIELD,RETURN_INIT,2,3.4,0.7539370349250519
STORE_GLOBAL,CREATE_FUNC,16,29.75,5.1490929196060184
STORE_GLOBAL,LOAD_CONST,1,1.75,0.4442616583193193
STORE_GLOBAL,LOAD_GLOBAL,2,3.4,0.8825799501580875
STORE_GLOBAL,POP,2,2.45,0.8255779474818964
STORE_LOCAL,POP,42899,27502.0,242.87835378403364
SWAP,DUPE,9560,6141.9,64.87875331400075
