# Omitting opcode pairs executed zero times
opcode,next opcode,counts,total dispatch cost(μs),total dispatch cost(μs)_std
ASSERT_FUNC,CALL,16396,10590.35,117.19047697973126
ASSERT_FUNC,LOAD_CONST,20492,13333.3,92.02350958200608
ASSERT_FUNC,LOAD_GLOBAL,2,1.55,0.6863327411532597
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,4094,2625.2,25.12411297203501
ASSERT_FUNC,LOAD_LOCAL_SAFE,130956,83677.55,479.9954467985829
CALL,CALL,8205,5305.35,60.17629800930981
CALL,DUPE,16396,10661.15,93.51120113035705
CALL,LOAD_GLOBAL,3,3.3,1.0809352675491621
CALL,LOAD_GLOBAL_BY_INDEX,16394,10604.3,75.37841377448731
CALL,LOAD_LOCAL_SAFE,73677,47511.05,285.7182040144878
CALL,POP,8191,5296.05,80.9889368663206
CALL,RETURN,49074,31856.3,187.89613592284678
CREATE_CLASS,DUPE,2,3.55,0.8870412083230169
CREATE_FUNC,DUPE,17,28.95,8.413491671432448
CREATE_LIST,SWAP,1,1.6,0.5982430416161189
CREATE_OBJECT,LOAD_LOCAL_SAFE,15,20.35,6.42589334358717
DUPE,STORE_FIELD,24633,15750.35,111.40786847388573
DUPE,STORE_GLOBAL,21,33.9,8.943683451699894
DUPE,STORE_LOCAL,20520,13271.75,104.53902570206434
JUMP,LOAD_GLOBAL_BY_INDEX,14,17.6,5.275564325014759
JUMP,RETURN,12415,8018.2,96.50612197652221
JUMP_IF_FALSE,LOAD_GLOBAL,3,4.05,1.5035046776746235
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,12297,7968.35,73.58652265047922
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20492,13067.85,117.88588371364646
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE,128,86.15,9.404786015641188
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,2,3.2,0.9514531821875087
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,8089,5187.0,35.06985510152668
JUMP_IF_FALSE_PEEK,RETURN,1,0.95,0.5104177855340404
LOAD_CONST,CALL,32809,21009.1,123.73354223364099
LOAD_CONST,CREATE_CLASS,2,3.55,1.1909748329127607
LOAD_CONST,CREATE_LIST,1,1.65,0.5871429486123998
LOAD_CONST,LOAD_CONST,5,6.95,2.163695668842645
LOAD_CONST,LOAD_LOCAL_SAFE,4095,2640.2,49.31488512342739
LOAD_CONST,SWAP,8222,5303.8,60.3355529299969
LOAD_FIELD,ASSERT_FUNC,131056,84138.9,412.67623348602336
LOAD_FIELD,CALL,16268,10514.15,80.77667393890131
LOAD_FIELD,LOAD_FIELD,40983,26499.25,169.59824819105293
LOAD_FIELD,LOAD_LOCAL_SAFE,8077,5234.3,64.25205300836285
LOAD_FIELD,RETURN,1,0.8,0.41039134083406165
LOAD_GLOBAL,ASSERT_FUNC,8,9.95,2.8923674513595627
LOAD_GLOBAL,CALL,1,0.7,0.47016234598162726
LOAD_GLOBAL,CREATE_OBJECT,2,3.35,0.9333020044867296
LOAD_GLOBAL,JUMP,1,1.65,0.48936048492959294
LOAD_GLOBAL,LOAD_FIELD,2,2.2,0.8335087534664906
LOAD_GLOBAL,RETURN,1,1.55,0.6048053188292994
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40876,26101.5,146.893624239126
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,13,18.05,4.673272267288792
LOAD_GLOBAL_BY_INDEX,JUMP,127,84.3,4.889300886414615
LOAD_GLOBAL_BY_INDEX,RETURN,8076,5210.85,62.426609542304675
LOAD_LOCAL_SAFE,CALL,98261,63280.65,345.3131721236613
LOAD_LOCAL_SAFE,DUPE,1,1.55,0.5104177855340404
LOAD_LOCAL_SAFE,JUMP,8191,5262.55,46.80246844592252
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,16396,10570.3,80.94904180051199
LOAD_LOCAL_SAFE,LOAD_CONST,24635,15964.1,150.4805985046439
LOAD_LOCAL_SAFE,LOAD_FIELD,155400,99805.05,571.4976147668614
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,49201,31703.2,177.9460592426818
LOAD_LOCAL_SAFE,SWAP,8219,5351.2,61.483930292479904
POP,JUMP,14,18.2,5.934732734637588
POP,LOAD_GLOBAL,3,3.95,1.190974832912761
POP,LOAD_GLOBAL_BY_INDEX,8204,5280.25,63.018689792456726
POP,LOAD_LOCAL_SAFE,53315,34066.85,203.9502712866446
RETURN,DUPE,4110,2666.0,39.86160268254461
RETURN,JUMP,4096,2651.45,42.9999694002339
RETURN,JUMP_IF_FALSE,16268,10453.1,106.5560885167994
RETURN,JUMP_IF_FALSE_PEEK,8220,5365.5,34.249087579087394
RETURN,LOAD_LOCAL_SAFE,20476,13203.6,96.8484437284953
RETURN,POP,16411,10626.6,117.27673076508974
RETURN,RETURN,12301,7893.2,91.67769630613525
RETURN,SWAP,8191,5306.95,65.46310732811746
RETURN_INIT,DUPE,15,19.65,5.527681535498833
STORE_FIELD,POP,16413,10545.1,84.78946061615767
STORE_FIELD,RETURN,8205,5277.45,64.67528202693174
STORE_FIELD,RETURN_INIT,15,20.95,7.082038065267281
STORE_GLOBAL,CREATE_FUNC,16,27.15,7.7952414634624505
STORE_GLOBAL,LOAD_CONST,2,3.5,0.8885233166386386
STORE_GLOBAL,LOAD_GLOBAL,2,3.25,1.0699237552766379
STORE_GLOBAL,POP,1,0.4,0.5026246899500346
STORE_LOCAL,POP,20520,13118.8,111.48547226574325
SWAP,DUPE,24633,15774.0,120.1398308113025
