# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts
LOAD_LOCAL_SAFE,LOAD_FIELD,111094
ASSERT_FUNC,LOAD_LOCAL_SAFE,83399
LOAD_FIELD,ASSERT_FUNC,68870
LOAD_LOCAL_SAFE,CALL,54645
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40642
DUPE,STORE_LOCAL,28164
POP,LOAD_LOCAL_SAFE,27577
POP,LOAD_GLOBAL_BY_INDEX,26466
CALL,JUMP_IF_FALSE,26426
STORE_LOCAL,POP,25407
LOAD_CONST,POP,22243
JUMP_IF_FALSE,LOAD_CONST,22243
LOAD_FIELD,LOAD_LOCAL_SAFE,20000
LOAD_CONST,CALL,19959
ASSERT_FUNC,CALL,17745
SWAP,DUPE,13652
DUPE,STORE_FIELD,13652
STORE_FIELD,POP,13552
CALL,SWAP,12226
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,12215
CALL,DUPE,11582
LOAD_FIELD,CALL,11426
LOAD_FIELD,LOAD_CONST,10400
LOAD_CONST,DUPE,10055
ASSERT_FUNC,LOAD_CONST,7394
LOAD_GLOBAL_BY_INDEX,DUPE,6421
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,6065
CALL,CALL,5763
CALL,JUMP_IF_FALSE_PEEK,5303
JUMP,LOAD_GLOBAL_BY_INDEX,5250
POP,JUMP,5250
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5100
POP,LOAD_CONST,5005
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,4183
STORE_LOCAL,JUMP,2757
JUMP,POP,2757
LOAD_LOCAL_SAFE,LOAD_CONST,2191
CALL,LOAD_CONST,1400
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,996
LOAD_CONST,SWAP,713
LOAD_LOCAL_SAFE,SWAP,713
LOAD_LOCAL_SAFE,JUMP,713
LOAD_CONST,LOAD_GLOBAL_BY_INDEX,711
CALL,POP,300
CREATE_OBJECT,DUPE,102
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,99
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,99
JUMP_IF_FALSE_PEEK,POP,53
JUMP_IF_FALSE_PEEK,LOAD_CONST,50
LOAD_GLOBAL,ASSERT_FUNC,27
DUPE,STORE_GLOBAL,23
CREATE_FUNC,DUPE,18
STORE_GLOBAL,CREATE_FUNC,17
POP,LOAD_GLOBAL,14
LOAD_LOCAL_SAFE,LOAD_GLOBAL,11
ASSERT_FUNC,LOAD_GLOBAL,5
LOAD_GLOBAL,DUPE,5
STORE_GLOBAL,LOAD_CONST,3
LOAD_CONST,CREATE_CLASS,3
CREATE_CLASS,DUPE,3
LOAD_GLOBAL,CREATE_OBJECT,3
LOAD_GLOBAL,LOAD_FIELD,2
LOAD_CONST,LOAD_GLOBAL,2
STORE_GLOBAL,LOAD_GLOBAL,2
LOAD_GLOBAL,CALL,1
POP,CREATE_LIST,1
CREATE_LIST,DUPE,1
STORE_GLOBAL,POP,1
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1
