# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts
ASSERT_FUNC,LOAD_LOCAL_SAFE,109589
LOAD_FIELD,ASSERT_FUNC,107390
LOAD_LOCAL_SAFE,LOAD_FIELD,107389
LOAD_LOCAL_SAFE,CALL,69911
LOAD_FIELD,LOAD_FIELD,48972
POP,LOAD_LOCAL_SAFE,42516
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,38894
LOAD_CONST,CALL,34640
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,29595
CALL,POP,28816
STORE_LOCAL,POP,22357
DUPE,STORE_LOCAL,22357
LOAD_LOCAL_SAFE,LOAD_CONST,20942
CALL,DUPE,18738
CALL,CALL,18738
ASSERT_FUNC,LOAD_CONST,13700
ASSERT_FUNC,CALL,13700
POP,LOAD_GLOBAL_BY_INDEX,12278
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,12277
SWAP,DUPE,8662
DUPE,STORE_FIELD,8662
STORE_FIELD,POP,8662
CALL,SWAP,8660
CALL,JUMP_IF_FALSE,8660
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,8660
CALL,JUMP_IF_FALSE_PEEK,8659
JUMP_IF_FALSE,LOAD_CONST,5040
JUMP,LOAD_GLOBAL_BY_INDEX,5039
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,5039
POP,JUMP,5039
LOAD_GLOBAL_BY_INDEX,JUMP,5039
JUMP_IF_FALSE_PEEK,JUMP,3620
LOAD_LOCAL_SAFE,DUPE,3620
DUPE,STORE_GLOBAL,20
CREATE_FUNC,DUPE,17
STORE_GLOBAL,CREATE_FUNC,16
LOAD_CONST,LOAD_CONST,5
LOAD_GLOBAL,ASSERT_FUNC,5
POP,LOAD_GLOBAL,3
JUMP_IF_FALSE,LOAD_GLOBAL,3
STORE_GLOBAL,LOAD_GLOBAL,2
LOAD_GLOBAL,LOAD_FIELD,2
CREATE_OBJECT,DUPE,1
STORE_GLOBAL,LOAD_CONST,1
LOAD_GLOBAL,CREATE_OBJECT,1
LOAD_GLOBAL,JUMP,1
LOAD_GLOBAL,CALL,1
LOAD_CONST,CREATE_LIST,1
CREATE_CLASS,DUPE,1
CREATE_LIST,SWAP,1
STORE_GLOBAL,POP,1
LOAD_CONST,SWAP,1
LOAD_CONST,CREATE_CLASS,1
ASSERT_FUNC,LOAD_GLOBAL,1
