# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts
LOAD_LOCAL_SAFE,LOAD_FIELD,177055
LOAD_FIELD,ASSERT_FUNC,168864
ASSERT_FUNC,LOAD_LOCAL_SAFE,122658
LOAD_LOCAL_SAFE,CALL,96720
LOAD_CONST,CALL,93988
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,64733
ASSERT_FUNC,LOAD_CONST,55762
STORE_LOCAL,POP,42899
DUPE,STORE_LOCAL,42899
POP,LOAD_LOCAL_SAFE,37440
ASSERT_FUNC,CALL,37438
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,37437
CALL,JUMP_IF_FALSE_PEEK,33341
CALL,DUPE,31977
CALL,POP,27881
JUMP_IF_FALSE_PEEK,LOAD_LOCAL_SAFE,27880
JUMP,LOAD_GLOBAL_BY_INDEX,27880
POP,JUMP,27880
LOAD_LOCAL_SAFE,LOAD_CONST,17748
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,17744
CALL,LOAD_CONST,16384
POP,LOAD_GLOBAL_BY_INDEX,10919
STORE_FIELD,POP,9558
SWAP,DUPE,9558
DUPE,STORE_FIELD,9558
CALL,SWAP,9557
POP,LOAD_CONST,5462
CREATE_LIST,DUPE,5461
CALL,JUMP_IF_FALSE,5461
LOAD_CONST,DUPE,5461
LOAD_FIELD,LOAD_FIELD,5461
JUMP_IF_FALSE_PEEK,POP,5461
CALL,CALL,5460
CALL,LOAD_LOCAL_SAFE,5460
POP,CREATE_LIST,4096
LOAD_LOCAL_SAFE,JUMP,4096
LOAD_FIELD,LOAD_CONST,4096
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,4095
LOAD_LOCAL_SAFE,LOAD_GLOBAL_BY_INDEX,4095
LOAD_CONST,LOAD_CONST,4095
LOAD_CONST,CREATE_LIST,1365
JUMP_IF_FALSE,LOAD_CONST,1365
DUPE,STORE_GLOBAL,21
CREATE_FUNC,DUPE,17
STORE_GLOBAL,CREATE_FUNC,16
LOAD_GLOBAL,ASSERT_FUNC,10
ASSERT_FUNC,LOAD_GLOBAL,5
POP,LOAD_GLOBAL,4
LOAD_GLOBAL,LOAD_FIELD,2
LOAD_CONST,CREATE_CLASS,2
CREATE_OBJECT,DUPE,2
LOAD_GLOBAL,CREATE_OBJECT,2
CREATE_CLASS,DUPE,2
STORE_GLOBAL,LOAD_GLOBAL,2
STORE_GLOBAL,POP,2
LOAD_GLOBAL,CALL,1
LOAD_LOCAL_SAFE,LOAD_GLOBAL,1
LOAD_CONST,SWAP,1
STORE_GLOBAL,LOAD_CONST,1
JUMP_IF_FALSE,LOAD_GLOBAL,1
LOAD_CONST,LOAD_LOCAL_SAFE,1
