# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts
LOAD_LOCAL_SAFE,LOAD_FIELD,155400
LOAD_FIELD,ASSERT_FUNC,131056
ASSERT_FUNC,LOAD_LOCAL_SAFE,130956
LOAD_LOCAL_SAFE,CALL,98261
POP,LOAD_LOCAL_SAFE,53300
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,49201
LOAD_FIELD,LOAD_FIELD,40983
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,40876
LOAD_CONST,CALL,32809
LOAD_LOCAL_SAFE,LOAD_CONST,24605
SWAP,DUPE,24603
DUPE,STORE_FIELD,24603
CALL,POP,24602
STORE_LOCAL,POP,20520
DUPE,STORE_LOCAL,20520
CALL,DUPE,20506
ASSERT_FUNC,LOAD_CONST,20492
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20492
CALL,LOAD_LOCAL_SAFE,20476
STORE_FIELD,POP,16398
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,16396
ASSERT_FUNC,CALL,16396
LOAD_FIELD,CALL,16268
CALL,JUMP_IF_FALSE,16268
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,12297
CALL,JUMP_IF_FALSE_PEEK,8220
LOAD_LOCAL_SAFE,SWAP,8219
CALL,CALL,8205
POP,LOAD_GLOBAL_BY_INDEX,8204
LOAD_CONST,SWAP,8192
LOAD_LOCAL_SAFE,JUMP,8191
CALL,SWAP,8191
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,8089
LOAD_FIELD,LOAD_LOCAL_SAFE,8077
CALL,JUMP,4096
LOAD_CONST,LOAD_LOCAL_SAFE,4095
ASSERT_FUNC,LOAD_GLOBAL_BY_INDEX,4094
JUMP_IF_FALSE_PEEK,JUMP_IF_FALSE,128
LOAD_GLOBAL_BY_INDEX,JUMP,127
DUPE,STORE_GLOBAL,21
CREATE_FUNC,DUPE,17
STORE_GLOBAL,CREATE_FUNC,16
CREATE_OBJECT,DUPE,15
JUMP,LOAD_GLOBAL_BY_INDEX,14
POP,JUMP,14
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,13
LOAD_GLOBAL,ASSERT_FUNC,8
LOAD_CONST,LOAD_CONST,5
JUMP_IF_FALSE,LOAD_GLOBAL,3
POP,LOAD_GLOBAL,3
ASSERT_FUNC,LOAD_GLOBAL,2
LOAD_GLOBAL,LOAD_FIELD,2
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,2
CREATE_CLASS,DUPE,2
LOAD_GLOBAL,CREATE_OBJECT,2
STORE_GLOBAL,LOAD_GLOBAL,2
STORE_GLOBAL,LOAD_CONST,2
LOAD_CONST,CREATE_CLASS,2
LOAD_GLOBAL,CALL,1
LOAD_GLOBAL,JUMP,1
CREATE_LIST,SWAP,1
LOAD_LOCAL_SAFE,DUPE,1
STORE_GLOBAL,POP,1
LOAD_CONST,CREATE_LIST,1
